frame,obj num,correct-obj num,over-obj num,under-obj num,no-obj num,V measure score (beta=1.00),Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K),Scene Num,Ave vel
1,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
2,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
4,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
5,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
6,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
7,2,2,0,0,0,1.000,1.000,0.000,0.451,1.000,0.000,0.451,0,0
8,2,1,1,0,0,0.769,1.000,0.000,0.500,0.624,0.301,0.802,0,0
9,2,1,1,0,0,0.674,1.000,0.000,0.325,0.509,0.314,0.639,0,0
10,2,2,0,0,0,1.000,1.000,0.000,0.410,1.000,0.000,0.410,0,0
11,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
12,2,2,0,0,0,1.000,1.000,0.000,0.500,1.000,0.000,0.500,0,0
13,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
14,2,2,0,0,0,1.000,1.000,0.000,0.500,1.000,0.000,0.500,0,0
15,2,2,0,0,0,1.000,1.000,0.000,0.451,1.000,0.000,0.451,0,0
16,2,2,0,0,0,1.000,1.000,0.000,0.598,1.000,0.000,0.598,0,0
17,2,2,0,0,0,1.000,1.000,0.000,0.500,1.000,0.000,0.500,0,0
18,2,2,0,0,0,1.000,1.000,0.000,0.673,1.000,0.000,0.673,0,0
19,2,2,0,0,0,1.000,1.000,0.000,0.500,1.000,0.000,0.500,0,0
20,2,2,0,0,0,1.000,1.000,0.000,0.451,1.000,0.000,0.451,0,0
21,2,2,0,0,0,1.000,1.000,0.000,0.451,1.000,0.000,0.451,0,0
22,2,2,0,0,0,1.000,1.000,0.000,0.410,1.000,0.000,0.410,0,0
23,2,2,0,0,0,1.000,1.000,0.000,0.500,1.000,0.000,0.500,0,0
24,2,1,1,0,0,0.684,1.000,0.000,0.451,0.519,0.417,0.868,0,0
25,2,2,0,0,0,1.000,1.000,0.000,0.500,1.000,0.000,0.500,0,0
26,2,2,0,0,0,1.000,1.000,0.000,0.598,1.000,0.000,0.598,0,0
27,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
28,2,2,0,0,0,1.000,1.000,0.000,0.410,1.000,0.000,0.410,0,0
29,3,3,0,0,0,1.000,1.000,0.000,1.030,1.000,0.000,1.030,0,0
30,2,2,0,0,0,1.000,1.000,0.000,0.683,1.000,0.000,0.683,0,0
31,3,3,0,0,0,1.000,1.000,0.000,1.030,1.000,0.000,1.030,0,0
32,3,2,1,0,0,0.926,1.000,0.000,1.044,0.862,0.167,1.211,0,0
33,3,3,0,0,0,1.000,1.000,0.000,0.991,1.000,0.000,0.991,0,0
34,3,3,0,0,0,1.000,1.000,0.000,1.085,1.000,0.000,1.085,0,0
35,3,2,1,0,0,0.868,1.000,0.000,0.860,0.767,0.261,1.121,0,0
36,2,1,1,0,0,0.627,1.000,0.000,0.393,0.456,0.468,0.861,0,0
37,2,1,1,0,0,0.414,1.000,0.000,0.410,0.261,1.159,1.569,0,0
38,2,1,1,0,0,0.292,1.000,0.000,0.199,0.171,0.965,1.163,0,0
39,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
40,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
41,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.143,0.143,0,0
42,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
43,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
44,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
45,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
95,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.693,0.693,0,0
96,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
97,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
98,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.637,0.637,0,0
99,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
100,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.325,0.325,0,0
101,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.325,0.325,0,0
102,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.305,0.305,0,0
103,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.305,0.305,0,0
104,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.463,0.463,0,0
105,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
106,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
107,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.173,0.173,0,0
108,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
109,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
110,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
111,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
112,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
113,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
114,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
115,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
