frame,obj num,correct-obj num,over-obj num,under-obj num,no-obj num,V measure score (beta=1.00),Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K),Scene Num,Ave vel
1,4,3,1,0,0,0.920,1.000,0.000,1.160,0.852,0.201,1.361,0,0
2,5,4,1,0,0,0.972,1.000,0.000,1.483,0.945,0.086,1.569,0,0
3,6,3,3,0,0,0.936,1.000,0.000,1.661,0.879,0.228,1.889,0,0
4,6,6,0,0,0,1.000,1.000,0.000,1.709,1.000,0.000,1.709,0,0
5,7,7,0,0,0,1.000,1.000,0.000,1.590,1.000,0.000,1.590,0,0
6,7,4,3,0,0,0.930,1.000,0.000,1.789,0.868,0.271,2.060,0,0
7,7,5,2,0,0,0.952,1.000,0.000,1.834,0.909,0.184,2.018,0,0
8,8,7,1,0,0,0.951,1.000,0.000,1.953,0.906,0.202,2.155,0,0
9,8,5,3,0,0,0.941,1.000,0.000,1.917,0.888,0.242,2.160,0,0
10,7,7,0,0,0,1.000,1.000,0.000,1.644,1.000,0.000,1.644,0,0
11,7,7,0,0,0,1.000,1.000,0.000,1.818,1.000,0.000,1.818,0,0
12,8,8,0,0,0,1.000,1.000,0.000,1.861,1.000,0.000,1.861,0,0
13,7,6,1,0,0,0.970,1.000,0.000,1.768,0.942,0.108,1.876,0,0
14,7,7,0,0,0,1.000,1.000,0.000,1.760,1.000,0.000,1.760,0,0
15,8,6,1,1,0,0.952,0.941,0.118,1.996,0.963,0.073,1.950,0,0
16,8,6,1,1,0,0.946,0.941,0.113,1.908,0.952,0.091,1.886,0,0
17,8,6,1,1,0,0.965,0.957,0.080,1.871,0.973,0.050,1.840,0,0
18,9,9,0,0,0,1.000,1.000,0.000,2.033,1.000,0.000,2.033,0,0
19,9,9,0,0,0,1.000,1.000,0.000,1.989,1.000,0.000,1.989,0,0
20,10,6,1,3,0,0.952,0.921,0.168,2.130,0.985,0.031,1.993,0,0
21,10,6,1,3,0,0.948,0.936,0.135,2.122,0.959,0.085,2.072,0,0
