frame,obj num,correct-obj num,over-obj num,under-obj num,no-obj num,V measure score (beta=1.00),Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K),Scene Num,Ave vel
1,5,1,1,3,0,0.760,0.642,0.507,1.417,0.932,0.066,0.976,0,0
2,5,1,1,3,0,0.779,0.684,0.467,1.479,0.905,0.107,1.119,0,0
3,6,3,0,3,0,0.759,0.611,0.597,1.533,1.000,0.000,0.937,0,0
4,6,3,0,3,0,0.762,0.616,0.637,1.657,1.000,0.000,1.020,0,0
5,5,2,0,3,0,0.717,0.559,0.652,1.480,1.000,0.000,0.828,0,0
6,4,1,1,2,0,0.703,0.583,0.557,1.334,0.887,0.099,0.876,0,0
7,6,3,0,3,0,0.789,0.652,0.555,1.595,1.000,0.000,1.040,0,0
8,6,3,0,3,0,0.772,0.629,0.587,1.583,1.000,0.000,0.996,0,0
9,6,3,1,2,0,0.807,0.718,0.456,1.618,0.921,0.100,1.262,0,0
10,6,3,0,3,0,0.851,0.740,0.420,1.613,1.000,0.000,1.194,0,0
11,6,4,0,2,0,0.968,0.938,0.098,1.567,1.000,0.000,1.469,0,0
12,6,4,0,2,0,0.953,0.911,0.135,1.506,1.000,0.000,1.372,0,0
13,6,4,0,2,0,0.934,0.877,0.189,1.532,1.000,0.000,1.343,0,0
14,6,4,0,2,0,0.961,0.924,0.125,1.644,1.000,0.000,1.519,0,0
15,6,4,0,2,0,0.949,0.902,0.160,1.641,1.000,0.000,1.481,0,0
16,6,4,0,2,0,0.934,0.877,0.208,1.687,1.000,0.000,1.479,0,0
17,6,4,0,2,0,0.943,0.892,0.174,1.601,1.000,0.000,1.428,0,0
18,6,4,0,2,0,0.918,0.849,0.239,1.581,1.000,0.000,1.342,0,0
19,5,3,0,2,0,0.890,0.802,0.306,1.547,1.000,0.000,1.241,0,0
20,5,3,0,2,0,0.910,0.835,0.245,1.487,1.000,0.000,1.242,0,0
21,6,2,2,2,0,0.890,0.896,0.182,1.750,0.885,0.204,1.771,0,0
22,6,3,1,2,0,0.922,0.914,0.147,1.702,0.931,0.116,1.671,0,0
23,7,5,0,2,0,0.968,0.938,0.112,1.805,1.000,0.000,1.692,0,0
24,7,4,1,2,0,0.935,0.932,0.126,1.855,0.938,0.114,1.843,0,0
25,6,4,0,2,0,0.949,0.904,0.160,1.662,1.000,0.000,1.502,0,0
26,6,4,0,2,0,0.969,0.941,0.101,1.691,1.000,0.000,1.590,0,0
27,6,4,0,2,0,0.945,0.895,0.177,1.691,1.000,0.000,1.514,0,0
28,6,4,0,2,0,0.921,0.853,0.252,1.709,1.000,0.000,1.457,0,0
29,7,4,1,2,0,0.930,0.908,0.166,1.813,0.952,0.083,1.730,0,0
30,6,4,0,2,0,0.975,0.951,0.073,1.507,1.000,0.000,1.433,0,0
31,7,5,2,0,0,0.879,1.000,0.000,1.735,0.785,0.476,2.211,0,0
32,7,6,1,0,0,0.966,1.000,0.000,1.794,0.934,0.126,1.920,0,0
33,7,2,3,2,0,0.886,0.917,0.155,1.869,0.856,0.288,2.002,0,0
34,7,5,0,2,0,0.966,0.934,0.116,1.771,1.000,0.000,1.655,0,0
35,6,3,1,2,0,0.917,0.929,0.121,1.704,0.905,0.166,1.750,0,0
36,7,2,3,2,0,0.882,0.930,0.125,1.777,0.839,0.318,1.970,0,0
37,6,4,2,0,0,0.914,1.000,0.000,1.675,0.841,0.317,1.991,0,0
38,7,4,1,2,0,0.906,0.915,0.160,1.885,0.897,0.198,1.923,0,0
39,6,3,2,1,0,0.862,0.903,0.159,1.643,0.825,0.315,1.798,0,0
40,7,2,1,4,0,0.880,0.833,0.294,1.758,0.932,0.107,1.571,0,0
41,8,3,1,4,0,0.866,0.839,0.301,1.866,0.894,0.185,1.750,0,0
42,7,5,0,2,0,0.934,0.875,0.205,1.641,1.000,0.000,1.436,0,0
