frame,obj num,correct-obj num,over-obj num,under-obj num,no-obj num,V measure score (beta=1.00),Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K),Scene Num,Ave vel
1,2,2,0,0,0,1.000,1.000,0.000,0.637,1.000,0.000,0.637,0,0
2,2,2,0,0,0,1.000,1.000,0.000,0.673,1.000,0.000,0.673,0,0
3,4,4,0,0,0,1.000,1.000,0.000,1.221,1.000,0.000,1.221,0,0
4,4,4,0,0,0,1.000,1.000,0.000,1.119,1.000,0.000,1.119,0,0
5,3,1,1,1,0,0.750,0.724,0.300,1.085,0.778,0.224,1.010,0,0
6,5,5,0,0,0,1.000,1.000,0.000,1.362,1.000,0.000,1.362,0,0
7,2,0,0,2,0,0.000,0.000,0.683,0.683,1.000,0.000,0.000,0,0
8,5,3,0,2,0,0.775,0.633,0.477,1.300,1.000,0.000,0.822,0,0
9,5,4,1,0,0,0.965,1.000,0.000,1.399,0.933,0.101,1.499,0,0
10,5,3,0,2,0,0.866,0.764,0.300,1.274,1.000,0.000,0.974,0,0
11,5,5,0,0,0,1.000,1.000,0.000,1.342,1.000,0.000,1.342,0,0
12,4,2,0,2,0,0.757,0.609,0.428,1.096,1.000,0.000,0.668,0,0
13,5,2,1,2,0,0.754,0.634,0.498,1.360,0.932,0.063,0.925,0,0
14,5,2,1,2,0,0.797,0.689,0.425,1.363,0.946,0.053,0.992,0,0
15,5,3,0,2,0,0.886,0.796,0.281,1.373,1.000,0.000,1.092,0,0
16,5,2,1,2,0,0.808,0.732,0.399,1.490,0.902,0.118,1.209,0,0
17,5,3,0,2,0,0.754,0.605,0.517,1.311,1.000,0.000,0.794,0,0
18,5,2,1,2,0,0.718,0.590,0.478,1.165,0.918,0.062,0.749,0,0
19,5,3,1,1,0,0.713,0.616,0.498,1.299,0.844,0.148,0.949,0,0
20,5,2,1,2,0,0.788,0.717,0.407,1.439,0.875,0.147,1.179,0,0
21,4,2,0,2,0,0.776,0.634,0.471,1.287,1.000,0.000,0.816,0,0
22,5,2,1,2,0,0.829,0.739,0.397,1.521,0.945,0.066,1.190,0,0
23,5,3,0,2,0,0.849,0.737,0.390,1.485,1.000,0.000,1.095,0,0
24,5,3,0,2,0,0.868,0.766,0.321,1.376,1.000,0.000,1.055,0,0
25,4,4,0,0,0,1.000,1.000,0.000,1.249,1.000,0.000,1.249,0,0
26,3,2,1,0,0,0.869,1.000,0.000,0.876,0.768,0.265,1.141,0,0
27,4,4,0,0,0,1.000,1.000,0.000,1.173,1.000,0.000,1.173,0,0
28,2,2,0,0,0,1.000,1.000,0.000,0.598,1.000,0.000,0.598,0,0
29,4,3,1,0,0,0.911,1.000,0.000,1.006,0.836,0.197,1.203,0,0
30,4,3,1,0,0,0.849,1.000,0.000,0.930,0.738,0.331,1.260,0,0
31,4,3,1,0,0,0.855,1.000,0.000,1.025,0.746,0.348,1.373,0,0
32,3,2,1,0,0,0.737,1.000,0.000,0.687,0.583,0.492,1.179,0,0
33,3,2,1,0,0,0.650,1.000,0.000,0.578,0.482,0.622,1.200,0,0
34,3,2,1,0,0,0.734,1.000,0.000,0.578,0.580,0.419,0.998,0,0
35,3,2,1,0,0,0.677,1.000,0.000,0.501,0.512,0.477,0.978,0,0
36,3,2,1,0,0,0.677,1.000,0.000,0.501,0.512,0.477,0.978,0,0
37,2,1,1,0,0,0.306,1.000,0.000,0.158,0.181,0.718,0.877,0,0
38,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.409,0.409,0,0
39,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.800,0.800,0,0
40,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.463,0.463,0,0
41,2,1,1,0,0,0.508,1.000,0.000,0.257,0.341,0.498,0.755,0,0
42,2,1,1,0,0,0.669,1.000,0.000,0.168,0.502,0.166,0.334,0,0
43,2,1,1,0,0,0.669,1.000,0.000,0.191,0.503,0.189,0.381,0,0
44,2,1,1,0,0,0.632,1.000,0.000,0.229,0.462,0.267,0.495,0,0
45,2,1,1,0,0,0.503,1.000,0.000,0.150,0.336,0.296,0.446,0,0
46,2,1,1,0,0,0.669,1.000,0.000,0.168,0.502,0.166,0.334,0,0
47,2,1,1,0,0,0.668,1.000,0.000,0.133,0.502,0.132,0.264,0,0
48,2,2,0,0,0,1.000,1.000,0.000,0.224,1.000,0.000,0.224,0,0
49,2,1,1,0,0,0.505,1.000,0.000,0.185,0.337,0.363,0.548,0,0
50,2,2,0,0,0,1.000,1.000,0.000,0.224,1.000,0.000,0.224,0,0
51,2,1,1,0,0,0.352,1.000,0.000,0.143,0.213,0.526,0.668,0,0
52,2,1,1,0,0,0.445,1.000,0.000,0.257,0.286,0.643,0.900,0,0
53,2,1,1,0,0,0.342,1.000,0.000,0.206,0.206,0.794,1.000,0,0
54,3,2,1,0,0,0.734,1.000,0.000,0.557,0.579,0.404,0.961,0,0
55,3,3,0,0,0,1.000,1.000,0.000,0.892,1.000,0.000,0.892,0,0
56,3,3,0,0,0,1.000,1.000,0.000,0.687,1.000,0.000,0.687,0,0
57,3,2,1,0,0,0.864,1.000,0.000,1.011,0.761,0.318,1.330,0,0
58,3,2,1,0,0,0.747,1.000,0.000,0.898,0.597,0.607,1.505,0,0
59,3,2,1,0,0,0.789,1.000,0.000,0.974,0.652,0.520,1.494,0,0
60,3,3,0,0,0,1.000,1.000,0.000,0.950,1.000,0.000,0.950,0,0
61,3,3,0,0,0,1.000,1.000,0.000,0.950,1.000,0.000,0.950,0,0
62,3,3,0,0,0,1.000,1.000,0.000,1.055,1.000,0.000,1.055,0,0
63,4,4,0,0,0,1.000,1.000,0.000,1.273,1.000,0.000,1.273,0,0
64,4,4,0,0,0,1.000,1.000,0.000,1.277,1.000,0.000,1.277,0,0
65,4,4,0,0,0,1.000,1.000,0.000,1.277,1.000,0.000,1.277,0,0
66,4,4,0,0,0,1.000,1.000,0.000,1.121,1.000,0.000,1.121,0,0
67,4,4,0,0,0,1.000,1.000,0.000,1.277,1.000,0.000,1.277,0,0
68,3,3,0,0,0,1.000,1.000,0.000,0.937,1.000,0.000,0.937,0,0
69,2,2,0,0,0,1.000,1.000,0.000,0.451,1.000,0.000,0.451,0,0
70,2,2,0,0,0,1.000,1.000,0.000,0.637,1.000,0.000,0.637,0,0
71,2,2,0,0,0,1.000,1.000,0.000,0.693,1.000,0.000,0.693,0,0
72,2,2,0,0,0,1.000,1.000,0.000,0.530,1.000,0.000,0.530,0,0
73,2,2,0,0,0,1.000,1.000,0.000,0.598,1.000,0.000,0.598,0,0
74,2,2,0,0,0,1.000,1.000,0.000,0.598,1.000,0.000,0.598,0,0
75,2,2,0,0,0,1.000,1.000,0.000,0.451,1.000,0.000,0.451,0,0
76,3,3,0,0,0,1.000,1.000,0.000,0.849,1.000,0.000,0.849,0,0
77,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
78,2,2,0,0,0,1.000,1.000,0.000,0.562,1.000,0.000,0.562,0,0
79,2,2,0,0,0,1.000,1.000,0.000,0.598,1.000,0.000,0.598,0,0
80,2,2,0,0,0,1.000,1.000,0.000,0.451,1.000,0.000,0.451,0,0
