frame,obj num,correct-obj num,over-obj num,under-obj num,no-obj num,V measure score (beta=1.00),Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K),Scene Num,Ave vel
1,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.179,0.179,0,0
2,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.398,0.398,0,0
3,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.443,0.443,0,0
4,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.371,0.371,0,0
5,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.367,0.367,0,0
6,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.295,0.295,0,0
7,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.315,0.315,0,0
8,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.146,0.146,0,0
9,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.271,0.271,0,0
10,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.206,0.206,0,0
11,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.509,0.509,0,0
12,2,2,0,0,0,1.000,1.000,0.000,0.206,1.000,0.000,0.206,0,0
13,2,1,1,0,0,0.670,1.000,0.000,0.199,0.503,0.196,0.394,0,0
14,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.537,0.537,0,0
15,2,1,1,0,0,0.411,1.000,0.000,0.257,0.259,0.737,0.994,0,0
16,3,2,1,0,0,0.678,1.000,0.000,0.668,0.513,0.633,1.301,0,0
17,3,2,1,0,0,0.737,1.000,0.000,0.746,0.584,0.531,1.277,0,0
18,3,1,2,0,0,0.653,1.000,0.000,0.655,0.485,0.696,1.351,0,0
19,3,1,2,0,0,0.769,1.000,0.000,0.777,0.625,0.467,1.244,0,0
20,2,1,1,0,0,0.730,1.000,0.000,0.673,0.575,0.497,1.170,0,0
21,2,1,1,0,0,0.773,1.000,0.000,0.637,0.629,0.375,1.011,0,0
22,2,0,2,0,0,0.671,1.000,0.000,0.649,0.505,0.636,1.285,0,0
23,2,0,2,0,0,0.695,1.000,0.000,0.500,0.532,0.440,0.940,0,0
24,2,1,1,0,0,0.895,1.000,0.000,0.393,0.809,0.092,0.485,0,0
25,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
26,3,2,1,0,0,0.931,1.000,0.000,0.628,0.872,0.092,0.720,0,0
27,3,2,1,0,0,0.920,1.000,0.000,0.802,0.853,0.139,0.940,0,0
28,3,3,0,0,0,1.000,1.000,0.000,0.943,1.000,0.000,0.943,0,0
29,3,3,0,0,0,1.000,1.000,0.000,0.900,1.000,0.000,0.900,0,0
30,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
31,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.693,0.693,0,0
32,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.693,0.693,0,0
33,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
34,2,2,0,0,0,1.000,1.000,0.000,0.637,1.000,0.000,0.637,0,0
35,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,1.055,1.055,0,0
36,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.637,0.637,0,0
37,2,2,0,0,0,1.000,1.000,0.000,0.410,1.000,0.000,0.410,0,0
38,2,2,0,0,0,1.000,1.000,0.000,0.377,1.000,0.000,0.377,0,0
39,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.637,0.637,0,0
40,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.474,0.474,0,0
41,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.410,0.410,0,0
42,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.900,0.900,0,0
43,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
44,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
45,2,2,0,0,0,1.000,1.000,0.000,0.287,1.000,0.000,0.287,0,0
46,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.566,0.566,0,0
47,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.451,0.451,0,0
48,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
49,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
50,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
51,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
52,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
53,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
54,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
55,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
56,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
57,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
58,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
59,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
60,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
61,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
62,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
63,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
64,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
65,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
66,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
67,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
68,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
69,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
70,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
71,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
72,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
73,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
74,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
75,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
76,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
77,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
78,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
