frame,obj num,correct-obj num,over-obj num,under-obj num,no-obj num,V measure score (beta=1.00),Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K),Scene Num,Ave vel
71,5,4,1,0,0,0.874,1.000,0.000,1.278,0.775,0.370,1.648,0,0
72,4,3,1,0,0,0.851,1.000,0.000,1.120,0.741,0.392,1.512,0,0
73,4,3,1,0,0,0.811,1.000,0.000,0.983,0.683,0.457,1.440,0,0
74,4,3,1,0,0,0.866,1.000,0.000,1.186,0.764,0.366,1.552,0,0
75,4,3,1,0,0,0.868,1.000,0.000,1.189,0.767,0.361,1.549,0,0
76,4,3,1,0,0,0.795,1.000,0.000,1.030,0.660,0.530,1.560,0,0
77,4,3,1,0,0,0.866,1.000,0.000,1.137,0.763,0.353,1.490,0,0
78,4,3,1,0,0,0.878,1.000,0.000,1.233,0.783,0.341,1.574,0,0
79,4,3,1,0,0,0.853,1.000,0.000,1.106,0.743,0.382,1.488,0,0
80,4,3,1,0,0,0.825,1.000,0.000,1.041,0.702,0.442,1.482,0,0
81,4,3,1,0,0,0.812,1.000,0.000,0.990,0.684,0.458,1.448,0,0
82,4,3,1,0,0,0.867,1.000,0.000,1.197,0.765,0.368,1.565,0,0
83,4,3,1,0,0,0.806,1.000,0.000,0.921,0.675,0.444,1.365,0,0
84,4,3,1,0,0,0.886,1.000,0.000,1.250,0.796,0.320,1.570,0,0
85,4,3,1,0,0,0.851,1.000,0.000,1.138,0.741,0.399,1.537,0,0
86,4,3,1,0,0,0.788,1.000,0.000,0.909,0.650,0.489,1.398,0,0
87,4,3,1,0,0,0.857,1.000,0.000,1.114,0.750,0.371,1.485,0,0
88,4,3,1,0,0,0.899,1.000,0.000,1.282,0.816,0.289,1.571,0,0
89,4,3,1,0,0,0.860,1.000,0.000,1.139,0.755,0.369,1.509,0,0
90,4,3,1,0,0,0.836,1.000,0.000,1.174,0.718,0.461,1.635,0,0
91,4,3,1,0,0,0.863,1.000,0.000,1.045,0.760,0.331,1.376,0,0
92,4,3,1,0,0,0.891,1.000,0.000,1.224,0.804,0.298,1.522,0,0
93,4,3,1,0,0,0.863,1.000,0.000,1.107,0.758,0.353,1.460,0,0
94,4,3,1,0,0,0.834,1.000,0.000,1.059,0.715,0.422,1.481,0,0
