frame,obj num,correct-obj num,over-obj num,under-obj num,no-obj num,V measure score (beta=1.00),Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K),Scene Num,Ave vel
1,2,2,0,0,0,1.000,1.000,0.000,0.683,1.000,0.000,0.683,0,0
2,2,1,1,0,0,0.813,1.000,0.000,0.693,0.685,0.318,1.011,0,0
3,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.349,0.349,0,0
4,2,2,0,0,0,1.000,1.000,0.000,0.530,1.000,0.000,0.530,0,0
5,2,1,1,0,0,0.884,1.000,0.000,0.520,0.792,0.136,0.656,0,0
6,2,2,0,0,0,1.000,1.000,0.000,0.305,1.000,0.000,0.305,0,0
7,2,0,2,0,0,0.635,1.000,0.000,0.410,0.465,0.471,0.882,0,0
8,2,0,2,0,0,0.789,1.000,0.000,0.396,0.652,0.211,0.607,0,0
9,2,1,1,0,0,0.820,1.000,0.000,0.692,0.695,0.304,0.996,0,0
10,2,2,0,0,0,1.000,1.000,0.000,0.693,1.000,0.000,0.693,0,0
11,3,2,1,0,0,0.929,1.000,0.000,1.004,0.868,0.153,1.157,0,0
12,3,0,3,0,0,0.695,1.000,0.000,0.900,0.533,0.788,1.689,0,0
13,2,0,2,0,0,0.565,1.000,0.000,0.429,0.394,0.661,1.091,0,0
14,2,0,2,0,0,0.597,1.000,0.000,0.655,0.426,0.885,1.540,0,0
15,2,1,1,0,0,0.646,1.000,0.000,0.611,0.477,0.669,1.280,0,0
16,2,0,2,0,0,0.646,1.000,0.000,0.679,0.477,0.745,1.424,0,0
17,2,0,2,0,0,0.667,1.000,0.000,0.637,0.500,0.637,1.273,0,0
18,2,1,1,0,0,0.836,1.000,0.000,0.617,0.719,0.241,0.859,0,0
19,2,1,1,0,0,0.895,1.000,0.000,0.393,0.809,0.092,0.485,0,0
20,2,0,2,0,0,0.637,1.000,0.000,0.540,0.467,0.617,1.157,0,0
21,2,2,0,0,0,1.000,1.000,0.000,0.362,1.000,0.000,0.362,0,0
22,2,1,1,0,0,0.504,1.000,0.000,0.377,0.337,0.741,1.118,0,0
23,2,0,2,0,0,0.649,1.000,0.000,0.673,0.480,0.729,1.402,0,0
24,2,1,1,0,0,0.571,1.000,0.000,0.398,0.400,0.597,0.996,0,0
25,2,1,1,0,0,0.847,1.000,0.000,0.662,0.735,0.239,0.900,0,0
26,2,0,2,0,0,0.592,1.000,0.000,0.685,0.420,0.945,1.630,0,0
27,2,1,1,0,0,0.869,1.000,0.000,0.690,0.768,0.208,0.898,0,0
28,2,1,1,0,0,0.886,1.000,0.000,0.580,0.795,0.150,0.730,0,0
29,2,1,1,0,0,0.884,1.000,0.000,0.520,0.792,0.136,0.656,0,0
30,2,2,0,0,0,1.000,1.000,0.000,0.271,1.000,0.000,0.271,0,0
31,2,2,0,0,0,1.000,1.000,0.000,0.530,1.000,0.000,0.530,0,0
32,2,1,1,0,0,0.680,1.000,0.000,0.410,0.515,0.386,0.796,0,0
33,2,2,0,0,0,1.000,1.000,0.000,0.377,1.000,0.000,0.377,0,0
34,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
35,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.451,0.451,0,0
36,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.562,0.562,0,0
37,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
38,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
39,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
40,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.451,0.451,0,0
41,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
42,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
43,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
44,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.637,0.637,0,0
45,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.500,0.500,0,0
46,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
47,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,1.154,1.154,0,0
48,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,1.040,1.040,0,0
49,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.500,0.500,0,0
50,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.562,0.562,0,0
51,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,1.055,1.055,0,0
52,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.500,0.500,0,0
53,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
54,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.693,0.693,0,0
55,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,1.055,1.055,0,0
56,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,1.040,1.040,0,0
57,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.637,0.637,0,0
58,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
59,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
61,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
