frame,obj num,correct-obj num,over-obj num,under-obj num,no-obj num,V measure score (beta=1.00),Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K),Scene Num,Ave vel
1,5,4,1,0,0,0.935,1.000,0.000,1.099,0.878,0.153,1.252,0,0
2,5,2,3,0,0,0.857,1.000,0.000,1.322,0.750,0.440,1.762,0,0
3,5,4,1,0,0,0.980,1.000,0.000,1.447,0.960,0.060,1.507,0,0
4,4,2,2,0,0,0.849,1.000,0.000,1.334,0.737,0.476,1.810,0,0
5,4,3,1,0,0,0.946,1.000,0.000,1.315,0.897,0.151,1.466,0,0
6,4,2,2,0,0,0.897,1.000,0.000,1.295,0.814,0.296,1.591,0,0
7,4,3,1,0,0,0.862,1.000,0.000,1.221,0.758,0.390,1.611,0,0
8,4,2,2,0,0,0.853,1.000,0.000,1.302,0.743,0.449,1.751,0,0
9,3,1,2,0,0,0.906,1.000,0.000,0.926,0.828,0.193,1.119,0,0
10,3,3,0,0,0,1.000,1.000,0.000,1.010,1.000,0.000,1.010,0,0
11,2,2,0,0,0,1.000,1.000,0.000,0.586,1.000,0.000,0.586,0,0
12,2,2,0,0,0,1.000,1.000,0.000,0.474,1.000,0.000,0.474,0,0
13,2,2,0,0,0,1.000,1.000,0.000,0.474,1.000,0.000,0.474,0,0
14,2,2,0,0,0,1.000,1.000,0.000,0.562,1.000,0.000,0.562,0,0
15,2,2,0,0,0,1.000,1.000,0.000,0.500,1.000,0.000,0.500,0,0
16,2,1,1,0,0,0.866,1.000,0.000,0.562,0.764,0.173,0.736,0,0
17,3,2,1,0,0,0.918,1.000,0.000,0.759,0.848,0.136,0.895,0,0
18,2,2,0,0,0,1.000,1.000,0.000,0.500,1.000,0.000,0.500,0,0
19,3,3,0,0,0,1.000,1.000,0.000,0.684,1.000,0.000,0.684,0,0
20,2,2,0,0,0,1.000,1.000,0.000,0.586,1.000,0.000,0.586,0,0
21,3,2,1,0,0,0.949,1.000,0.000,0.984,0.902,0.107,1.091,0,0
22,3,3,0,0,0,1.000,1.000,0.000,0.908,1.000,0.000,0.908,0,0
23,3,2,1,0,0,0.941,1.000,0.000,1.010,0.888,0.127,1.137,0,0
24,4,3,1,0,0,0.948,1.000,0.000,1.233,0.900,0.136,1.369,0,0
25,4,3,1,0,0,0.955,1.000,0.000,1.342,0.914,0.126,1.468,0,0
26,5,4,1,0,0,0.952,1.000,0.000,1.401,0.909,0.141,1.542,0,0
27,5,4,1,0,0,0.975,1.000,0.000,1.331,0.950,0.069,1.400,0,0
28,6,5,1,0,0,0.883,1.000,0.000,1.477,0.790,0.392,1.869,0,0
29,6,4,2,0,0,0.958,1.000,0.000,1.520,0.920,0.132,1.652,0,0
30,6,4,2,0,0,0.948,1.000,0.000,1.560,0.900,0.173,1.733,0,0
31,7,5,2,0,0,0.938,1.000,0.000,1.746,0.883,0.232,1.979,0,0
32,6,2,4,0,0,0.836,1.000,0.000,1.460,0.718,0.573,2.032,0,0
33,5,2,3,0,0,0.747,1.000,0.000,1.291,0.597,0.873,2.164,0,0
34,6,4,2,0,0,0.926,1.000,0.000,1.520,0.861,0.245,1.765,0,0
35,6,2,4,0,0,0.837,1.000,0.000,1.607,0.720,0.626,2.234,0,0
36,7,7,0,0,0,1.000,1.000,0.000,1.616,1.000,0.000,1.616,0,0
37,6,3,3,0,0,0.902,1.000,0.000,1.653,0.822,0.358,2.011,0,0
38,8,7,1,0,0,0.981,1.000,0.000,1.882,0.962,0.074,1.955,0,0
39,7,6,1,0,0,0.966,1.000,0.000,1.629,0.935,0.113,1.742,0,0
40,8,5,3,0,0,0.848,1.000,0.000,1.430,0.736,0.513,1.943,0,0
41,7,5,2,0,0,0.930,1.000,0.000,1.747,0.869,0.264,2.011,0,0
42,8,7,1,0,0,0.982,1.000,0.000,1.688,0.965,0.062,1.749,0,0
43,7,4,3,0,0,0.864,1.000,0.000,1.693,0.760,0.534,2.227,0,0
44,7,6,1,0,0,0.978,1.000,0.000,1.715,0.956,0.078,1.793,0,0
45,8,7,1,0,0,0.916,1.000,0.000,1.827,0.846,0.333,2.160,0,0
46,9,5,4,0,0,0.899,1.000,0.000,1.937,0.817,0.433,2.370,0,0
47,8,5,3,0,0,0.945,1.000,0.000,1.888,0.895,0.220,2.108,0,0
48,8,7,1,0,0,0.986,1.000,0.000,1.925,0.973,0.053,1.978,0,0
49,8,6,2,0,0,0.867,1.000,0.000,1.878,0.765,0.577,2.455,0,0
50,8,5,3,0,0,0.957,1.000,0.000,1.842,0.918,0.164,2.007,0,0
51,8,4,4,0,0,0.903,1.000,0.000,1.702,0.823,0.367,2.069,0,0
52,8,7,1,0,0,0.962,1.000,0.000,1.869,0.926,0.149,2.019,0,0
53,7,5,2,0,0,0.956,1.000,0.000,1.786,0.916,0.164,1.950,0,0
54,6,5,1,0,0,0.924,1.000,0.000,1.700,0.859,0.278,1.979,0,0
55,7,5,2,0,0,0.883,1.000,0.000,1.769,0.791,0.468,2.237,0,0
56,7,7,0,0,0,1.000,1.000,0.000,1.831,1.000,0.000,1.831,0,0
57,6,3,3,0,0,0.917,1.000,0.000,1.677,0.847,0.303,1.981,0,0
58,6,6,0,0,0,1.000,1.000,0.000,1.685,1.000,0.000,1.685,0,0
59,6,3,3,0,0,0.880,1.000,0.000,1.539,0.786,0.418,1.958,0,0
60,5,3,2,0,0,0.849,1.000,0.000,1.417,0.738,0.504,1.922,0,0
61,3,1,2,0,0,0.827,1.000,0.000,1.030,0.704,0.432,1.462,0,0
62,4,3,1,0,0,0.852,1.000,0.000,1.241,0.742,0.432,1.673,0,0
63,4,2,2,0,0,0.702,1.000,0.000,0.704,0.541,0.598,1.302,0,0
64,5,2,3,0,0,0.859,1.000,0.000,1.493,0.753,0.489,1.983,0,0
65,4,1,3,0,0,0.881,1.000,0.000,1.318,0.787,0.357,1.675,0,0
66,5,3,2,0,0,0.912,1.000,0.000,1.431,0.838,0.277,1.708,0,0
67,5,4,1,0,0,0.883,1.000,0.000,1.479,0.791,0.392,1.871,0,0
68,6,4,2,0,0,0.936,1.000,0.000,1.679,0.879,0.231,1.910,0,0
69,6,4,2,0,0,0.830,1.000,0.000,1.538,0.709,0.630,2.168,0,0
70,7,5,2,0,0,0.885,1.000,0.000,1.628,0.793,0.424,2.051,0,0
71,8,6,2,0,0,0.922,1.000,0.000,1.898,0.856,0.319,2.218,0,0
72,8,5,3,0,0,0.865,1.000,0.000,1.844,0.763,0.574,2.418,0,0
73,8,3,5,0,0,0.912,1.000,0.000,1.899,0.838,0.366,2.265,0,0
74,9,7,2,0,0,0.847,1.000,0.000,1.890,0.735,0.681,2.571,0,0
75,8,4,4,0,0,0.840,1.000,0.000,1.911,0.724,0.730,2.641,0,0
76,9,7,2,0,0,0.925,1.000,0.000,2.006,0.861,0.325,2.331,0,0
77,8,4,4,0,0,0.844,1.000,0.000,1.796,0.731,0.662,2.457,0,0
78,8,4,4,0,0,0.922,1.000,0.000,1.829,0.856,0.309,2.138,0,0
79,8,6,2,0,0,0.979,1.000,0.000,1.621,0.958,0.071,1.692,0,0
80,8,3,5,0,0,0.895,1.000,0.000,1.620,0.810,0.379,1.999,0,0
81,9,3,6,0,0,0.922,1.000,0.000,1.908,0.855,0.323,2.231,0,0
82,9,5,4,0,0,0.925,1.000,0.000,1.738,0.860,0.284,2.022,0,0
83,9,5,4,0,0,0.914,1.000,0.000,1.549,0.842,0.291,1.840,0,0
84,8,4,4,0,0,0.905,1.000,0.000,1.708,0.826,0.360,2.068,0,0
85,9,5,4,0,0,0.827,1.000,0.000,1.890,0.705,0.791,2.681,0,0
86,6,4,2,0,0,0.881,1.000,0.000,1.196,0.787,0.325,1.521,0,0
87,4,2,2,0,0,0.868,1.000,0.000,1.065,0.767,0.323,1.388,0,0
88,3,1,2,0,0,0.522,1.000,0.000,0.378,0.353,0.693,1.070,0,0
