frame,obj num,correct-obj num,over-obj num,under-obj num,no-obj num,V measure score (beta=1.00),Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K),Scene Num,Ave vel
1,2,0,2,0,0,0.478,1.000,0.000,0.367,0.314,0.801,1.168,0,0
2,3,2,1,0,0,0.626,1.000,0.000,0.487,0.455,0.583,1.070,0,0
3,2,0,2,0,0,0.448,1.000,0.000,0.522,0.288,1.288,1.810,0,0
4,2,1,1,0,0,0.864,1.000,0.000,0.479,0.761,0.151,0.630,0,0
5,2,0,2,0,0,0.736,1.000,0.000,0.685,0.583,0.490,1.175,0,0
6,2,1,1,0,0,0.568,1.000,0.000,0.377,0.396,0.574,0.951,0,0
7,3,2,1,0,0,0.655,1.000,0.000,0.356,0.487,0.374,0.730,0,0
8,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.299,0.299,0,0
9,2,2,0,0,0,1.000,1.000,0.000,0.349,1.000,0.000,0.349,0,0
10,2,1,1,0,0,0.847,1.000,0.000,0.693,0.735,0.250,0.943,0,0
11,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
12,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,1.154,1.154,0,0
13,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.451,0.451,0,0
14,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.377,0.377,0,0
15,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,1.234,1.234,0,0
16,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,1.162,1.162,0,0
17,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
18,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
19,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
20,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
21,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
22,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
23,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
24,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
25,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
