frame,obj num,correct-obj num,over-obj num,under-obj num,no-obj num,V measure score (beta=1.00),Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K),Scene Num,Ave vel
1,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
2,2,1,1,0,0,0.532,1.000,0.000,0.451,0.363,0.792,1.242,0,0
3,2,1,1,0,0,0.546,1.000,0.000,0.500,0.376,0.832,1.332,0,0
4,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.637,0.637,0,0
5,2,1,1,0,0,0.601,1.000,0.000,0.410,0.429,0.546,0.956,0,0
6,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.673,0.673,0,0
7,2,2,0,0,0,1.000,1.000,0.000,0.500,1.000,0.000,0.500,0,0
8,2,2,0,0,0,1.000,1.000,0.000,0.500,1.000,0.000,0.500,0,0
9,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
10,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
11,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.562,0.562,0,0
12,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
13,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
14,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.451,0.451,0,0
15,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.451,0.451,0,0
16,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
17,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
18,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
19,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.410,0.410,0,0
20,2,2,0,0,0,1.000,1.000,0.000,0.637,1.000,0.000,0.637,0,0
21,2,2,0,0,0,1.000,1.000,0.000,0.598,1.000,0.000,0.598,0,0
22,2,2,0,0,0,1.000,1.000,0.000,0.410,1.000,0.000,0.410,0,0
23,2,2,0,0,0,1.000,1.000,0.000,0.377,1.000,0.000,0.377,0,0
24,2,2,0,0,0,1.000,1.000,0.000,0.637,1.000,0.000,0.637,0,0
25,2,2,0,0,0,1.000,1.000,0.000,0.377,1.000,0.000,0.377,0,0
26,2,2,0,0,0,1.000,1.000,0.000,0.451,1.000,0.000,0.451,0,0
27,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.377,0.377,0,0
28,2,2,0,0,0,1.000,1.000,0.000,0.500,1.000,0.000,0.500,0,0
29,2,1,1,0,0,0.676,1.000,0.000,0.349,0.510,0.335,0.684,0,0
30,2,2,0,0,0,1.000,1.000,0.000,0.410,1.000,0.000,0.410,0,0
