frame,obj num,correct-obj num,over-obj num,under-obj num,no-obj num,V measure score (beta=1.00),Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K),Scene Num,Ave vel
1,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.500,0.500,0,0
2,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.950,0.950,0,0
3,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.451,0.451,0,0
4,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
5,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
6,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
7,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.673,0.673,0,0
8,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.562,0.562,0,0
9,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
10,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.562,0.562,0,0
11,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.693,0.693,0,0
12,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
13,1,0,1,0,0,0.000,1.000,0.000,0.000,0.000,0.637,0.637,0,0
14,0,0,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
15,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
16,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
17,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
18,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
19,2,2,0,0,0,1.000,1.000,0.000,0.693,1.000,0.000,0.693,0,0
20,3,3,0,0,0,1.000,1.000,0.000,0.950,1.000,0.000,0.950,0,0
21,4,4,0,0,0,1.000,1.000,0.000,1.332,1.000,0.000,1.332,0,0
22,4,1,3,0,0,0.824,1.000,0.000,1.295,0.701,0.552,1.846,0,0
23,4,2,2,0,0,0.906,1.000,0.000,1.119,0.829,0.231,1.350,0,0
24,5,4,1,0,0,0.960,1.000,0.000,1.516,0.923,0.126,1.642,0,0
25,4,2,2,0,0,0.847,1.000,0.000,1.167,0.734,0.422,1.590,0,0
26,5,4,1,0,0,0.850,1.000,0.000,1.273,0.739,0.450,1.724,0,0
27,5,3,2,0,0,0.916,1.000,0.000,1.512,0.844,0.278,1.790,0,0
28,5,2,3,0,0,0.867,1.000,0.000,1.416,0.766,0.433,1.849,0,0
29,5,1,4,0,0,0.743,1.000,0.000,1.423,0.591,0.984,2.406,0,0
30,5,2,3,0,0,0.800,1.000,0.000,1.398,0.667,0.699,2.098,0,0
31,4,2,2,0,0,0.568,1.000,0.000,0.878,0.396,1.338,2.216,0,0
32,6,2,4,0,0,0.758,1.000,0.000,1.454,0.610,0.930,2.384,0,0
33,5,3,2,0,0,0.785,1.000,0.000,1.309,0.646,0.717,2.026,0,0
34,5,3,2,0,0,0.880,1.000,0.000,1.490,0.785,0.407,1.898,0,0
35,4,1,3,0,0,0.769,1.000,0.000,1.213,0.624,0.730,1.943,0,0
36,4,3,1,0,0,0.960,1.000,0.000,1.366,0.924,0.112,1.479,0,0
37,4,1,3,0,0,0.763,1.000,0.000,1.241,0.617,0.769,2.010,0,0
38,4,0,4,0,0,0.727,1.000,0.000,1.168,0.571,0.878,2.046,0,0
39,4,0,4,0,0,0.592,1.000,0.000,1.025,0.420,1.413,2.438,0,0
40,4,3,1,0,0,0.704,1.000,0.000,0.895,0.543,0.754,1.649,0,0
41,3,2,1,0,0,0.803,1.000,0.000,0.925,0.671,0.453,1.378,0,0
42,4,3,1,0,0,0.964,1.000,0.000,1.347,0.931,0.101,1.448,0,0
43,4,3,1,0,0,0.863,1.000,0.000,1.299,0.758,0.414,1.712,0,0
44,3,2,1,0,0,0.959,1.000,0.000,0.956,0.921,0.082,1.038,0,0
45,3,1,2,0,0,0.673,1.000,0.000,0.959,0.507,0.932,1.891,0,0
46,3,0,3,0,0,0.736,1.000,0.000,1.028,0.582,0.738,1.766,0,0
47,2,0,2,0,0,0.477,1.000,0.000,0.598,0.313,1.310,1.909,0,0
48,3,0,3,0,0,0.539,1.000,0.000,0.760,0.369,1.298,2.058,0,0
49,4,3,1,0,0,0.949,1.000,0.000,1.169,0.903,0.126,1.295,0,0
50,4,3,1,0,0,0.826,1.000,0.000,1.199,0.703,0.506,1.705,0,0
51,4,1,3,0,0,0.843,1.000,0.000,1.358,0.729,0.506,1.864,0,0
