frame,f1_score(iou>=0.3),precision,recall,TP,FP,FN,f1_score(iou>=0.5),precision,recall,TP,FP,FN
1,0.4,0.333,0.5,1,2,1,0.4,0.333,0.5,1,2,1
2,0,0,0,0,1,2,0,0,0,0,1,2
3,0.444,0.4,0.5,2,3,2,0.444,0.4,0.5,2,3,2
4,0.286,0.333,0.25,1,2,3,0.286,0.333,0.25,1,2,3
5,0.25,0.2,0.333,1,4,2,0.25,0.2,0.333,1,4,2
6,0.182,0.167,0.2,1,5,4,0.182,0.167,0.2,1,5,4
7,0,0,0,0,4,2,0,0,0,0,4,2
8,0.286,0.5,0.2,1,1,4,0.286,0.5,0.2,1,1,4
9,0.444,0.5,0.4,2,2,3,0.444,0.5,0.4,2,2,3
10,0,0,0,0,2,5,0,0,0,0,2,5
11,0.667,0.75,0.6,3,1,2,0.667,0.75,0.6,3,1,2
12,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
13,0.2,0.2,0.2,1,4,4,0.2,0.2,0.2,1,4,4
14,0,-nan,0,0,0,5,0,-nan,0,0,0,5
15,0.364,0.333,0.4,2,4,3,0.364,0.333,0.4,2,4,3
16,0.571,1,0.4,2,0,3,0.571,1,0.4,2,0,3
17,0.25,0.333,0.2,1,2,4,0.25,0.333,0.2,1,2,4
18,0.222,0.25,0.2,1,3,4,0.222,0.25,0.2,1,3,4
19,0.333,1,0.2,1,0,4,0.333,1,0.2,1,0,4
20,0,0,0,0,2,5,0,0,0,0,2,5
21,0.222,0.2,0.25,1,4,3,0.222,0.2,0.25,1,4,3
22,0.286,0.5,0.2,1,1,4,0.286,0.5,0.2,1,1,4
23,0.333,1,0.2,1,0,4,0.333,1,0.2,1,0,4
24,0.286,0.5,0.2,1,1,4,0.286,0.5,0.2,1,1,4
25,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
26,0.4,0.5,0.333,1,1,2,0.4,0.5,0.333,1,1,2
27,0.333,0.5,0.25,1,1,3,0.333,0.5,0.25,1,1,3
28,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,1,1
29,0.667,1,0.5,2,0,2,0.667,1,0.5,2,0,2
30,0.667,1,0.5,2,0,2,0.667,1,0.5,2,0,2
31,0.667,1,0.5,2,0,2,0.667,1,0.5,2,0,2
32,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
33,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
34,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
35,0.4,0.5,0.333,1,1,2,0.4,0.5,0.333,1,1,2
36,0.667,0.667,0.667,2,1,1,0.667,0.667,0.667,2,1,1
37,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,1,1
38,1,1,1,1,0,0,1,1,1,1,0,0
39,0.5,0.333,1,1,2,0,0.5,0.333,1,1,2,0
40,0.667,0.5,1,1,1,0,0.667,0.5,1,1,1,0
41,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
