2,0.167,0.111,0.333,1,8,2,0.167,0.111,0.333,1,8,2
3,0.222,0.125,1,1,7,0,0.222,0.125,1,1,7,0
4,0.5,0.333,1,2,4,0,0.5,0.333,1,2,4,0
5,0.182,0.1,1,1,9,0,0.182,0.1,1,1,9,0
6,0.167,0.0909,1,1,10,0,0.167,0.0909,1,1,10,0
7,0.667,0.5,1,1,1,0,0.667,0.5,1,1,1,0
8,0.333,0.2,1,1,4,0,0.333,0.2,1,1,4,0
9,0.667,0.5,1,1,1,0,0.667,0.5,1,1,1,0
10,0.333,0.2,1,1,4,0,0.333,0.2,1,1,4,0
11,0.182,0.1,1,1,9,0,0.182,0.1,1,1,9,0
12,0.182,0.1,1,1,9,0,0.182,0.1,1,1,9,0
13,0,0,0,0,15,1,0,0,0,0,15,1
14,0.2,0.111,1,1,8,0,0.2,0.111,1,1,8,0
39,0.2,0.111,1,1,8,0,0.2,0.111,1,1,8,0
40,0.154,0.0833,1,1,11,0,0.154,0.0833,1,1,11,0
41,0.182,0.1,1,1,9,0,0.182,0.1,1,1,9,0
42,0.286,0.167,1,1,5,0,0,0,0,0,6,1
43,0.25,0.143,1,1,6,0,0,0,0,0,7,1
44,0.5,0.333,1,1,2,0,0.5,0.333,1,1,2,0
45,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,1,1
46,0.267,0.154,1,2,11,0,0.267,0.154,1,2,11,0
47,0.182,0.111,0.5,1,8,1,0.182,0.111,0.5,1,8,1
48,0.8,0.667,1,2,1,0,0.8,0.667,1,2,1,0
49,0,0,0,0,7,2,0,0,0,0,7,2
50,0.333,0.2,1,2,8,0,0.333,0.2,1,2,8,0
51,0.167,0.1,0.5,1,9,1,0.167,0.1,0.5,1,9,1
52,0,0,0,0,6,1,0,0,0,0,6,1
53,0,0,0,0,7,1,0,0,0,0,7,1
54,0.182,0.1,1,1,9,0,0.182,0.1,1,1,9,0
55,0,0,0,0,6,1,0,0,0,0,6,1
56,0,0,0,0,5,1,0,0,0,0,5,1
57,0.286,0.167,1,1,5,0,0.286,0.167,1,1,5,0
58,0.25,0.143,1,1,6,0,0.25,0.143,1,1,6,0
59,0.222,0.125,1,1,7,0,0.222,0.125,1,1,7,0
60,0,0,0,0,1,1,0,0,0,0,1,1
61,0.333,0.2,1,1,4,0,0.333,0.2,1,1,4,0
62,0.182,0.1,1,1,9,0,0.182,0.1,1,1,9,0
63,0.333,0.2,1,1,4,0,0.333,0.2,1,1,4,0
64,0.182,0.1,1,1,9,0,0.182,0.1,1,1,9,0
65,0.5,0.333,1,1,2,0,0.5,0.333,1,1,2,0
66,0.286,0.167,1,1,5,0,0.286,0.167,1,1,5,0
67,0.333,0.2,1,1,4,0,0.333,0.2,1,1,4,0
68,0.4,0.25,1,1,3,0,0.4,0.25,1,1,3,0
69,0.667,0.5,1,1,1,0,0.667,0.5,1,1,1,0
70,0.286,0.167,1,1,5,0,0.286,0.167,1,1,5,0
71,0,0,0,0,10,1,0,0,0,0,10,1
72,0.154,0.0833,1,1,11,0,0.154,0.0833,1,1,11,0
73,0.182,0.1,1,1,9,0,0.182,0.1,1,1,9,0
231,0,0,0,0,1,1,0,0,0,0,1,1
232,0.333,0.2,1,1,4,0,0.333,0.2,1,1,4,0
233,0.333,0.2,1,1,4,0,0.333,0.2,1,1,4,0
234,0.4,0.25,1,1,3,0,0.4,0.25,1,1,3,0
235,0.5,0.333,1,1,2,0,0.5,0.333,1,1,2,0
236,0.4,0.25,1,1,3,0,0.4,0.25,1,1,3,0
237,0.286,0.167,1,1,5,0,0.286,0.167,1,1,5,0
238,0.5,0.333,1,1,2,0,0.5,0.333,1,1,2,0
239,0.333,0.2,1,1,4,0,0.333,0.2,1,1,4,0
240,0.333,0.2,1,1,4,0,0.333,0.2,1,1,4,0
241,0.286,0.167,1,1,5,0,0,0,0,0,6,1
242,0.5,0.333,1,1,2,0,0.5,0.333,1,1,2,0
243,1,1,1,1,0,0,1,1,1,1,0,0
244,0.667,0.5,1,1,1,0,0.667,0.5,1,1,1,0
245,0.4,0.333,0.5,1,2,1,0.4,0.333,0.5,1,2,1
246,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,1,1
247,0.571,0.4,1,2,3,0,0.286,0.2,0.5,1,4,1
248,0.571,0.4,1,2,3,0,0.286,0.2,0.5,1,4,1
249,0.444,0.286,1,2,5,0,0.222,0.143,0.5,1,6,1
250,0.571,0.4,1,2,3,0,0.571,0.4,1,2,3,0
251,0.5,0.333,1,2,4,0,0.5,0.333,1,2,4,0
252,0.667,0.5,1,2,2,0,0.667,0.5,1,2,2,0
253,0.571,0.4,1,2,3,0,0.571,0.4,1,2,3,0
254,0.333,0.2,1,2,8,0,0.333,0.2,1,2,8,0
255,0.571,0.4,1,2,3,0,0.571,0.4,1,2,3,0
256,0.444,0.286,1,2,5,0,0.444,0.286,1,2,5,0
257,0.286,0.2,0.5,1,4,1,0.286,0.2,0.5,1,4,1
258,1,1,1,2,0,0,1,1,1,2,0,0
259,0.4,0.333,0.5,1,2,1,0.4,0.333,0.5,1,2,1
260,0.286,0.167,1,1,5,0,0.286,0.167,1,1,5,0
261,0.286,0.167,1,1,5,0,0,0,0,0,6,1
262,0.333,0.2,1,1,4,0,0.333,0.2,1,1,4,0
263,0.167,0.0909,1,1,10,0,0.167,0.0909,1,1,10,0
264,0.25,0.154,0.667,2,11,1,0.25,0.154,0.667,2,11,1
265,0.167,0.1,0.5,1,9,1,0.167,0.1,0.5,1,9,1
266,0,0,0,0,7,2,0,0,0,0,7,2
267,0.286,0.2,0.5,1,4,1,0.286,0.2,0.5,1,4,1
268,0,0,0,0,6,2,0,0,0,0,6,2
269,0,0,0,0,3,1,0,0,0,0,3,1
299,0.5,0.333,1,1,2,0,0.5,0.333,1,1,2,0
300,0.4,0.5,0.333,1,1,2,0.4,0.5,0.333,1,1,2
301,0.364,0.286,0.5,2,5,2,0.364,0.286,0.5,2,5,2
302,0,0,0,0,3,4,0,0,0,0,3,4
303,0.2,0.167,0.25,1,5,3,0.2,0.167,0.25,1,5,3
304,0.222,0.2,0.25,1,4,3,0.222,0.2,0.25,1,4,3
305,0.5,0.333,1,3,6,0,0.333,0.222,0.667,2,7,1
306,0.5,0.333,1,3,6,0,0.333,0.222,0.667,2,7,1
307,0.154,0.0909,0.5,1,10,1,0.154,0.0909,0.5,1,10,1
308,0.571,0.4,1,2,3,0,0.286,0.2,0.5,1,4,1
309,0.286,0.2,0.5,1,4,1,0,0,0,0,5,2
310,0.4,0.25,1,1,3,0,0,0,0,0,4,1
311,0.286,0.167,1,1,5,0,0,0,0,0,6,1
312,0.2,0.111,1,1,8,0,0,0,0,0,9,1
313,0.25,0.143,1,1,6,0,0,0,0,0,7,1
314,0,0,0,0,5,1,0,0,0,0,5,1
315,0,0,0,0,6,1,0,0,0,0,6,1
316,0.2,0.111,1,1,8,0,0.2,0.111,1,1,8,0
317,0.286,0.167,1,1,5,0,0.286,0.167,1,1,5,0
