frame,f1_score(iou>=0.3),precision,recall,TP,FP,FN,f1_score(iou>=0.5),precision,recall,TP,FP,FN
1,0.444,0.333,0.667,2,4,1,0.222,0.167,0.333,1,5,2
2,0.8,1,0.667,2,0,1,0.4,0.5,0.333,1,1,2
3,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
4,0.857,0.75,1,3,1,0,0.857,0.75,1,3,1,0
5,0.5,0.333,1,2,4,0,0.5,0.333,1,2,4,0
6,0.4,0.5,0.333,1,1,2,0.4,0.5,0.333,1,1,2
7,1,1,1,3,0,0,1,1,1,3,0,0
8,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
9,1,1,1,3,0,0,1,1,1,3,0,0
10,0.4,0.5,0.333,1,1,2,0.4,0.5,0.333,1,1,2
11,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
12,0.333,0.5,0.25,1,1,3,0.333,0.5,0.25,1,1,3
13,0,-nan,0,0,0,4,0,-nan,0,0,0,4
14,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
15,0.857,1,0.75,3,0,1,0.857,1,0.75,3,0,1
16,0.857,1,0.75,3,0,1,0.857,1,0.75,3,0,1
17,0.75,0.75,0.75,3,1,1,0.5,0.5,0.5,2,2,2
18,0.889,0.8,1,4,1,0,0.889,0.8,1,4,1,0
19,0.75,0.75,0.75,3,1,1,0.75,0.75,0.75,3,1,1
20,0.667,1,0.5,2,0,2,0.667,1,0.5,2,0,2
21,1,1,1,3,0,0,1,1,1,3,0,0
22,1,1,1,3,0,0,1,1,1,3,0,0
23,1,1,1,3,0,0,1,1,1,3,0,0
24,1,1,1,3,0,0,1,1,1,3,0,0
25,1,1,1,2,0,0,1,1,1,2,0,0
26,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
27,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
28,0.333,0.333,0.333,1,2,2,0.333,0.333,0.333,1,2,2
29,0,-nan,0,0,0,3,0,-nan,0,0,0,3
30,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
31,0,-nan,0,0,0,3,0,-nan,0,0,0,3
32,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
33,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
34,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
35,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
36,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
37,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
38,1,1,1,3,0,0,1,1,1,3,0,0
39,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
40,1,1,1,3,0,0,1,1,1,3,0,0
41,1,1,1,3,0,0,1,1,1,3,0,0
42,1,1,1,3,0,0,1,1,1,3,0,0
43,0.857,0.75,1,3,1,0,0.857,0.75,1,3,1,0
44,1,1,1,2,0,0,1,1,1,2,0,0
45,0.667,0.5,1,2,2,0,0.667,0.5,1,2,2,0
46,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,1,1
47,1,1,1,2,0,0,1,1,1,2,0,0
48,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,1,1
49,1,1,1,2,0,0,1,1,1,2,0,0
50,1,1,1,2,0,0,1,1,1,2,0,0
51,1,1,1,2,0,0,1,1,1,2,0,0
52,1,1,1,2,0,0,1,1,1,2,0,0
53,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
54,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
55,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
56,1,1,1,3,0,0,1,1,1,3,0,0
57,1,1,1,3,0,0,1,1,1,3,0,0
58,1,1,1,3,0,0,1,1,1,3,0,0
59,0.857,1,0.75,3,0,1,0.857,1,0.75,3,0,1
60,1,1,1,3,0,0,1,1,1,3,0,0
61,0.5,0.5,0.5,2,2,2,0.5,0.5,0.5,2,2,2
62,0.667,0.6,0.75,3,2,1,0.667,0.6,0.75,3,2,1
63,0.5,0.5,0.5,2,2,2,0.5,0.5,0.5,2,2,2
64,0.571,0.667,0.5,2,1,2,0.571,0.667,0.5,2,1,2
65,0.4,0.5,0.333,1,1,2,0.4,0.5,0.333,1,1,2
66,0.667,0.667,0.667,2,1,1,0.667,0.667,0.667,2,1,1
67,0.4,0.5,0.333,1,1,2,0.4,0.5,0.333,1,1,2
68,0.8,0.667,1,2,1,0,0.8,0.667,1,2,1,0
69,1,1,1,2,0,0,1,1,1,2,0,0
70,0,0,0,0,2,2,0,0,0,0,2,2
71,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,1,1
72,0.5,0.333,1,1,2,0,0.5,0.333,1,1,2,0
73,0.5,0.333,1,1,2,0,0.5,0.333,1,1,2,0
74,0.333,0.2,1,1,4,0,0.333,0.2,1,1,4,0
75,0.444,0.286,1,2,5,0,0.444,0.286,1,2,5,0
76,0.571,0.4,1,2,3,0,0.571,0.4,1,2,3,0
77,0.667,0.5,1,2,2,0,0.667,0.5,1,2,2,0
78,0.667,0.5,1,2,2,0,0.667,0.5,1,2,2,0
79,0.571,0.4,1,2,3,0,0.571,0.4,1,2,3,0
80,0.2,0.125,0.5,1,7,1,0.2,0.125,0.5,1,7,1
