frame,f1_score(iou>=0.3),precision,recall,TP,FP,FN,f1_score(iou>=0.5),precision,recall,TP,FP,FN
1,0.529,0.409,0.75,9,13,3,0.471,0.364,0.667,8,14,4
2,0.69,0.714,0.667,10,4,5,0.621,0.643,0.6,9,5,6
3,0.6,0.6,0.6,9,6,6,0.6,0.6,0.6,9,6,6
4,0.571,0.571,0.571,8,6,6,0.5,0.5,0.5,7,7,7
5,0.333,0.242,0.533,8,25,7,0.292,0.212,0.467,7,26,8
6,0.75,0.706,0.8,12,5,3,0.688,0.647,0.733,11,6,4
7,0.588,0.526,0.667,10,9,5,0.588,0.526,0.667,10,9,5
8,0.478,0.344,0.786,11,21,3,0.478,0.344,0.786,11,21,3
9,0.591,0.481,0.765,13,14,4,0.545,0.444,0.706,12,15,5
10,0.698,0.577,0.882,15,11,2,0.698,0.577,0.882,15,11,2
11,0.579,0.5,0.688,11,11,5,0.579,0.5,0.688,11,11,5
12,0.714,0.714,0.714,10,4,4,0.714,0.714,0.714,10,4,4
13,0.368,0.304,0.467,7,16,8,0.316,0.261,0.4,6,17,9
14,0.632,0.545,0.75,12,10,4,0.632,0.545,0.75,12,10,4
15,0.571,0.556,0.588,10,8,7,0.571,0.556,0.588,10,8,7
16,0.727,0.706,0.75,12,5,4,0.727,0.706,0.75,12,5,4
17,0.578,0.464,0.765,13,15,4,0.489,0.393,0.647,11,17,6
18,0.343,0.286,0.429,6,15,8,0.343,0.286,0.429,6,15,8
19,0.545,0.462,0.667,12,14,6,0.5,0.423,0.611,11,15,7
20,0.476,0.385,0.625,10,16,6,0.381,0.308,0.5,8,18,8
21,0.414,0.375,0.462,6,10,7,0.414,0.375,0.462,6,10,7
22,0.688,0.579,0.846,11,8,2,0.625,0.526,0.769,10,9,3
23,0.585,0.462,0.8,12,14,3,0.488,0.385,0.667,10,16,5
24,0.588,0.476,0.769,10,11,3,0.588,0.476,0.769,10,11,3
25,0.516,0.444,0.615,8,10,5,0.516,0.444,0.615,8,10,5
26,0.5,0.412,0.636,7,10,4,0.429,0.353,0.545,6,11,5
27,0.583,0.538,0.636,7,6,4,0.583,0.538,0.636,7,6,4
28,0.389,0.28,0.636,7,18,4,0.278,0.2,0.455,5,20,6
29,0.552,0.444,0.727,8,10,3,0.483,0.389,0.636,7,11,4
30,0.452,0.368,0.583,7,12,5,0.387,0.316,0.5,6,13,6
31,0.429,0.31,0.692,9,20,4,0.381,0.276,0.615,8,21,5
32,0.533,0.471,0.615,8,9,5,0.467,0.412,0.538,7,10,6
33,0.488,0.357,0.769,10,18,3,0.488,0.357,0.769,10,18,3
34,0.516,0.421,0.667,8,11,4,0.516,0.421,0.667,8,11,4
35,0.5,0.36,0.818,9,16,2,0.444,0.32,0.727,8,17,3
36,0.513,0.357,0.909,10,18,1,0.462,0.321,0.818,9,19,2
37,0.526,0.385,0.833,10,16,2,0.421,0.308,0.667,8,18,4
38,0.455,0.323,0.769,10,21,3,0.455,0.323,0.769,10,21,3
39,0.632,0.5,0.857,12,12,2,0.579,0.458,0.786,11,13,3
40,0.545,0.409,0.818,9,13,2,0.545,0.409,0.818,9,13,2
41,0.581,0.474,0.75,9,10,3,0.581,0.474,0.75,9,10,3
42,0.5,0.421,0.615,8,11,5,0.5,0.421,0.615,8,11,5
43,0.421,0.308,0.667,8,18,4,0.368,0.269,0.583,7,19,5
44,0.474,0.375,0.643,9,15,5,0.421,0.333,0.571,8,16,6
45,0.529,0.409,0.75,9,13,3,0.529,0.409,0.75,9,13,3
46,0.444,0.32,0.727,8,17,3,0.444,0.32,0.727,8,17,3
47,0.375,0.3,0.5,6,14,6,0.375,0.3,0.5,6,14,6
48,0.357,0.312,0.417,5,11,7,0.357,0.312,0.417,5,11,7
49,0.324,0.25,0.462,6,18,7,0.324,0.25,0.462,6,18,7
50,0.696,0.727,0.667,8,3,4,0.696,0.727,0.667,8,3,4
51,0.312,0.278,0.357,5,13,9,0.25,0.222,0.286,4,14,10
52,0.457,0.364,0.615,8,14,5,0.343,0.273,0.462,6,16,7
53,0.341,0.25,0.538,7,21,6,0.293,0.214,0.462,6,22,7
54,0.514,0.429,0.643,9,12,5,0.457,0.381,0.571,8,13,6
55,0.733,0.611,0.917,11,7,1,0.733,0.611,0.917,11,7,1
56,0.5,0.381,0.727,8,13,3,0.5,0.381,0.727,8,13,3
57,0.516,0.444,0.615,8,10,5,0.516,0.444,0.615,8,10,5
58,0.625,0.526,0.769,10,9,3,0.625,0.526,0.769,10,9,3
59,0.688,0.647,0.733,11,6,4,0.625,0.588,0.667,10,7,5
60,0.581,0.5,0.692,9,9,4,0.581,0.5,0.692,9,9,4
61,0.71,0.611,0.846,11,7,2,0.71,0.611,0.846,11,7,2
62,0.375,0.316,0.462,6,13,7,0.312,0.263,0.385,5,14,8
63,0.667,0.643,0.692,9,5,4,0.667,0.643,0.692,9,5,4
64,0.6,0.474,0.818,9,10,2,0.6,0.474,0.818,9,10,2
65,0.471,0.381,0.615,8,13,5,0.412,0.333,0.538,7,14,6
66,0.435,0.417,0.455,5,7,6,0.435,0.417,0.455,5,7,6
67,0.667,0.538,0.875,7,6,1,0.667,0.538,0.875,7,6,1
68,0.571,0.429,0.857,6,8,1,0.571,0.429,0.857,6,8,1
69,0.452,0.333,0.7,7,14,3,0.387,0.286,0.6,6,15,4
70,0.417,0.357,0.5,5,9,5,0.333,0.286,0.4,4,10,6
71,0.583,0.438,0.875,7,9,1,0.5,0.375,0.75,6,10,2
72,0.56,0.5,0.636,7,7,4,0.48,0.429,0.545,6,8,5
73,0.6,0.6,0.6,6,4,4,0.6,0.6,0.6,6,4,4
74,0.519,0.438,0.636,7,9,4,0.519,0.438,0.636,7,9,4
75,0.615,0.533,0.727,8,7,3,0.538,0.467,0.636,7,8,4
76,0.621,0.5,0.818,9,9,2,0.483,0.389,0.636,7,11,4
77,0.552,0.4,0.889,8,12,1,0.483,0.35,0.778,7,13,2
78,0.364,0.261,0.6,6,17,4,0.303,0.217,0.5,5,18,5
79,0.462,0.429,0.5,6,8,6,0.308,0.286,0.333,4,10,8
80,0.414,0.353,0.5,6,11,6,0.276,0.235,0.333,4,13,8
81,0.522,0.462,0.6,6,7,4,0.522,0.462,0.6,6,7,4
82,0.424,0.333,0.583,7,14,5,0.303,0.238,0.417,5,16,7
83,0.467,0.389,0.583,7,11,5,0.4,0.333,0.5,6,12,6
84,0.538,0.467,0.636,7,8,4,0.538,0.467,0.636,7,8,4
85,0.438,0.35,0.583,7,13,5,0.312,0.25,0.417,5,15,7
86,0.593,0.5,0.727,8,8,3,0.444,0.375,0.545,6,10,5
87,0.615,0.5,0.8,8,8,2,0.615,0.5,0.8,8,8,2
88,0.762,0.8,0.727,8,2,3,0.667,0.7,0.636,7,3,4
89,0.667,0.778,0.583,7,2,5,0.571,0.667,0.5,6,3,6
90,0.667,0.7,0.636,7,3,4,0.571,0.6,0.545,6,4,5
91,0.8,0.889,0.727,8,1,3,0.8,0.889,0.727,8,1,3
92,0.667,0.6,0.75,9,6,3,0.444,0.4,0.5,6,9,6
93,0.667,0.636,0.7,7,4,3,0.571,0.545,0.6,6,5,4
