frame,f1_score(iou>=0.3),precision,recall,TP,FP,FN,f1_score(iou>=0.5),precision,recall,TP,FP,FN
1,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
2,0.769,0.625,1,5,3,0,0.769,0.625,1,5,3,0
3,0.769,0.625,1,5,3,0,0.769,0.625,1,5,3,0
4,0.727,0.8,0.667,4,1,2,0.545,0.6,0.5,3,2,3
5,0.833,0.714,1,5,2,0,0.833,0.714,1,5,2,0
6,0.727,0.8,0.667,4,1,2,0.727,0.8,0.667,4,1,2
7,0.667,0.5,1,5,5,0,0.667,0.5,1,5,5,0
8,1,1,1,6,0,0,1,1,1,6,0,0
9,0.667,0.556,0.833,5,4,1,0.533,0.444,0.667,4,5,2
10,0.727,0.8,0.667,4,1,2,0.545,0.6,0.5,3,2,3
11,0.625,0.5,0.833,5,5,1,0.625,0.5,0.833,5,5,1
12,0.706,0.545,1,6,5,0,0.588,0.455,0.833,5,6,1
13,0.615,0.571,0.667,4,3,2,0.615,0.571,0.667,4,3,2
14,0.667,0.667,0.667,4,2,2,0.667,0.667,0.667,4,2,2
15,0.667,0.667,0.667,4,2,2,0.667,0.667,0.667,4,2,2
16,0.833,0.833,0.833,5,1,1,0.833,0.833,0.833,5,1,1
17,0.769,0.625,1,5,3,0,0.769,0.625,1,5,3,0
18,0.588,0.417,1,5,7,0,0.588,0.417,1,5,7,0
19,0.444,0.308,0.8,4,9,1,0.333,0.231,0.6,3,10,2
20,0.276,0.167,0.8,4,20,1,0.276,0.167,0.8,4,20,1
21,0.714,0.625,0.833,5,3,1,0.714,0.625,0.833,5,3,1
22,0.769,0.714,0.833,5,2,1,0.769,0.714,0.833,5,2,1
23,0.667,0.571,0.8,4,3,1,0.667,0.571,0.8,4,3,1
24,0.727,0.667,0.8,4,2,1,0.727,0.667,0.8,4,2,1
25,0.889,1,0.8,4,0,1,0.889,1,0.8,4,0,1
26,0.545,0.6,0.5,3,2,3,0.545,0.6,0.5,3,2,3
27,0.667,0.75,0.6,3,1,2,0.667,0.75,0.6,3,1,2
28,0.571,0.444,0.8,4,5,1,0.571,0.444,0.8,4,5,1
29,0.8,0.8,0.8,4,1,1,0.8,0.8,0.8,4,1,1
30,0.667,0.545,0.857,6,5,1,0.556,0.455,0.714,5,6,2
31,0.7,0.583,0.875,7,5,1,0.7,0.583,0.875,7,5,1
32,0.769,0.833,0.714,5,1,2,0.769,0.833,0.714,5,1,2
33,0.923,0.857,1,6,1,0,0.923,0.857,1,6,1,0
34,0.8,0.667,1,6,3,0,0.8,0.667,1,6,3,0
35,0.75,0.75,0.75,6,2,2,0.75,0.75,0.75,6,2,2
36,0.556,0.556,0.556,5,4,4,0.556,0.556,0.556,5,4,4
37,0.5,0.444,0.571,4,5,3,0.5,0.444,0.571,4,5,3
38,0.4,0.375,0.429,3,5,4,0.4,0.375,0.429,3,5,4
39,0.526,0.556,0.5,5,4,5,0.526,0.556,0.5,5,4,5
40,0.8,0.857,0.75,6,1,2,0.8,0.857,0.75,6,1,2
41,0.667,1,0.5,4,0,4,0.667,1,0.5,4,0,4
42,0.571,0.667,0.5,4,2,4,0.429,0.5,0.375,3,3,5
43,0.667,0.625,0.714,5,3,2,0.667,0.625,0.714,5,3,2
44,0.833,1,0.714,5,0,2,0.833,1,0.714,5,0,2
45,0.714,0.833,0.625,5,1,3,0.714,0.833,0.625,5,1,3
46,0.545,0.6,0.5,3,2,3,0.545,0.6,0.5,3,2,3
47,0.632,0.5,0.857,6,6,1,0.632,0.5,0.857,6,6,1
48,0.8,1,0.667,4,0,2,0.8,1,0.667,4,0,2
49,0.727,0.8,0.667,4,1,2,0.727,0.8,0.667,4,1,2
50,0.714,0.714,0.714,5,2,2,0.714,0.714,0.714,5,2,2
51,0.545,0.6,0.5,3,2,3,0.545,0.6,0.5,3,2,3
52,0.462,0.429,0.5,3,4,3,0.462,0.429,0.5,3,4,3
53,0.8,0.8,0.8,4,1,1,0.8,0.8,0.8,4,1,1
54,0.769,0.714,0.833,5,2,1,0.769,0.714,0.833,5,2,1
55,0.889,1,0.8,4,0,1,0.889,1,0.8,4,0,1
56,0.667,0.667,0.667,4,2,2,0.667,0.667,0.667,4,2,2
57,0.545,0.6,0.5,3,2,3,0.545,0.6,0.5,3,2,3
58,0.857,1,0.75,3,0,1,0.857,1,0.75,3,0,1
59,0.4,0.333,0.5,2,4,2,0.4,0.333,0.5,2,4,2
60,0.75,0.75,0.75,3,1,1,0.75,0.75,0.75,3,1,1
61,0.571,0.667,0.5,2,1,2,0.571,0.667,0.5,2,1,2
62,0.5,0.5,0.5,2,2,2,0.5,0.5,0.5,2,2,2
63,0.444,0.4,0.5,2,3,2,0.444,0.4,0.5,2,3,2
64,0.6,0.6,0.6,3,2,2,0.6,0.6,0.6,3,2,2
65,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
66,0.75,1,0.6,3,0,2,0.75,1,0.6,3,0,2
67,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
68,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
69,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
70,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
71,1,1,1,2,0,0,1,1,1,2,0,0
72,1,1,1,2,0,0,1,1,1,2,0,0
73,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
74,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
75,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
76,0.8,0.667,1,2,1,0,0.8,0.667,1,2,1,0
77,1,1,1,2,0,0,1,1,1,2,0,0
78,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
79,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
80,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
81,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
82,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
83,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
84,0,-nan,0,0,0,2,0,-nan,0,0,0,2
85,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
86,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
87,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
88,1,1,1,1,0,0,1,1,1,1,0,0
89,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
90,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
91,0,-nan,0,0,0,4,0,-nan,0,0,0,4
92,0,-nan,0,0,0,3,0,-nan,0,0,0,3
93,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
94,0,0,0,0,1,1,0,0,0,0,1,1
95,0.667,0.5,1,1,1,0,0.667,0.5,1,1,1,0
96,0.667,0.5,1,1,1,0,0.667,0.5,1,1,1,0
97,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,1,1
98,0,0,0,0,1,2,0,0,0,0,1,2
99,0,-nan,0,0,0,1,0,-nan,0,0,0,1
100,0,0,0,0,1,2,0,0,0,0,1,2
101,0,-nan,0,0,0,1,0,-nan,0,0,0,1
102,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
103,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
