frame,f1_score(iou>=0.3),precision,recall,TP,FP,FN,f1_score(iou>=0.5),precision,recall,TP,FP,FN
1,0,0,0,0,4,2,0,0,0,0,4,2
2,0.222,0.167,0.333,1,5,2,0.222,0.167,0.333,1,5,2
3,0,0,0,0,3,2,0,0,0,0,3,2
4,0.2,0.125,0.5,1,7,1,0.2,0.125,0.5,1,7,1
5,0,0,0,0,3,2,0,0,0,0,3,2
6,0,0,0,0,8,3,0,0,0,0,8,3
7,0,0,0,0,1,3,0,0,0,0,1,3
8,0.4,0.333,0.5,1,2,1,0.4,0.333,0.5,1,2,1
9,0.444,0.4,0.5,2,3,2,0.444,0.4,0.5,2,3,2
10,0.286,0.2,0.5,1,4,1,0.286,0.2,0.5,1,4,1
11,0.222,0.167,0.333,1,5,2,0.222,0.167,0.333,1,5,2
12,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,1,1
13,0.5,0.4,0.667,2,3,1,0.5,0.4,0.667,2,3,1
14,1,1,1,4,0,0,1,1,1,4,0,0
15,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
16,0.667,0.6,0.75,3,2,1,0.667,0.6,0.75,3,2,1
17,0.75,0.75,0.75,3,1,1,0.75,0.75,0.75,3,1,1
18,0.667,0.6,0.75,3,2,1,0.667,0.6,0.75,3,2,1
19,1,1,1,3,0,0,1,1,1,3,0,0
20,0.8,0.667,1,2,1,0,0.8,0.667,1,2,1,0
21,0.857,1,0.75,3,0,1,0.857,1,0.75,3,0,1
22,0.333,1,0.2,1,0,4,0.333,1,0.2,1,0,4
23,0.75,1,0.6,3,0,2,0.75,1,0.6,3,0,2
24,1,1,1,4,0,0,1,1,1,4,0,0
25,0.75,1,0.6,3,0,2,0.75,1,0.6,3,0,2
26,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
27,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
28,0.667,1,0.5,2,0,2,0.667,1,0.5,2,0,2
29,0.75,0.75,0.75,3,1,1,0.75,0.75,0.75,3,1,1
30,1,1,1,2,0,0,1,1,1,2,0,0
31,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
32,0.857,1,0.75,3,0,1,0.857,1,0.75,3,0,1
