frame,f1_score(iou>=0.3),precision,recall,TP,FP,FN,f1_score(iou>=0.5),precision,recall,TP,FP,FN
1,0,0,0,0,3,1,0,0,0,0,3,1
2,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
3,0.222,0.2,0.25,1,4,3,0.222,0.2,0.25,1,4,3
4,0,0,0,0,1,4,0,0,0,0,1,4
5,0,0,0,0,2,4,0,0,0,0,2,4
6,0,-nan,0,0,0,5,0,-nan,0,0,0,5
7,0,0,0,0,4,4,0,0,0,0,4,4
8,0.364,0.333,0.4,2,4,3,0.364,0.333,0.4,2,4,3
9,0.286,0.333,0.25,1,2,3,0,0,0,0,3,4
10,0,0,0,0,5,3,0,0,0,0,5,3
11,0,0,0,0,4,3,0,0,0,0,4,3
12,0,0,0,0,5,3,0,0,0,0,5,3
13,0,0,0,0,4,3,0,0,0,0,4,3
14,0.333,0.333,0.333,1,2,2,0,0,0,0,3,3
15,0.286,0.25,0.333,1,3,2,0,0,0,0,4,3
16,0.4,0.333,0.5,1,2,1,0,0,0,0,3,2
17,0.25,0.167,0.5,1,5,1,0,0,0,0,6,2
18,0.25,0.167,0.5,1,5,1,0,0,0,0,6,2
19,0.154,0.0909,0.5,1,10,1,0.154,0.0909,0.5,1,10,1
20,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,1,1
21,0.25,0.167,0.5,1,5,1,0.25,0.167,0.5,1,5,1
22,0.286,0.2,0.5,1,4,1,0.286,0.2,0.5,1,4,1
23,0.333,0.25,0.5,1,3,1,0.333,0.25,0.5,1,3,1
24,0.25,0.167,0.5,1,5,1,0.25,0.167,0.5,1,5,1
25,0.2,0.125,0.5,1,7,1,0.2,0.125,0.5,1,7,1
26,0.182,0.111,0.5,1,8,1,0.182,0.111,0.5,1,8,1
27,0.182,0.111,0.5,1,8,1,0.182,0.111,0.5,1,8,1
28,0.111,0.0625,0.5,1,15,1,0,0,0,0,16,2
29,0.154,0.0909,0.5,1,10,1,0.154,0.0909,0.5,1,10,1
30,0.222,0.125,1,1,7,0,0.222,0.125,1,1,7,0
31,0.167,0.0909,1,1,10,0,0.167,0.0909,1,1,10,0
32,0.222,0.125,1,1,7,0,0.222,0.125,1,1,7,0
33,0.125,0.0667,1,1,14,0,0.125,0.0667,1,1,14,0
34,0.154,0.0833,1,1,11,0,0.154,0.0833,1,1,11,0
35,0.2,0.111,1,1,8,0,0.2,0.111,1,1,8,0
36,0.25,0.143,1,1,6,0,0.25,0.143,1,1,6,0
37,0.2,0.111,1,1,8,0,0.2,0.111,1,1,8,0
38,0.2,0.111,1,1,8,0,0.2,0.111,1,1,8,0
39,0.182,0.1,1,1,9,0,0.182,0.1,1,1,9,0
40,0.182,0.1,1,1,9,0,0.182,0.1,1,1,9,0
41,0.333,0.2,1,1,4,0,0.333,0.2,1,1,4,0
42,0.2,0.111,1,1,8,0,0.2,0.111,1,1,8,0
43,0.222,0.125,1,1,7,0,0.222,0.125,1,1,7,0
44,0.2,0.111,1,1,8,0,0.2,0.111,1,1,8,0
45,0.25,0.143,1,1,6,0,0.25,0.143,1,1,6,0
46,0.182,0.1,1,1,9,0,0.182,0.1,1,1,9,0
47,0.222,0.125,1,1,7,0,0.222,0.125,1,1,7,0
48,0.167,0.0909,1,1,10,0,0.167,0.0909,1,1,10,0
49,0.2,0.111,1,1,8,0,0.2,0.111,1,1,8,0
50,0.2,0.111,1,1,8,0,0.2,0.111,1,1,8,0
51,0.167,0.0909,1,1,10,0,0.167,0.0909,1,1,10,0
52,0.133,0.0714,1,1,13,0,0.133,0.0714,1,1,13,0
53,0.182,0.1,1,1,9,0,0.182,0.1,1,1,9,0
54,0.118,0.0625,1,1,15,0,0.118,0.0625,1,1,15,0
55,0.105,0.0556,1,1,17,0,0,0,0,0,18,1
56,0.0833,0.0435,1,1,22,0,0,0,0,0,23,1
57,0.0645,0.0333,1,1,29,0,0.0645,0.0333,1,1,29,0
58,0.0833,0.0435,1,1,22,0,0.0833,0.0435,1,1,22,0
59,0.069,0.0357,1,1,27,0,0,0,0,0,28,1
60,0.0909,0.0476,1,1,20,0,0.0909,0.0476,1,1,20,0
61,0.069,0.0357,1,1,27,0,0,0,0,0,28,1
62,0.0909,0.0476,1,1,20,0,0.0909,0.0476,1,1,20,0
63,0.105,0.0556,1,1,17,0,0.105,0.0556,1,1,17,0
64,0.08,0.0417,1,1,23,0,0.08,0.0417,1,1,23,0
65,0.105,0.0556,1,1,17,0,0.105,0.0556,1,1,17,0
66,0.125,0.0667,1,1,14,0,0.125,0.0667,1,1,14,0
67,0.125,0.0667,1,1,14,0,0,0,0,0,15,1
68,0.118,0.0625,1,1,15,0,0.118,0.0625,1,1,15,0
69,0.167,0.0909,1,1,10,0,0.167,0.0909,1,1,10,0
70,0.143,0.0769,1,1,12,0,0.143,0.0769,1,1,12,0
71,0.1,0.0526,1,1,18,0,0.1,0.0526,1,1,18,0
72,0.154,0.0833,1,1,11,0,0.154,0.0833,1,1,11,0
73,0.133,0.0714,1,1,13,0,0.133,0.0714,1,1,13,0
74,0.133,0.0714,1,1,13,0,0,0,0,0,14,1
75,0.125,0.0667,1,1,14,0,0,0,0,0,15,1
76,0.182,0.1,1,1,9,0,0,0,0,0,10,1
77,0.333,0.2,1,1,4,0,0.333,0.2,1,1,4,0
78,0.286,0.167,1,1,5,0,0.286,0.167,1,1,5,0
79,0.154,0.0833,1,1,11,0,0,0,0,0,12,1
80,0.154,0.0833,1,1,11,0,0,0,0,0,12,1
81,0.222,0.125,1,1,7,0,0,0,0,0,8,1
82,0.167,0.0909,1,1,10,0,0.167,0.0909,1,1,10,0
83,0.143,0.0769,1,1,12,0,0,0,0,0,13,1
84,0.182,0.1,1,1,9,0,0,0,0,0,10,1
85,0.286,0.167,1,1,5,0,0,0,0,0,6,1
86,0.182,0.1,1,1,9,0,0.182,0.1,1,1,9,0
87,0.167,0.0909,1,1,10,0,0.167,0.0909,1,1,10,0
88,0.286,0.167,1,1,5,0,0.286,0.167,1,1,5,0
89,0.2,0.111,1,1,8,0,0.2,0.111,1,1,8,0
90,0.167,0.0909,1,1,10,0,0.167,0.0909,1,1,10,0
91,0.222,0.125,1,1,7,0,0,0,0,0,8,1
92,0.2,0.111,1,1,8,0,0.2,0.111,1,1,8,0
93,0.286,0.167,1,1,5,0,0.286,0.167,1,1,5,0
94,0.25,0.143,1,1,6,0,0.25,0.143,1,1,6,0
95,0.154,0.0833,1,1,11,0,0.154,0.0833,1,1,11,0
96,0.222,0.125,1,1,7,0,0.222,0.125,1,1,7,0
97,0.1,0.0526,1,1,18,0,0.1,0.0526,1,1,18,0
98,0.167,0.0909,1,1,10,0,0.167,0.0909,1,1,10,0
99,0.154,0.0833,1,1,11,0,0.154,0.0833,1,1,11,0
100,0.182,0.1,1,1,9,0,0.182,0.1,1,1,9,0
101,0.2,0.111,1,1,8,0,0.2,0.111,1,1,8,0
102,0.087,0.0455,1,1,21,0,0.087,0.0455,1,1,21,0
103,0.118,0.0625,1,1,15,0,0,0,0,0,16,1
104,0.154,0.0833,1,1,11,0,0.154,0.0833,1,1,11,0
105,0.222,0.125,1,1,7,0,0.222,0.125,1,1,7,0
106,0.222,0.125,1,1,7,0,0.222,0.125,1,1,7,0
107,0.2,0.111,1,1,8,0,0.2,0.111,1,1,8,0
108,0.118,0.0625,1,1,15,0,0.118,0.0625,1,1,15,0
109,0.222,0.125,1,1,7,0,0.222,0.125,1,1,7,0
110,0.182,0.111,0.5,1,8,1,0.182,0.111,0.5,1,8,1
111,0.308,0.182,1,2,9,0,0.308,0.182,1,2,9,0
112,0.222,0.125,1,1,7,0,0.222,0.125,1,1,7,0
113,0.182,0.111,0.5,1,8,1,0.182,0.111,0.5,1,8,1
114,0.2,0.111,1,2,16,0,0.2,0.111,1,2,16,0
115,0.182,0.1,1,2,18,0,0.182,0.1,1,2,18,0
116,0.1,0.0556,0.5,1,17,1,0.1,0.0556,0.5,1,17,1
117,0.0952,0.05,1,1,19,0,0.0952,0.05,1,1,19,0
118,0.0741,0.0385,1,1,25,0,0,0,0,0,26,1
119,0.148,0.08,1,2,23,0,0.148,0.08,1,2,23,0
120,0.167,0.1,0.5,1,9,1,0.167,0.1,0.5,1,9,1
121,0.2,0.111,1,1,8,0,0.2,0.111,1,1,8,0
122,0.125,0.0667,1,1,14,0,0.125,0.0667,1,1,14,0
123,0.118,0.0625,1,1,15,0,0,0,0,0,16,1
124,0.154,0.0833,1,1,11,0,0.154,0.0833,1,1,11,0
125,0.143,0.0769,1,1,12,0,0.143,0.0769,1,1,12,0
126,0.182,0.111,0.5,1,8,1,0.182,0.111,0.5,1,8,1
127,0.118,0.0667,0.5,1,14,1,0.118,0.0667,0.5,1,14,1
128,0.111,0.0625,0.5,1,15,1,0.111,0.0625,0.5,1,15,1
129,0.25,0.143,1,2,12,0,0.25,0.143,1,2,12,0
130,0.118,0.0667,0.5,1,14,1,0.118,0.0667,0.5,1,14,1
131,0.0741,0.04,0.5,1,24,1,0.0741,0.04,0.5,1,24,1
132,0.111,0.0625,0.5,1,15,1,0.111,0.0625,0.5,1,15,1
133,0.0909,0.05,0.5,1,19,1,0,0,0,0,20,2
134,0.125,0.0714,0.5,1,13,1,0.125,0.0714,0.5,1,13,1
135,0.118,0.0714,0.333,1,13,2,0,0,0,0,14,3
136,0.105,0.0625,0.333,1,15,2,0.105,0.0625,0.333,1,15,2
137,0.154,0.087,0.667,2,21,1,0.0769,0.0435,0.333,1,22,2
138,0.167,0.0952,0.667,2,19,1,0.0833,0.0476,0.333,1,20,2
139,0.105,0.0625,0.333,1,15,2,0.105,0.0625,0.333,1,15,2
140,0.125,0.0769,0.333,1,12,2,0.125,0.0769,0.333,1,12,2
141,0.0952,0.0526,0.5,1,18,1,0.0952,0.0526,0.5,1,18,1
142,0.235,0.133,1,2,13,0,0.235,0.133,1,2,13,0
143,0.25,0.143,1,2,12,0,0.25,0.143,1,2,12,0
144,0.2,0.125,0.5,1,7,1,0.2,0.125,0.5,1,7,1
145,0.182,0.111,0.5,1,8,1,0.182,0.111,0.5,1,8,1
146,0.333,0.2,1,2,8,0,0.333,0.2,1,2,8,0
147,0.4,0.25,1,2,6,0,0.4,0.25,1,2,6,0
148,0.286,0.167,1,2,10,0,0.286,0.167,1,2,10,0
149,0.25,0.167,0.5,1,5,1,0.25,0.167,0.5,1,5,1
150,0.5,0.333,1,2,4,0,0.5,0.333,1,2,4,0
151,0.364,0.25,0.667,2,6,1,0.364,0.25,0.667,2,6,1
152,0.364,0.25,0.667,2,6,1,0.364,0.25,0.667,2,6,1
153,0.667,0.6,0.75,3,2,1,0.667,0.6,0.75,3,2,1
154,0.5,0.375,0.75,3,5,1,0.5,0.375,0.75,3,5,1
155,0.6,0.5,0.75,3,3,1,0.6,0.5,0.75,3,3,1
156,0.545,0.429,0.75,3,4,1,0.545,0.429,0.75,3,4,1
157,0.4,0.333,0.5,2,4,2,0.4,0.333,0.5,2,4,2
158,0.25,0.167,0.5,2,10,2,0.25,0.167,0.5,2,10,2
159,0.4,0.333,0.5,2,4,2,0.2,0.167,0.25,1,5,3
