frame,f1_score(iou>=0.3),precision,recall,TP,FP,FN,f1_score(iou>=0.5),precision,recall,TP,FP,FN
1,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5,1,1,1
2,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
3,0.667,0.5,1,1,1,0,0.667,0.5,1,1,1,0
4,0.571,0.5,0.667,2,2,1,0.571,0.5,0.667,2,2,1
5,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
6,0.571,0.5,0.667,2,2,1,0.571,0.5,0.667,2,2,1
7,0.25,0.2,0.333,1,4,2,0.25,0.2,0.333,1,4,2
8,0.4,0.4,0.4,2,3,3,0.4,0.4,0.4,2,3,3
9,0.444,0.5,0.4,2,2,3,0.444,0.5,0.4,2,2,3
10,0.667,0.6,0.75,3,2,1,0.667,0.6,0.75,3,2,1
11,0,0,0,0,5,4,0,0,0,0,5,4
12,0.6,0.429,1,3,4,0,0.6,0.429,1,3,4,0
13,0.286,0.333,0.25,1,2,3,0.286,0.333,0.25,1,2,3
14,0.286,0.333,0.25,1,2,3,0.286,0.333,0.25,1,2,3
15,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
16,0.5,0.5,0.5,2,2,2,0.5,0.5,0.5,2,2,2
17,0.4,0.333,0.5,2,4,2,0.4,0.333,0.5,2,4,2
18,0.222,0.25,0.2,1,3,4,0.222,0.25,0.2,1,3,4
19,0.6,0.6,0.6,3,2,2,0.6,0.6,0.6,3,2,2
20,0.222,0.25,0.2,1,3,4,0.222,0.25,0.2,1,3,4
21,0.364,0.4,0.333,2,3,4,0.182,0.2,0.167,1,4,5
22,0.667,1,0.5,2,0,2,0.667,1,0.5,2,0,2
23,0.333,0.5,0.25,1,1,3,0,0,0,0,2,4
24,0.5,1,0.333,2,0,4,0.5,1,0.333,2,0,4
25,0.4,0.333,0.5,2,4,2,0.2,0.167,0.25,1,5,3
26,0.5,0.429,0.6,3,4,2,0.333,0.286,0.4,2,5,3
27,0.5,0.4,0.667,2,3,1,0.5,0.4,0.667,2,3,1
28,0.667,0.75,0.6,3,1,2,0.667,0.75,0.6,3,1,2
29,0.444,0.4,0.5,2,3,2,0.444,0.4,0.5,2,3,2
30,0.667,0.667,0.667,2,1,1,0.667,0.667,0.667,2,1,1
31,0.545,0.5,0.6,3,3,2,0.545,0.5,0.6,3,3,2
32,0.615,0.444,1,4,5,0,0.615,0.444,1,4,5,0
33,0.8,0.8,0.8,4,1,1,0.8,0.8,0.8,4,1,1
34,0.545,0.429,0.75,3,4,1,0.545,0.429,0.75,3,4,1
35,0.444,0.4,0.5,2,3,2,0.222,0.2,0.25,1,4,3
36,0.462,0.429,0.5,3,4,3,0.308,0.286,0.333,2,5,4
37,0.5,0.5,0.5,3,3,3,0.333,0.333,0.333,2,4,4
38,0.4,0.333,0.5,3,6,3,0.267,0.222,0.333,2,7,4
39,0.6,0.6,0.6,3,2,2,0.6,0.6,0.6,3,2,2
40,0.667,0.667,0.667,4,2,2,0.5,0.5,0.5,3,3,3
41,0.667,0.667,0.667,4,2,2,0.667,0.667,0.667,4,2,2
42,0.615,0.571,0.667,4,3,2,0.615,0.571,0.667,4,3,2
43,0.8,1,0.667,4,0,2,0.8,1,0.667,4,0,2
44,0.727,0.8,0.667,4,1,2,0.727,0.8,0.667,4,1,2
45,0.8,0.8,0.8,4,1,1,0.8,0.8,0.8,4,1,1
46,0.667,0.6,0.75,3,2,1,0.444,0.4,0.5,2,3,2
47,0.333,0.25,0.5,2,6,2,0.333,0.25,0.5,2,6,2
48,0.571,0.4,1,6,9,0,0.476,0.333,0.833,5,10,1
49,0.533,0.444,0.667,4,5,2,0.4,0.333,0.5,3,6,3
50,0.556,0.417,0.833,5,7,1,0.556,0.417,0.833,5,7,1
51,0.667,0.571,0.8,4,3,1,0.5,0.429,0.6,3,4,2
52,0.625,0.455,1,5,6,0,0.625,0.455,1,5,6,0
53,0.375,0.273,0.6,3,8,2,0.125,0.0909,0.2,1,10,4
54,0.615,0.5,0.8,4,4,1,0.462,0.375,0.6,3,5,2
55,0.545,0.429,0.75,3,4,1,0.364,0.286,0.5,2,5,2
56,0.769,0.625,1,5,3,0,0.615,0.5,0.8,4,4,1
57,0.727,0.667,0.8,4,2,1,0.727,0.667,0.8,4,2,1
58,0.667,0.571,0.8,4,3,1,0.667,0.571,0.8,4,3,1
59,0.5,0.333,1,4,8,0,0.375,0.25,0.75,3,9,1
60,0.667,0.571,0.8,4,3,1,0.5,0.429,0.6,3,4,2
61,0.667,0.5,1,4,4,0,0.5,0.375,0.75,3,5,1
62,0.667,0.5,1,4,4,0,0.5,0.375,0.75,3,5,1
63,0.8,0.667,1,4,2,0,0.8,0.667,1,4,2,0
64,0.667,0.6,0.75,3,2,1,0.667,0.6,0.75,3,2,1
65,0.833,0.714,1,5,2,0,0.667,0.571,0.8,4,3,1
66,0.833,0.714,1,5,2,0,0.833,0.714,1,5,2,0
67,0.889,0.8,1,4,1,0,0.889,0.8,1,4,1,0
68,0.667,0.75,0.6,3,1,2,0.667,0.75,0.6,3,1,2
