frame,f1_score(iou>=0.3),precision,recall,TP,FP,FN,f1_score(iou>=0.5),precision,recall,TP,FP,FN
103,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
104,0,-nan,0,0,0,3,0,-nan,0,0,0,3
105,0,-nan,0,0,0,3,0,-nan,0,0,0,3
106,0,-nan,0,0,0,3,0,-nan,0,0,0,3
107,0,-nan,0,0,0,3,0,-nan,0,0,0,3
108,0,-nan,0,0,0,2,0,-nan,0,0,0,2
109,0,-nan,0,0,0,3,0,-nan,0,0,0,3
110,0,-nan,0,0,0,3,0,-nan,0,0,0,3
111,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
112,0,-nan,0,0,0,3,0,-nan,0,0,0,3
113,0,-nan,0,0,0,2,0,-nan,0,0,0,2
114,0,-nan,0,0,0,3,0,-nan,0,0,0,3
115,0,-nan,0,0,0,3,0,-nan,0,0,0,3
116,0,-nan,0,0,0,3,0,-nan,0,0,0,3
117,0,-nan,0,0,0,3,0,-nan,0,0,0,3
118,0,-nan,0,0,0,3,0,-nan,0,0,0,3
119,0,-nan,0,0,0,3,0,-nan,0,0,0,3
120,0,-nan,0,0,0,3,0,-nan,0,0,0,3
121,0,-nan,0,0,0,2,0,-nan,0,0,0,2
122,0,-nan,0,0,0,3,0,-nan,0,0,0,3
123,0,-nan,0,0,0,3,0,-nan,0,0,0,3
124,0,-nan,0,0,0,3,0,-nan,0,0,0,3
125,0,-nan,0,0,0,3,0,-nan,0,0,0,3
126,0,-nan,0,0,0,2,0,-nan,0,0,0,2
127,0,-nan,0,0,0,2,0,-nan,0,0,0,2
128,0,-nan,0,0,0,3,0,-nan,0,0,0,3
129,0,-nan,0,0,0,3,0,-nan,0,0,0,3
130,0,-nan,0,0,0,3,0,-nan,0,0,0,3
131,0,-nan,0,0,0,3,0,-nan,0,0,0,3
132,0,-nan,0,0,0,2,0,-nan,0,0,0,2
133,0,0,0,0,1,3,0,0,0,0,1,3
134,0,-nan,0,0,0,3,0,-nan,0,0,0,3
135,0,-nan,0,0,0,2,0,-nan,0,0,0,2
136,0,-nan,0,0,0,2,0,-nan,0,0,0,2
137,0,-nan,0,0,0,2,0,-nan,0,0,0,2
138,0,-nan,0,0,0,2,0,-nan,0,0,0,2
139,0,-nan,0,0,0,2,0,-nan,0,0,0,2
140,0,-nan,0,0,0,2,0,-nan,0,0,0,2
141,0,-nan,0,0,0,2,0,-nan,0,0,0,2
142,0,-nan,0,0,0,2,0,-nan,0,0,0,2
143,0,-nan,0,0,0,2,0,-nan,0,0,0,2
144,0,-nan,0,0,0,3,0,-nan,0,0,0,3
145,0,-nan,0,0,0,3,0,-nan,0,0,0,3
146,0,-nan,0,0,0,3,0,-nan,0,0,0,3
147,0,-nan,0,0,0,3,0,-nan,0,0,0,3
148,0,-nan,0,0,0,3,0,-nan,0,0,0,3
149,0,-nan,0,0,0,3,0,-nan,0,0,0,3
150,0,-nan,0,0,0,2,0,-nan,0,0,0,2
151,0,-nan,0,0,0,3,0,-nan,0,0,0,3
152,0,-nan,0,0,0,3,0,-nan,0,0,0,3
153,0,-nan,0,0,0,3,0,-nan,0,0,0,3
154,0,-nan,0,0,0,3,0,-nan,0,0,0,3
155,0,-nan,0,0,0,3,0,-nan,0,0,0,3
156,0,-nan,0,0,0,2,0,-nan,0,0,0,2
157,0,-nan,0,0,0,2,0,-nan,0,0,0,2
158,0,-nan,0,0,0,3,0,-nan,0,0,0,3
159,0,-nan,0,0,0,3,0,-nan,0,0,0,3
160,0,-nan,0,0,0,3,0,-nan,0,0,0,3
161,0,-nan,0,0,0,2,0,-nan,0,0,0,2
162,0,-nan,0,0,0,3,0,-nan,0,0,0,3
163,0,-nan,0,0,0,2,0,-nan,0,0,0,2
164,0,-nan,0,0,0,4,0,-nan,0,0,0,4
165,0,-nan,0,0,0,3,0,-nan,0,0,0,3
166,0,-nan,0,0,0,3,0,-nan,0,0,0,3
167,0,-nan,0,0,0,3,0,-nan,0,0,0,3
168,0,-nan,0,0,0,3,0,-nan,0,0,0,3
169,0,-nan,0,0,0,2,0,-nan,0,0,0,2
170,0,0,0,0,1,2,0,0,0,0,1,2
171,0,-nan,0,0,0,2,0,-nan,0,0,0,2
172,0,-nan,0,0,0,3,0,-nan,0,0,0,3
173,0,-nan,0,0,0,2,0,-nan,0,0,0,2
174,0,-nan,0,0,0,2,0,-nan,0,0,0,2
175,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
176,0,-nan,0,0,0,2,0,-nan,0,0,0,2
177,0,-nan,0,0,0,3,0,-nan,0,0,0,3
178,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
179,0.4,1,0.25,1,0,3,0.4,1,0.25,1,0,3
180,0,-nan,0,0,0,3,0,-nan,0,0,0,3
181,0,-nan,0,0,0,4,0,-nan,0,0,0,4
182,0,-nan,0,0,0,3,0,-nan,0,0,0,3
183,0,-nan,0,0,0,3,0,-nan,0,0,0,3
184,0,-nan,0,0,0,4,0,-nan,0,0,0,4
185,0,-nan,0,0,0,3,0,-nan,0,0,0,3
186,0,-nan,0,0,0,3,0,-nan,0,0,0,3
187,0,-nan,0,0,0,3,0,-nan,0,0,0,3
188,0,-nan,0,0,0,2,0,-nan,0,0,0,2
189,0,-nan,0,0,0,2,0,-nan,0,0,0,2
190,0,-nan,0,0,0,2,0,-nan,0,0,0,2
191,0,-nan,0,0,0,2,0,-nan,0,0,0,2
