frame,f1_score(iou>=0.3),precision,recall,TP,FP,FN,f1_score(iou>=0.5),precision,recall,TP,FP,FN
1,0.0833,0.0455,0.5,1,21,1,0.0833,0.0455,0.5,1,21,1
2,0.8,0.667,1,2,1,0,0.8,0.667,1,2,1,0
3,1,1,1,1,0,0,1,1,1,1,0,0
4,0.8,0.667,1,2,1,0,0.8,0.667,1,2,1,0
5,0.667,0.5,1,2,2,0,0.667,0.5,1,2,2,0
6,0.25,0.167,0.5,1,5,1,0.25,0.167,0.5,1,5,1
7,0.5,0.333,1,2,4,0,0.5,0.333,1,2,4,0
8,0.25,0.143,1,2,12,0,0.25,0.143,1,2,12,0
9,0.154,0.0909,0.5,1,10,1,0.154,0.0909,0.5,1,10,1
10,0.286,0.2,0.5,1,4,1,0.286,0.2,0.5,1,4,1
11,0.333,0.222,0.667,2,7,1,0.333,0.222,0.667,2,7,1
12,0.364,0.25,0.667,2,6,1,0.364,0.25,0.667,2,6,1
13,0.182,0.111,0.5,1,8,1,0.182,0.111,0.5,1,8,1
14,0.4,0.25,1,2,6,0,0.4,0.25,1,2,6,0
15,0.571,0.4,1,2,3,0,0.571,0.4,1,2,3,0
16,0.8,0.667,1,2,1,0,0.8,0.667,1,2,1,0
17,0.8,0.667,1,2,1,0,0.8,0.667,1,2,1,0
18,0.667,0.5,1,2,2,0,0.667,0.5,1,2,2,0
19,0.4,0.333,0.5,1,2,1,0.4,0.333,0.5,1,2,1
20,0.5,0.333,1,2,4,0,0.5,0.333,1,2,4,0
21,1,1,1,2,0,0,1,1,1,2,0,0
22,0.444,0.286,1,2,5,0,0.444,0.286,1,2,5,0
23,0.667,0.5,1,2,2,0,0.667,0.5,1,2,2,0
24,0.667,0.5,1,2,2,0,0.333,0.25,0.5,1,3,1
25,0.8,0.667,1,2,1,0,0.8,0.667,1,2,1,0
26,0.571,0.4,1,2,3,0,0.571,0.4,1,2,3,0
27,0.8,0.667,1,2,1,0,0.8,0.667,1,2,1,0
28,1,1,1,2,0,0,1,1,1,2,0,0
29,1,1,1,2,0,0,1,1,1,2,0,0
30,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
31,1,1,1,2,0,0,1,1,1,2,0,0
32,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
33,0.667,1,0.5,1,0,1,0.667,1,0.5,1,0,1
34,1,1,1,1,0,0,1,1,1,1,0,0
35,1,1,1,1,0,0,1,1,1,1,0,0
36,1,1,1,1,0,0,1,1,1,1,0,0
37,1,1,1,1,0,0,1,1,1,1,0,0
38,1,1,1,1,0,0,1,1,1,1,0,0
39,1,1,1,1,0,0,1,1,1,1,0,0
40,1,1,1,1,0,0,1,1,1,1,0,0
41,1,1,1,1,0,0,1,1,1,1,0,0
42,1,1,1,1,0,0,1,1,1,1,0,0
43,1,1,1,1,0,0,1,1,1,1,0,0
44,1,1,1,1,0,0,1,1,1,1,0,0
45,1,1,1,1,0,0,1,1,1,1,0,0
46,1,1,1,1,0,0,1,1,1,1,0,0
47,1,1,1,1,0,0,1,1,1,1,0,0
48,1,1,1,1,0,0,1,1,1,1,0,0
49,1,1,1,1,0,0,1,1,1,1,0,0
50,1,1,1,1,0,0,1,1,1,1,0,0
51,0.667,0.5,1,1,1,0,0,0,0,0,2,1
52,1,1,1,1,0,0,1,1,1,1,0,0
53,1,1,1,1,0,0,1,1,1,1,0,0
54,0.667,0.5,1,1,1,0,0.667,0.5,1,1,1,0
55,0.667,0.5,1,1,1,0,0,0,0,0,2,1
56,0.667,0.5,1,1,1,0,0,0,0,0,2,1
57,1,1,1,1,0,0,1,1,1,1,0,0
58,0,-nan,0,0,0,1,0,-nan,0,0,0,1
59,0,-nan,0,0,0,1,0,-nan,0,0,0,1
61,0,-nan,0,0,0,1,0,-nan,0,0,0,1
