frame,f1_score(iou>=0.3),precision,recall,TP,FP,FN,f1_score(iou>=0.5),precision,recall,TP,FP,FN
1,0.545,0.75,0.429,3,1,4,0.545,0.75,0.429,3,1,4
2,0.25,0.143,1,1,6,0,0.25,0.143,1,1,6,0
3,0.667,0.5,1,1,1,0,0.667,0.5,1,1,1,0
4,0.286,0.167,1,1,5,0,0.286,0.167,1,1,5,0
5,0.4,0.25,1,1,3,0,0.4,0.25,1,1,3,0
6,0.5,0.333,1,1,2,0,0.5,0.333,1,1,2,0
7,0.2,0.111,1,1,8,0,0.2,0.111,1,1,8,0
8,0.286,0.167,1,1,5,0,0,0,0,0,6,1
9,0.5,0.5,0.5,1,1,1,0,0,0,0,2,2
10,0,0,0,0,4,2,0,0,0,0,4,2
11,0,0,0,0,5,2,0,0,0,0,5,2
12,0.4,0.333,0.5,1,2,1,0.4,0.333,0.5,1,2,1
13,0.222,0.143,0.5,1,6,1,0.222,0.143,0.5,1,6,1
14,0.286,0.167,1,1,5,0,0.286,0.167,1,1,5,0
15,0.286,0.2,0.5,1,4,1,0.286,0.2,0.5,1,4,1
16,0.5,0.333,1,2,4,0,0.5,0.333,1,2,4,0
17,0.25,0.167,0.5,1,5,1,0.25,0.167,0.5,1,5,1
18,0.286,0.2,0.5,1,4,1,0.286,0.2,0.5,1,4,1
19,0,0,0,0,3,2,0,0,0,0,3,2
20,0,0,0,0,7,1,0,0,0,0,7,1
21,0,0,0,0,4,2,0,0,0,0,4,2
22,0.333,0.333,0.333,1,2,2,0.333,0.333,0.333,1,2,2
23,0.25,0.167,0.5,1,5,1,0.25,0.167,0.5,1,5,1
24,0.333,0.25,0.5,1,3,1,0.333,0.25,0.5,1,3,1
25,0.4,0.333,0.5,1,2,1,0.4,0.333,0.5,1,2,1
26,0.333,0.2,1,1,4,0,0.333,0.2,1,1,4,0
27,0.286,0.167,1,1,5,0,0.286,0.167,1,1,5,0
28,0.667,0.5,1,1,1,0,0.667,0.5,1,1,1,0
29,0.222,0.125,1,1,7,0,0.222,0.125,1,1,7,0
30,0.5,0.333,1,1,2,0,0.5,0.333,1,1,2,0
31,0.364,0.222,1,2,7,0,0.364,0.222,1,2,7,0
32,0.5,0.333,1,2,4,0,0.5,0.333,1,2,4,0
33,0.333,0.2,1,2,8,0,0.333,0.2,1,2,8,0
34,0.571,0.4,1,2,3,0,0.571,0.4,1,2,3,0
35,0.4,0.25,1,2,6,0,0.4,0.25,1,2,6,0
36,0.667,0.5,1,2,2,0,0.333,0.25,0.5,1,3,1
37,0.5,0.333,1,2,4,0,0.25,0.167,0.5,1,5,1
38,0.4,0.25,1,2,6,0,0.2,0.125,0.5,1,7,1
39,0.571,0.4,1,2,3,0,0.286,0.2,0.5,1,4,1
40,0.857,0.75,1,3,1,0,0.857,0.75,1,3,1,0
41,0.5,0.333,1,3,6,0,0.333,0.222,0.667,2,7,1
42,0.444,0.333,0.667,2,4,1,0.444,0.333,0.667,2,4,1
43,0.5,0.4,0.667,2,3,1,0.5,0.4,0.667,2,3,1
44,0.4,0.286,0.667,2,5,1,0.4,0.286,0.667,2,5,1
45,0.364,0.25,0.667,2,6,1,0.364,0.25,0.667,2,6,1
46,0.4,0.286,0.667,2,5,1,0.4,0.286,0.667,2,5,1
47,0.429,0.273,1,3,8,0,0.429,0.273,1,3,8,0
48,0.75,0.6,1,3,2,0,0.75,0.6,1,3,2,0
49,0.667,0.5,1,3,3,0,0.667,0.5,1,3,3,0
50,0.353,0.214,1,3,11,0,0.353,0.214,1,3,11,0
51,0.143,0.0833,0.5,1,11,1,0.143,0.0833,0.5,1,11,1
52,0.0952,0.0526,0.5,1,18,1,0.0952,0.0526,0.5,1,18,1
53,0.25,0.143,1,1,6,0,0.25,0.143,1,1,6,0
