frame,f1_score(iou>=0.3),precision,recall,TP,FP,FN,f1_score(iou>=0.5),precision,recall,TP,FP,FN
1,0.571,0.4,1,2,3,0,0.571,0.4,1,2,3,0
2,0.8,0.667,1,2,1,0,0.8,0.667,1,2,1,0
3,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
4,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
5,0.75,0.6,1,3,2,0,0.75,0.6,1,3,2,0
6,0.667,0.5,1,3,3,0,0.667,0.5,1,3,3,0
7,0.75,0.6,1,3,2,0,0.5,0.4,0.667,2,3,1
8,0.4,0.333,0.5,1,2,1,0.4,0.333,0.5,1,2,1
9,1,1,1,3,0,0,1,1,1,3,0,0
10,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
11,1,1,1,3,0,0,1,1,1,3,0,0
12,0.75,0.6,1,3,2,0,0.75,0.6,1,3,2,0
13,1,1,1,3,0,0,0.667,0.667,0.667,2,1,1
14,0.667,0.667,0.667,2,1,1,0.333,0.333,0.333,1,2,2
15,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
16,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
17,0.8,1,0.667,2,0,1,0.4,0.5,0.333,1,1,2
18,0.8,1,0.667,2,0,1,0.4,0.5,0.333,1,1,2
19,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
20,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
21,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
22,1,1,1,3,0,0,1,1,1,3,0,0
23,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
24,0.5,1,0.333,1,0,2,0.5,1,0.333,1,0,2
25,0.4,0.5,0.333,1,1,2,0.4,0.5,0.333,1,1,2
26,0.4,0.5,0.333,1,1,2,0.4,0.5,0.333,1,1,2
27,0.8,1,0.667,2,0,1,0.4,0.5,0.333,1,1,2
28,0.8,1,0.667,2,0,1,0.4,0.5,0.333,1,1,2
29,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
30,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
31,0.667,0.667,0.667,2,1,1,0.667,0.667,0.667,2,1,1
32,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
33,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
34,1,1,1,3,0,0,0.667,0.667,0.667,2,1,1
35,0.667,0.667,0.667,2,1,1,0.667,0.667,0.667,2,1,1
36,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
37,1,1,1,3,0,0,1,1,1,3,0,0
38,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
39,1,1,1,3,0,0,1,1,1,3,0,0
40,1,1,1,2,0,0,1,1,1,2,0,0
41,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
42,1,1,1,3,0,0,0.667,0.667,0.667,2,1,1
43,1,1,1,3,0,0,1,1,1,3,0,0
44,0.8,1,0.667,2,0,1,0.4,0.5,0.333,1,1,2
45,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
46,0.8,1,0.667,2,0,1,0.4,0.5,0.333,1,1,2
47,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
48,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
49,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
50,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
51,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
52,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
53,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
54,0.8,1,0.667,2,0,1,0.8,1,0.667,2,0,1
