frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,12951047.685,2,2,357,0,0,0,0,0,0.039,357,0,0.210,1.000,0.667,0.400,0.400,0.400,0.400,0.400,0.000,0.000,1.000,0.667,0.400,0.400,0.400,0.400,0.400,0.000,0.000
2,12951047.759,2,2,356,0,0,0,0,0,0.045,356,357,0.223,1.000,1.000,1.000,0.857,0.667,0.667,0.400,0.400,0.400,1.000,1.000,1.000,0.857,0.667,0.667,0.400,0.400,0.400
3,12951047.834,2,2,361,0,0,0,0,0,0.044,361,356,0.156,0.857,0.857,0.857,0.857,0.667,0.667,0.667,0.667,0.400,0.857,0.857,0.857,0.857,0.667,0.667,0.667,0.667,0.400
4,12951047.906,3,3,365,0,0,0,0,0,0.049,365,361,0.154,0.750,0.857,0.857,0.857,0.857,0.667,0.400,0.400,0.400,0.750,0.857,0.857,0.857,0.857,0.667,0.400,0.400,0.400
5,12951047.978,2,2,359,0,0,0,0,0,0.039,359,365,0.200,0.857,0.857,0.857,0.857,0.667,0.667,0.400,0.400,0.400,0.857,0.857,0.857,0.857,0.667,0.667,0.400,0.400,0.400
6,12951048.053,5,5,361,0,0,0,0,0,0.058,361,359,0.245,0.750,0.750,0.750,0.857,0.667,0.667,0.667,0.400,0.400,0.750,0.750,0.750,0.857,0.667,0.667,0.667,0.400,0.400
7,12951048.125,2,2,369,0,0,0,0,0,0.049,369,361,0.204,1.000,1.000,0.857,0.857,0.857,0.857,0.667,0.400,0.400,1.000,1.000,0.857,0.857,0.857,0.857,0.667,0.400,0.400
8,12951048.199,2,2,369,0,0,0,0,0,0.054,369,369,0.169,0.667,0.667,0.667,0.667,0.667,0.667,0.400,0.500,0.500,0.667,0.667,0.667,0.667,0.667,0.667,0.400,0.500,0.500
9,12951048.272,2,2,368,0,0,0,0,0,0.043,368,369,0.224,1.000,1.000,1.000,1.000,0.800,0.800,0.500,0.500,0.500,1.000,1.000,1.000,1.000,0.800,0.800,0.500,0.500,0.500
10,12951048.345,2,2,365,0,0,0,0,0,0.047,365,368,0.191,0.857,0.857,0.857,0.857,0.857,0.667,0.400,0.400,0.400,0.857,0.857,0.857,0.857,0.857,0.667,0.400,0.400,0.400
11,12951048.419,2,2,369,0,0,0,0,0,0.049,369,365,0.171,0.857,0.857,0.857,0.857,0.857,0.667,0.667,0.667,0.400,0.857,0.857,0.857,0.857,0.857,0.667,0.667,0.667,0.400
