frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,29724646.014,2,2,641,1,9,10,13,8,0.148,682,0,18.128,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,29724646.089,4,4,695,2,5,2,16,18,0.149,738,682,17.864,0.250,0.333,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.333,0.500,0.000,0.000,0.000,0.000,0.000,0.000
3,29724646.164,3,3,659,2,6,5,20,9,0.141,701,738,20.238,0.667,0.800,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,29724646.238,3,3,651,2,4,2,9,12,0.134,680,701,14.783,0.500,0.667,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.667,0.667,0.000,0.000,0.000,0.000,0.000,0.000
5,29724646.314,4,4,626,2,6,3,14,11,0.156,662,680,15.026,0.667,0.667,1.000,1.000,1.000,0.667,0.000,0.000,0.000,0.667,0.667,1.000,1.000,1.000,0.667,0.000,0.000,0.000
6,29724646.389,4,4,662,3,4,6,14,14,0.161,703,662,17.921,0.286,0.500,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000
7,29724646.464,2,2,624,6,7,2,15,10,0.160,664,703,18.230,0.667,0.667,0.667,0.667,0.000,0.000,0.000,0.000,0.000,0.667,0.667,0.667,0.667,0.000,0.000,0.000,0.000,0.000
8,29724646.537,4,4,569,3,3,6,15,27,0.178,623,664,18.196,0.500,0.500,0.667,0.667,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.667,0.667,0.000,0.000,0.000,0.000,0.000
9,29724646.608,3,3,554,2,5,1,14,17,0.182,593,623,18.115,0.286,0.500,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.286,0.500,0.500,0.500,0.000,0.000,0.000,0.000,0.000
10,29724646.683,4,4,508,3,6,4,13,28,0.205,562,593,18.205,0.286,0.333,0.400,0.400,0.400,0.400,0.000,0.000,0.000,0.286,0.333,0.400,0.400,0.400,0.400,0.000,0.000,0.000
11,29724646.757,4,4,550,3,6,3,15,18,0.166,595,562,20.379,0.333,0.400,0.667,0.667,0.667,0.000,0.000,0.000,0.000,0.333,0.400,0.667,0.667,0.667,0.000,0.000,0.000,0.000
12,29724646.830,4,4,531,3,5,4,15,17,0.186,575,595,18.035,0.200,0.333,0.667,0.667,0.500,0.500,0.000,0.000,0.000,0.200,0.333,0.667,0.667,0.500,0.500,0.000,0.000,0.000
13,29724646.906,7,7,501,4,6,5,9,21,0.205,546,575,18.333,0.167,0.222,0.286,0.286,0.333,0.400,0.000,0.000,0.000,0.167,0.222,0.286,0.286,0.333,0.400,0.000,0.000,0.000
14,29724646.979,4,4,516,6,12,2,13,20,0.190,569,546,17.949,0.222,0.400,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.222,0.400,1.000,1.000,0.000,0.000,0.000,0.000,0.000
15,29724647.052,2,2,549,4,12,2,12,21,0.197,600,569,18.006,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,29724647.125,4,4,622,7,8,6,11,23,0.198,677,600,18.008,0.133,0.143,0.286,0.286,0.000,0.000,0.000,0.000,0.000,0.133,0.143,0.286,0.286,0.000,0.000,0.000,0.000,0.000
17,29724647.199,5,5,588,12,15,6,11,21,0.216,653,677,2.641,0.167,0.286,0.286,0.500,0.000,0.000,0.000,0.000,0.000,0.167,0.286,0.286,0.500,0.000,0.000,0.000,0.000,0.000
18,29724647.272,2,2,585,4,13,3,13,19,0.215,637,653,3.141,0.444,0.333,0.333,0.333,0.000,0.000,0.000,0.000,0.000,0.444,0.333,0.333,0.333,0.000,0.000,0.000,0.000,0.000
19,29724647.345,3,7,611,13,9,11,13,26,0.224,683,637,1.727,0.400,0.444,0.333,0.333,0.333,0.400,0.000,0.000,0.000,0.200,0.222,0.333,0.333,0.333,0.400,0.000,0.000,0.000
20,29724647.417,2,2,567,8,8,10,16,17,0.198,626,683,13.798,0.800,0.800,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.800,0.800,0.500,0.000,0.000,0.000,0.000,0.000,0.000
21,29724647.491,4,2,613,8,9,12,14,16,0.202,672,626,14.348,0.250,0.222,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,29724647.566,4,4,646,16,14,12,12,15,0.196,715,672,8.108,0.167,0.200,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.200,0.333,0.000,0.000,0.000,0.000,0.000,0.000
23,29724647.639,2,2,652,7,12,8,10,22,0.201,711,715,13.189,0.308,0.250,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.308,0.250,0.286,0.000,0.000,0.000,0.000,0.000,0.000
24,29724647.711,2,2,712,8,17,14,14,17,0.207,782,711,10.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
