frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,2158218.471,3,3,821,5,0,0,0,2,0.126,828,0,0.602,0.333,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,2158218.549,2,2,823,5,1,0,0,1,0.158,830,828,0.883,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,2158218.624,2,2,816,5,0,0,0,2,0.258,823,830,0.986,0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,2158218.772,4,4,871,3,0,0,0,2,0.128,876,823,1.334,0.200,0.333,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.333,0.400,0.000,0.000,0.000,0.000,0.000,0.000
5,2158218.845,4,4,837,6,0,0,0,1,0.246,844,876,1.303,0.200,0.222,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.222,0.250,0.000,0.000,0.000,0.000,0.000,0.000
6,2158218.989,2,2,818,5,0,0,0,2,0.251,825,844,0.748,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,2158219.060,8,2,807,4,0,0,0,1,0.305,812,825,0.924,0.133,0.143,0.154,0.200,0.222,0.500,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,2158219.209,6,6,749,2,0,0,0,0,0.268,751,812,0.959,0.200,0.286,0.286,0.400,0.500,0.500,0.400,0.000,0.000,0.200,0.286,0.286,0.400,0.500,0.500,0.400,0.000,0.000
9,2158219.281,6,6,691,4,0,0,0,0,0.331,695,751,0.630,0.143,0.182,0.250,0.250,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.286,0.000,0.000,0.000,0.000
11,2158219.430,2,2,696,8,0,0,0,1,0.302,705,695,7.937,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
12,2158219.502,2,2,722,4,0,0,0,0,0.395,726,705,7.891,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
13,2158219.574,3,3,714,2,0,0,0,1,0.393,717,726,1.012,0.077,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.077,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,2158219.646,5,5,760,2,0,0,0,0,0.381,762,717,0.816,0.067,0.074,0.095,0.143,0.000,0.000,0.000,0.000,0.000,0.067,0.074,0.095,0.143,0.000,0.000,0.000,0.000,0.000
15,2158219.720,3,3,807,2,0,0,0,0,0.363,809,762,0.160,0.114,0.125,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.114,0.125,0.077,0.000,0.000,0.000,0.000,0.000,0.000
16,2158219.793,2,4,806,4,0,0,0,0,0.386,810,809,1.074,0.125,0.071,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.071,0.083,0.000,0.000,0.000,0.000,0.000,0.000
17,2158219.872,2,2,798,5,0,0,0,0,0.390,803,810,0.774,0.118,0.083,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.118,0.083,0.059,0.000,0.000,0.000,0.000,0.000,0.000
18,2158219.949,3,3,764,6,0,0,0,0,0.383,770,803,0.294,0.158,0.176,0.138,0.091,0.000,0.000,0.000,0.000,0.000,0.158,0.176,0.138,0.091,0.000,0.000,0.000,0.000,0.000
19,2158220.024,4,4,769,6,0,0,0,0,0.378,775,770,0.108,0.158,0.176,0.207,0.095,0.000,0.000,0.000,0.000,0.000,0.158,0.176,0.207,0.095,0.000,0.000,0.000,0.000,0.000
20,2158220.096,7,7,763,5,0,0,0,0,0.441,768,775,0.315,0.120,0.130,0.114,0.095,0.118,0.182,0.000,0.000,0.000,0.120,0.130,0.114,0.095,0.118,0.182,0.000,0.000,0.000
21,2158220.242,5,5,704,6,0,0,0,0,0.458,710,768,0.422,0.130,0.154,0.182,0.250,0.000,0.000,0.000,0.000,0.000,0.130,0.154,0.182,0.250,0.000,0.000,0.000,0.000,0.000
22,2158220.317,5,5,678,5,0,0,0,0,0.433,683,710,1.057,0.136,0.136,0.129,0.167,0.000,0.000,0.000,0.000,0.000,0.136,0.136,0.129,0.167,0.000,0.000,0.000,0.000,0.000
23,2158220.393,2,2,706,4,0,0,0,0,0.459,710,683,0.217,0.154,0.125,0.146,0.138,0.000,0.000,0.000,0.000,0.000,0.154,0.125,0.146,0.138,0.000,0.000,0.000,0.000,0.000
24,2158220.464,3,3,699,4,0,0,0,0,0.417,703,710,0.269,0.171,0.182,0.129,0.091,0.000,0.000,0.000,0.000,0.000,0.171,0.182,0.129,0.091,0.000,0.000,0.000,0.000,0.000
25,2158220.540,2,2,683,3,0,0,0,0,0.434,686,703,0.235,0.108,0.108,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.108,0.108,0.069,0.000,0.000,0.000,0.000,0.000,0.000
26,2158220.615,3,3,677,3,0,0,0,0,0.393,680,686,0.270,0.118,0.125,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.118,0.125,0.071,0.000,0.000,0.000,0.000,0.000,0.000
27,2158220.685,4,4,698,2,0,0,0,0,0.384,700,680,0.300,0.071,0.074,0.095,0.000,0.000,0.000,0.000,0.000,0.000,0.071,0.074,0.095,0.000,0.000,0.000,0.000,0.000,0.000
28,2158220.758,4,4,675,2,0,0,0,0,0.350,677,700,0.307,0.069,0.071,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.069,0.071,0.080,0.000,0.000,0.000,0.000,0.000,0.000
29,2158220.830,2,2,672,3,0,0,0,0,0.292,675,677,0.285,0.375,0.286,0.200,0.250,0.000,0.000,0.000,0.000,0.000,0.375,0.286,0.200,0.250,0.000,0.000,0.000,0.000,0.000
30,2158220.903,4,4,646,3,0,0,0,0,0.271,649,675,0.219,0.200,0.200,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.200,0.222,0.000,0.000,0.000,0.000,0.000,0.000
31,2158220.976,2,2,591,3,0,0,0,0,0.234,594,649,0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32,2158221.121,6,6,566,2,0,0,0,0,0.116,568,594,0.228,0.286,0.286,0.400,0.400,0.500,0.000,0.000,0.000,0.000,0.286,0.286,0.400,0.400,0.500,0.000,0.000,0.000,0.000
33,2158221.193,3,3,536,1,0,0,0,0,0.080,537,568,0.252,0.400,0.500,0.500,0.500,0.400,0.400,0.400,0.000,0.000,0.400,0.500,0.500,0.500,0.400,0.400,0.400,0.000,0.000
34,2158221.267,7,7,500,1,0,0,0,0,0.048,501,537,0.273,0.400,0.400,0.400,0.400,0.400,0.500,0.000,0.000,0.000,0.400,0.400,0.400,0.400,0.400,0.500,0.000,0.000,0.000
35,2158221.337,2,2,442,1,0,0,0,0,0.032,443,501,0.279,0.400,0.400,0.400,0.400,0.400,0.400,0.000,0.000,0.000,0.400,0.400,0.400,0.400,0.400,0.400,0.000,0.000,0.000
36,2158221.410,2,2,417,2,0,0,0,0,0.031,419,443,0.016,0.750,0.750,0.571,0.333,0.333,0.333,0.000,0.000,0.000,0.750,0.750,0.571,0.333,0.333,0.333,0.000,0.000,0.000
37,2158221.484,2,2,347,0,0,0,0,0,0.017,347,419,0.058,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38,2158221.554,2,2,343,1,0,0,0,0,0.020,344,347,0.054,0.333,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39,2158221.627,5,5,345,0,0,0,0,0,0.023,345,344,0.066,0.400,0.400,0.400,0.500,0.000,0.000,0.000,0.000,0.000,0.400,0.400,0.400,0.500,0.000,0.000,0.000,0.000,0.000
40,2158221.699,2,2,348,0,0,0,0,0,0.023,348,345,0.008,0.400,0.400,0.400,0.400,0.400,0.000,0.000,0.000,0.000,0.400,0.400,0.400,0.400,0.400,0.000,0.000,0.000,0.000
41,2158221.772,5,5,348,0,0,0,0,0,0.026,348,348,0.062,0.333,0.333,0.333,0.400,0.400,0.000,0.000,0.000,0.000,0.333,0.333,0.333,0.400,0.400,0.000,0.000,0.000,0.000
42,2158221.845,8,8,354,1,0,0,0,0,0.037,355,348,0.099,0.286,0.286,0.286,0.286,0.333,0.333,0.400,0.000,0.000,0.286,0.286,0.286,0.286,0.333,0.333,0.400,0.000,0.000
43,2158221.916,2,2,364,3,0,0,0,0,0.038,367,355,0.088,0.571,0.571,0.571,0.571,0.400,0.400,0.400,0.400,0.000,0.571,0.571,0.571,0.571,0.400,0.400,0.400,0.400,0.000
44,2158221.988,2,2,350,2,0,0,0,0,0.043,352,367,0.095,0.571,0.571,0.571,0.571,0.571,0.400,0.400,0.400,0.000,0.571,0.571,0.571,0.571,0.571,0.400,0.400,0.400,0.000
45,2158222.063,4,4,355,2,0,0,0,0,0.028,357,352,0.041,0.444,0.444,0.500,0.286,0.333,0.400,0.000,0.000,0.000,0.444,0.444,0.500,0.286,0.333,0.400,0.000,0.000,0.000
46,2158222.136,2,2,357,3,0,0,0,0,0.031,360,357,0.053,0.750,0.750,0.571,0.400,0.400,0.000,0.000,0.000,0.000,0.750,0.750,0.571,0.400,0.400,0.000,0.000,0.000,0.000
47,2158222.209,2,2,368,1,0,0,0,0,0.019,369,360,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,2158222.282,2,2,372,1,0,0,0,0,0.016,373,369,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49,2158222.355,2,2,383,1,0,0,0,0,0.018,384,373,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
50,2158222.429,2,2,402,2,0,0,0,0,0.042,404,384,0.043,0.333,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000
51,2158222.503,2,2,440,1,0,0,0,0,0.061,441,404,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
52,2158222.576,3,3,442,0,0,0,0,0,0.077,442,441,0.158,0.667,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000
53,2158222.650,2,2,472,1,0,0,0,0,0.085,473,442,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
54,2158222.724,4,4,506,0,0,0,0,0,0.093,506,473,0.149,0.400,0.400,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.400,0.500,0.000,0.000,0.000,0.000,0.000,0.000
55,2158222.796,2,2,533,0,0,0,0,0,0.096,533,506,0.114,0.286,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.286,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000
56,2158222.868,4,4,512,0,0,0,0,0,0.096,512,533,0.130,0.333,0.400,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.400,0.500,0.000,0.000,0.000,0.000,0.000,0.000
57,2158222.944,4,4,514,0,0,0,0,0,0.091,514,512,0.120,0.333,0.400,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.400,0.500,0.000,0.000,0.000,0.000,0.000,0.000
58,2158223.018,3,3,547,0,0,0,0,0,0.112,547,514,0.156,0.286,0.400,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.286,0.400,0.400,0.000,0.000,0.000,0.000,0.000,0.000
59,2158223.091,2,2,561,0,0,0,0,0,0.091,561,547,0.099,0.667,0.667,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.667,0.400,0.000,0.000,0.000,0.000,0.000,0.000
60,2158223.167,4,4,561,1,0,0,0,0,0.110,562,561,0.151,0.444,0.444,0.571,0.000,0.000,0.000,0.000,0.000,0.000,0.444,0.444,0.571,0.000,0.000,0.000,0.000,0.000,0.000
61,2158223.241,3,3,557,0,0,0,0,0,0.108,557,562,0.126,0.400,0.500,0.500,0.000,0.000,0.000,0.500,0.500,0.000,0.400,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000
62,2158223.313,7,7,580,1,0,0,0,0,0.108,581,557,0.099,0.000,0.000,0.000,0.000,0.000,0.400,0.400,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.000
63,2158223.386,2,2,592,2,0,0,0,0,0.146,594,581,0.087,0.200,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000
64,2158223.458,2,2,607,2,0,0,0,0,0.095,609,594,0.101,0.857,0.857,0.857,0.400,0.000,0.000,0.000,0.000,0.000,0.857,0.857,0.857,0.400,0.000,0.000,0.000,0.000,0.000
65,2158223.534,2,2,644,1,0,0,0,0,0.116,645,609,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
66,2158223.611,3,3,649,1,0,0,0,0,0.134,650,645,0.061,0.444,0.571,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.444,0.571,0.000,0.000,0.000,0.000,0.000,0.000,0.000
67,2158223.683,6,6,664,0,0,0,0,0,0.133,664,650,0.056,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000,0.000,0.000
68,2158223.758,9,9,690,0,0,0,0,0,0.138,690,664,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000
69,2158223.834,6,6,671,1,0,0,0,0,0.147,672,690,0.058,0.000,0.000,0.200,0.250,0.333,0.333,0.000,0.000,0.000,0.000,0.000,0.200,0.250,0.333,0.333,0.000,0.000,0.000
70,2158223.908,3,3,731,2,0,0,0,0,0.146,733,672,0.067,0.286,0.333,0.250,0.286,0.000,0.000,0.000,0.000,0.000,0.286,0.333,0.250,0.286,0.000,0.000,0.000,0.000,0.000
71,2158223.981,5,8,728,1,0,0,0,0,0.141,729,733,0.071,0.125,0.143,0.286,0.400,0.333,0.400,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000
72,2158224.056,7,7,694,2,0,0,0,0,0.131,696,729,0.039,0.167,0.182,0.000,0.000,0.333,0.400,0.333,0.000,0.000,0.167,0.182,0.000,0.000,0.333,0.400,0.333,0.000,0.000
73,2158224.129,5,5,724,1,0,0,0,1,0.127,726,696,0.074,0.200,0.222,0.286,0.333,0.333,0.000,0.000,0.000,0.000,0.200,0.222,0.286,0.333,0.333,0.000,0.000,0.000,0.000
