frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,25042531.149,3,3,423,6,0,0,0,0,0.114,429,0,1.852,0.286,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.286,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,25042555.666,2,2,894,17,0,0,0,2,0.152,913,429,0.214,0.400,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,25042555.741,4,4,856,26,1,0,0,0,0.169,883,913,0.613,0.375,0.545,0.667,0.571,0.667,0.000,0.000,0.000,0.000,0.375,0.545,0.667,0.571,0.667,0.000,0.000,0.000,0.000
4,25042555.891,3,3,834,27,1,1,1,0,0.190,864,883,0.260,0.500,0.667,0.667,0.400,0.000,0.000,0.000,0.000,0.000,0.500,0.667,0.667,0.400,0.000,0.000,0.000,0.000,0.000
5,25042556.042,4,4,754,24,2,4,2,0,0.163,786,864,0.262,0.308,0.400,0.500,0.286,0.286,0.000,0.000,0.000,0.000,0.308,0.400,0.500,0.000,0.000,0.000,0.000,0.000,0.000
6,25042556.119,4,4,661,20,1,1,2,4,0.142,689,786,0.058,0.400,0.545,0.667,0.286,0.333,0.400,0.400,0.400,0.400,0.400,0.545,0.667,0.286,0.333,0.400,0.400,0.400,0.400
7,25042556.194,4,4,733,24,1,1,1,1,0.166,761,689,0.262,0.462,0.462,0.545,0.500,0.286,0.333,0.286,0.000,0.000,0.462,0.462,0.545,0.500,0.286,0.333,0.286,0.000,0.000
8,25042556.270,4,4,760,37,1,1,0,0,0.169,799,761,0.472,0.235,0.286,0.333,0.200,0.000,0.000,0.000,0.000,0.000,0.235,0.286,0.333,0.200,0.000,0.000,0.000,0.000,0.000
9,25042556.346,4,4,762,30,0,1,0,1,0.168,794,799,0.099,0.308,0.444,0.500,0.286,0.250,0.400,0.000,0.000,0.000,0.308,0.444,0.500,0.286,0.250,0.400,0.000,0.000,0.000
10,25042556.423,4,4,789,37,0,1,0,0,0.172,827,794,0.050,0.375,0.462,0.500,0.222,0.333,0.333,0.000,0.000,0.000,0.375,0.462,0.500,0.222,0.333,0.333,0.000,0.000,0.000
