frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,2158965.583,3,3,470,9,8,29,4,1,0.165,521,0,12.956,0.364,0.400,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.364,0.400,0.286,0.000,0.000,0.000,0.000,0.000,0.000
2,22549526.652,2,2,279,25,0,0,0,0,0.135,304,521,0.289,0.667,0.667,0.667,0.400,0.222,0.222,0.000,0.000,0.000,0.667,0.667,0.667,0.400,0.222,0.222,0.000,0.000,0.000
3,22549526.726,3,3,250,21,1,0,0,0,0.129,272,304,0.296,0.750,0.800,0.667,0.545,0.545,0.545,0.545,0.400,0.400,0.750,0.800,0.667,0.545,0.545,0.545,0.545,0.400,0.400
4,22549526.798,4,4,247,20,1,0,1,0,0.130,269,272,0.593,0.750,0.750,0.800,0.615,0.545,0.545,0.400,0.400,0.400,0.750,0.750,0.800,0.615,0.545,0.545,0.400,0.400,0.400
5,22549526.870,2,2,260,21,1,0,0,2,0.141,284,269,0.413,0.750,0.750,0.714,0.615,0.500,0.200,0.200,0.200,0.200,0.750,0.750,0.714,0.615,0.500,0.200,0.200,0.200,0.200
6,22549526.944,3,3,251,20,3,0,0,0,0.131,274,284,0.572,0.588,0.667,0.667,0.615,0.500,0.364,0.364,0.200,0.200,0.588,0.667,0.667,0.615,0.500,0.364,0.364,0.200,0.200
7,22549527.018,2,2,236,14,0,0,0,1,0.096,251,274,0.673,0.600,0.600,0.444,0.444,0.444,0.444,0.250,0.250,0.250,0.600,0.600,0.444,0.444,0.444,0.444,0.250,0.250,0.250
8,22549527.090,6,6,208,21,0,0,0,0,0.131,229,251,1.322,0.667,0.667,0.667,0.667,0.750,0.571,0.333,0.333,0.333,0.667,0.667,0.667,0.667,0.750,0.571,0.333,0.333,0.333
9,22549527.165,4,4,224,19,2,0,0,0,0.147,245,229,1.614,0.615,0.727,0.800,0.667,0.667,0.500,0.500,0.286,0.286,0.615,0.727,0.800,0.667,0.667,0.500,0.250,0.000,0.000
10,22549527.238,4,4,215,19,1,0,0,1,0.123,236,245,1.443,0.500,0.545,0.600,0.600,0.600,0.286,0.286,0.286,0.286,0.500,0.545,0.600,0.600,0.600,0.286,0.286,0.286,0.286
11,22549527.312,2,2,214,24,0,0,0,0,0.143,238,236,0.315,0.857,0.857,0.600,0.600,0.600,0.600,0.400,0.444,0.444,0.857,0.857,0.600,0.600,0.600,0.600,0.400,0.444,0.444
12,22549527.386,3,3,206,22,0,0,0,2,0.148,230,238,1.308,0.667,0.727,0.667,0.667,0.667,0.667,0.500,0.286,0.286,0.667,0.727,0.667,0.667,0.667,0.667,0.500,0.286,0.286
13,22549527.457,2,2,212,22,1,0,0,0,0.162,235,230,0.698,0.571,0.462,0.400,0.444,0.500,0.500,0.286,0.286,0.286,0.571,0.462,0.400,0.444,0.500,0.500,0.286,0.286,0.286
14,22549527.530,2,2,200,23,0,0,0,0,0.152,223,235,1.555,0.600,0.600,0.600,0.600,0.600,0.500,0.286,0.286,0.286,0.600,0.600,0.600,0.600,0.600,0.500,0.286,0.286,0.286
15,22549527.604,2,2,220,24,0,0,0,0,0.135,244,223,1.530,0.800,0.800,0.667,0.667,0.667,0.500,0.500,0.500,0.286,0.800,0.800,0.667,0.667,0.667,0.500,0.500,0.500,0.286
16,22549527.677,3,3,215,27,1,0,0,1,0.180,244,244,0.224,0.429,0.545,0.545,0.545,0.400,0.400,0.400,0.400,0.222,0.429,0.545,0.545,0.545,0.400,0.400,0.400,0.400,0.222
17,22549527.750,3,3,229,35,0,0,0,0,0.208,264,244,0.831,0.857,0.923,0.727,0.600,0.444,0.444,0.500,0.500,0.500,0.857,0.923,0.727,0.600,0.444,0.444,0.500,0.500,0.500
18,22549527.823,6,6,216,23,0,0,0,1,0.192,240,264,0.007,0.500,0.500,0.500,0.500,0.571,0.571,0.571,0.571,0.571,0.500,0.500,0.500,0.500,0.571,0.571,0.571,0.571,0.571
19,22549527.896,2,2,249,17,1,0,0,1,0.175,268,240,0.063,0.667,0.545,0.400,0.364,0.400,0.444,0.444,0.444,0.444,0.667,0.545,0.400,0.364,0.400,0.444,0.444,0.444,0.444
20,22549527.969,4,4,257,17,1,0,0,2,0.231,277,268,0.186,0.429,0.462,0.500,0.333,0.333,0.333,0.364,0.364,0.364,0.429,0.462,0.500,0.333,0.333,0.333,0.364,0.364,0.364
21,22549528.043,2,2,274,19,1,0,0,0,0.235,294,277,0.134,0.909,0.800,0.800,0.667,0.444,0.444,0.500,0.500,0.286,0.909,0.800,0.800,0.667,0.444,0.444,0.500,0.500,0.286
22,22549528.116,4,4,274,19,2,0,0,1,0.257,296,294,0.157,0.625,0.625,0.769,0.545,0.545,0.400,0.400,0.364,0.400,0.500,0.500,0.615,0.545,0.545,0.400,0.200,0.182,0.200
23,22549528.190,4,4,292,15,2,1,0,0,0.294,310,296,0.183,0.375,0.429,0.462,0.364,0.400,0.400,0.400,0.400,0.222,0.375,0.429,0.462,0.364,0.200,0.200,0.200,0.200,0.222
24,22549528.263,3,3,262,13,2,1,0,2,0.246,280,310,0.259,0.333,0.364,0.364,0.222,0.250,0.250,0.250,0.250,0.250,0.333,0.364,0.364,0.222,0.250,0.250,0.250,0.250,0.250
25,22549528.408,2,3,249,14,1,0,0,0,0.212,264,280,0.224,0.615,0.545,0.222,0.250,0.250,0.250,0.250,0.250,0.250,0.462,0.545,0.222,0.250,0.250,0.250,0.250,0.250,0.250
26,22549528.483,2,2,251,13,3,0,0,0,0.210,267,264,0.189,0.833,0.833,0.727,0.250,0.250,0.250,0.444,0.444,0.444,0.833,0.833,0.727,0.250,0.250,0.250,0.444,0.444,0.444
27,22549528.556,2,2,235,14,2,0,0,0,0.191,251,267,0.549,0.769,0.769,0.727,0.444,0.444,0.444,0.444,0.444,0.250,0.769,0.769,0.727,0.444,0.444,0.444,0.444,0.222,0.250
28,22549528.627,3,3,218,13,3,0,0,0,0.162,234,251,0.490,0.727,0.800,0.667,0.500,0.500,0.500,0.500,0.500,0.500,0.545,0.600,0.444,0.250,0.250,0.250,0.250,0.250,0.250
29,22549528.700,9,9,217,23,1,0,0,1,0.182,242,234,0.581,0.444,0.444,0.250,0.250,0.250,0.286,0.286,0.500,0.500,0.444,0.444,0.250,0.250,0.250,0.286,0.286,0.500,0.500
30,22549528.774,2,2,216,23,3,0,0,1,0.193,243,242,0.104,0.545,0.444,0.444,0.250,0.250,0.286,0.286,0.286,0.286,0.545,0.444,0.444,0.250,0.250,0.286,0.286,0.286,0.286
31,22549528.847,3,3,213,28,4,0,0,0,0.184,245,243,0.230,0.857,0.923,0.833,0.727,0.600,0.500,0.500,0.500,0.500,0.857,0.923,0.833,0.727,0.600,0.500,0.500,0.500,0.500
32,22549528.920,4,4,237,22,4,0,0,0,0.186,263,245,0.409,0.769,0.769,0.833,0.727,0.800,0.800,0.667,0.500,0.500,0.769,0.769,0.833,0.727,0.800,0.600,0.444,0.250,0.500
33,22549529.067,2,2,223,26,0,3,0,1,0.265,253,263,0.351,0.923,0.833,0.727,0.600,0.444,0.444,0.444,0.444,0.444,0.923,0.833,0.727,0.600,0.444,0.444,0.444,0.444,0.444
