frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,16666681.128,2,2,372,0,0,0,0,0,0.091,372,0,0.027,0.667,0.667,0.667,0.667,0.400,0.400,0.400,0.400,0.400,0.667,0.667,0.667,0.667,0.400,0.400,0.400,0.400,0.400
2,16666707.666,2,2,379,0,0,0,0,0,0.034,379,372,0.304,0.909,0.571,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.727,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,16666708.773,2,2,388,0,0,0,0,0,0.046,388,379,0.168,0.667,0.667,0.500,0.500,0.286,0.286,0.286,0.000,0.000,0.667,0.667,0.500,0.500,0.000,0.000,0.000,0.000,0.000
4,16666708.847,2,2,399,0,0,0,0,0,0.048,399,388,0.271,0.909,0.909,0.800,0.500,0.286,0.286,0.286,0.286,0.286,0.909,0.909,0.800,0.500,0.286,0.286,0.286,0.286,0.286
5,16666708.920,4,4,388,0,0,0,0,0,0.028,388,399,0.239,0.286,0.286,0.500,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.500,0.286,0.000,0.000,0.000,0.000,0.000
6,16666708.994,2,2,394,0,0,0,0,0,0.028,394,388,0.158,0.250,0.250,0.250,0.250,0.250,0.000,0.000,0.000,0.000,0.250,0.250,0.250,0.250,0.250,0.000,0.000,0.000,0.000
7,16666709.067,2,2,389,0,0,0,0,0,0.051,389,394,0.307,0.923,0.923,0.727,0.600,0.600,0.444,0.444,0.000,0.000,0.769,0.769,0.545,0.600,0.600,0.444,0.444,0.000,0.000
8,16666709.143,2,2,380,0,0,0,0,0,0.026,380,389,0.226,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,16666709.216,2,2,377,0,0,0,0,0,0.032,377,380,0.077,0.600,0.444,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,16666709.290,2,2,388,0,0,0,0,0,0.041,388,377,0.258,0.600,0.600,0.444,0.444,0.250,0.000,0.000,0.000,0.000,0.600,0.600,0.444,0.444,0.250,0.000,0.000,0.000,0.000
11,16666709.364,2,2,390,0,0,0,0,0,0.044,390,388,0.316,0.444,0.444,0.250,0.250,0.250,0.250,0.250,0.250,0.000,0.444,0.444,0.250,0.250,0.250,0.250,0.250,0.250,0.000
12,16666709.438,2,2,376,0,0,0,0,0,0.029,376,390,0.132,0.667,0.667,0.667,0.500,0.500,0.286,0.286,0.000,0.000,0.667,0.667,0.667,0.500,0.500,0.286,0.286,0.000,0.000
13,16666709.510,2,2,377,0,0,0,0,0,0.042,377,376,0.071,0.545,0.545,0.400,0.400,0.400,0.444,0.000,0.000,0.000,0.545,0.545,0.400,0.400,0.400,0.444,0.000,0.000,0.000
14,16666709.585,3,3,377,0,0,0,0,0,0.037,377,377,0.093,0.667,0.714,0.615,0.500,0.400,0.250,0.000,0.000,0.000,0.533,0.571,0.462,0.333,0.400,0.250,0.000,0.000,0.000
15,16666709.658,2,2,386,0,0,0,0,0,0.039,386,377,0.088,0.769,0.769,0.667,0.400,0.000,0.000,0.000,0.000,0.000,0.615,0.615,0.500,0.200,0.000,0.000,0.000,0.000,0.000
16,16666709.731,2,2,385,0,0,0,0,0,0.039,385,386,0.036,0.667,0.667,0.545,0.400,0.000,0.000,0.000,0.000,0.000,0.667,0.667,0.364,0.200,0.000,0.000,0.000,0.000,0.000
17,16666709.804,2,2,383,0,0,0,0,0,0.037,383,385,0.127,0.600,0.600,0.444,0.250,0.250,0.000,0.000,0.000,0.000,0.600,0.600,0.444,0.250,0.250,0.000,0.000,0.000,0.000
18,16666709.879,2,2,384,0,0,0,0,0,0.039,384,383,0.124,0.727,0.727,0.727,0.600,0.250,0.250,0.250,0.000,0.000,0.727,0.727,0.727,0.600,0.250,0.250,0.250,0.000,0.000
19,16666709.953,2,2,395,0,0,0,0,0,0.043,395,384,0.150,0.545,0.545,0.545,0.250,0.000,0.000,0.000,0.000,0.000,0.545,0.545,0.545,0.250,0.000,0.000,0.000,0.000,0.000
20,16666710.028,4,4,386,0,0,0,0,0,0.044,386,395,0.037,0.667,0.667,0.727,0.600,0.444,0.444,0.000,0.000,0.000,0.667,0.667,0.727,0.600,0.444,0.444,0.000,0.000,0.000
21,16666710.099,4,4,383,0,0,0,0,0,0.042,383,386,0.126,0.667,0.727,0.800,0.500,0.286,0.000,0.000,0.000,0.000,0.667,0.727,0.800,0.500,0.286,0.000,0.000,0.000,0.000
22,16666710.173,2,2,386,0,0,0,0,0,0.041,386,383,0.062,0.500,0.500,0.500,0.222,0.222,0.000,0.000,0.000,0.000,0.500,0.500,0.500,0.222,0.222,0.000,0.000,0.000,0.000
23,16666710.248,2,2,386,0,0,0,0,0,0.047,386,386,0.137,0.769,0.769,0.727,0.444,0.250,0.000,0.000,0.000,0.000,0.769,0.769,0.727,0.444,0.250,0.000,0.000,0.000,0.000
24,16666710.321,2,2,385,0,0,0,0,0,0.039,385,386,0.212,0.727,0.727,0.600,0.444,0.250,0.000,0.000,0.000,0.000,0.727,0.727,0.600,0.444,0.250,0.000,0.000,0.000,0.000
