frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,25045362.551,4,4,754,5,8,5,24,5,0.125,801,0,1.795,0.615,0.444,0.667,0.400,0.400,0.000,0.000,0.000,0.000,0.462,0.444,0.667,0.400,0.400,0.000,0.000,0.000,0.000
2,25045465.758,4,4,695,1,3,6,1,0,0.065,706,801,1.129,0.800,0.800,1.000,0.667,0.000,0.000,0.000,0.000,0.000,0.800,0.800,1.000,0.667,0.000,0.000,0.000,0.000,0.000
3,25045465.833,4,4,670,4,9,3,0,0,0.066,686,706,1.375,0.667,0.800,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.667,0.800,1.000,1.000,1.000,1.000,1.000,0.000,0.000
4,25045465.906,6,6,688,4,6,7,1,0,0.078,706,686,1.332,0.800,0.800,0.800,0.800,1.000,1.000,1.000,0.667,0.000,0.800,0.800,0.800,0.800,1.000,1.000,1.000,0.667,0.000
5,25045465.982,2,2,662,0,6,9,2,1,0.093,680,706,1.366,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.667,0.667,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.667,0.667
6,25045466.055,2,2,634,4,6,10,0,1,0.082,655,680,1.336,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.667,0.667,0.800,0.800,0.800,0.800,0.800,0.800,0.500,0.667,0.667
7,25045466.128,7,7,610,3,6,7,1,1,0.089,628,655,1.123,0.800,0.800,0.800,0.800,0.800,1.000,0.667,0.667,0.667,0.800,0.800,0.800,0.800,0.800,1.000,0.667,0.667,0.667
8,25045466.200,8,8,566,1,9,7,0,1,0.089,584,628,1.156,0.571,0.571,0.571,0.500,0.667,0.667,1.000,1.000,1.000,0.571,0.571,0.571,0.500,0.667,0.667,1.000,1.000,1.000
9,25045466.273,5,5,566,1,16,6,0,1,0.115,590,584,1.180,0.800,0.800,0.800,1.000,1.000,0.800,1.000,1.000,1.000,0.800,0.800,0.800,1.000,1.000,0.800,1.000,1.000,1.000
10,25045466.349,4,4,607,5,14,8,2,0,0.126,636,590,1.178,0.800,0.800,1.000,1.000,1.000,1.000,0.800,1.000,1.000,0.800,0.800,1.000,1.000,1.000,1.000,0.800,1.000,1.000
11,25045466.421,10,5,598,6,9,15,2,0,0.133,630,636,1.364,0.667,0.667,0.667,0.800,0.800,0.667,0.667,0.800,1.000,0.667,0.667,0.667,0.800,0.400,0.333,0.333,0.400,0.500
12,25045466.492,2,2,601,4,12,12,0,0,0.161,629,630,1.363,0.667,0.667,0.667,0.667,0.667,0.571,0.400,0.500,0.500,0.667,0.667,0.667,0.667,0.667,0.571,0.400,0.500,0.000
13,25045466.568,6,6,532,13,10,2,3,0,0.157,560,629,1.206,0.400,0.444,0.444,0.500,0.571,0.500,0.500,0.500,0.000,0.200,0.222,0.222,0.250,0.286,0.250,0.250,0.000,0.000
14,25045466.640,2,8,505,4,3,0,0,1,0.162,513,560,0.631,1.000,1.000,1.000,1.000,1.000,1.000,0.667,0.500,0.000,0.500,0.500,0.500,0.500,0.500,0.500,0.667,0.500,0.000
15,25045466.713,3,3,544,7,1,0,0,1,0.114,553,513,1.221,0.400,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.000,0.400,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.000
16,25045466.786,2,2,574,3,4,0,2,7,0.119,590,553,0.780,1.000,0.800,0.667,0.667,0.800,0.800,0.000,0.000,0.000,1.000,0.800,0.667,0.667,0.800,0.800,0.000,0.000,0.000
17,25045466.933,2,2,602,1,4,0,1,0,0.086,608,590,0.748,1.000,1.000,1.000,0.667,0.667,0.667,0.000,0.000,0.000,1.000,1.000,1.000,0.667,0.667,0.667,0.000,0.000,0.000
18,25045467.007,2,2,637,1,3,3,1,0,0.112,645,608,0.782,0.857,0.857,0.800,0.500,0.500,0.500,0.500,0.500,0.500,0.857,0.857,0.800,0.500,0.500,0.500,0.500,0.500,0.500
19,25045467.080,2,2,647,2,2,0,0,0,0.081,651,645,0.795,0.800,0.800,0.800,0.500,0.667,0.667,0.667,0.000,0.000,0.800,0.800,0.800,0.500,0.667,0.667,0.667,0.000,0.000
20,25045467.154,2,2,649,2,2,0,0,0,0.077,653,651,0.817,1.000,1.000,1.000,0.667,0.667,0.667,0.000,0.000,0.000,1.000,1.000,1.000,0.667,0.667,0.000,0.000,0.000,0.000
21,25045467.228,2,2,691,5,2,0,0,2,0.107,700,653,0.804,1.000,1.000,1.000,0.667,0.667,0.667,0.667,0.000,0.000,1.000,1.000,1.000,0.667,0.667,0.667,0.667,0.000,0.000
22,25045467.301,3,3,672,1,6,0,0,0,0.087,679,700,0.795,0.800,1.000,1.000,0.667,0.667,0.667,0.667,0.000,0.000,0.800,1.000,1.000,0.667,0.667,0.667,0.000,0.000,0.000
23,25045467.373,3,3,689,3,4,0,0,2,0.103,698,679,1.354,0.571,0.667,0.667,0.400,0.400,0.400,0.400,0.500,0.667,0.571,0.667,0.667,0.400,0.400,0.400,0.400,0.500,0.667
24,25045467.450,4,4,692,2,9,0,0,0,0.098,703,698,0.807,0.571,0.800,1.000,0.667,0.667,0.667,0.667,0.667,0.000,0.571,0.800,1.000,0.667,0.667,0.667,0.667,0.667,0.000
25,25045467.524,7,7,715,2,6,0,0,1,0.095,724,703,0.913,0.400,0.500,0.500,0.500,0.400,0.667,0.000,0.000,0.000,0.400,0.500,0.500,0.500,0.400,0.667,0.000,0.000,0.000
26,25045467.597,2,2,648,6,5,0,0,6,0.087,665,724,1.302,0.667,0.667,0.500,0.667,0.667,0.667,0.667,0.000,0.000,0.667,0.667,0.500,0.667,0.667,0.667,0.667,0.000,0.000
27,25045467.672,2,2,710,3,1,0,1,0,0.070,715,665,0.848,1.000,1.000,1.000,1.000,1.000,0.667,0.667,0.667,0.000,1.000,1.000,1.000,1.000,1.000,0.667,0.667,0.000,0.000
