frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,25043522.483,2,2,820,3,0,0,0,0,0.122,823,0,0.292,0.267,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.267,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,25043747.752,3,3,755,1,15,6,0,4,0.119,781,823,1.670,0.444,0.667,0.667,0.667,0.667,0.000,0.000,0.000,0.000,0.444,0.667,0.667,0.667,0.667,0.000,0.000,0.000,0.000
3,25043748.877,4,4,663,1,18,5,4,5,0.185,696,781,0.604,0.308,0.400,0.571,0.571,0.333,0.000,0.000,0.000,0.000,0.308,0.400,0.571,0.286,0.333,0.000,0.000,0.000,0.000
4,25043748.953,9,9,667,2,19,5,9,4,0.181,706,696,0.543,0.462,0.545,0.545,0.545,0.750,0.750,0.750,0.857,0.667,0.462,0.545,0.545,0.545,0.750,0.750,0.750,0.857,0.667
5,25043749.027,6,6,651,7,19,2,6,11,0.177,696,706,0.986,0.571,0.727,0.667,0.667,0.750,0.500,0.667,0.400,0.333,0.571,0.727,0.667,0.667,0.750,0.500,0.667,0.400,0.000
6,25043749.102,7,7,731,12,20,5,6,6,0.168,780,696,2.249,0.400,0.471,0.615,0.727,0.667,0.750,0.571,0.667,0.667,0.400,0.471,0.615,0.727,0.667,0.750,0.571,0.667,0.333
7,25043749.179,5,5,729,1,18,9,4,15,0.180,776,780,9.064,0.375,0.462,0.545,0.600,0.444,0.222,0.286,0.000,0.000,0.375,0.462,0.545,0.600,0.222,0.222,0.286,0.000,0.000
8,25043749.402,6,6,684,9,18,8,11,15,0.200,745,776,3.388,0.222,0.250,0.333,0.444,0.500,0.286,0.000,0.000,0.000,0.111,0.125,0.167,0.222,0.250,0.000,0.000,0.000,0.000
9,25043749.551,4,4,673,4,13,1,2,6,0.186,699,745,11.682,0.286,0.400,0.444,0.286,0.400,0.400,0.400,0.000,0.000,0.286,0.400,0.444,0.286,0.400,0.400,0.400,0.000,0.000
10,25043749.701,3,3,720,6,17,0,6,3,0.158,752,699,11.773,0.500,0.571,0.571,0.571,0.444,0.444,0.000,0.000,0.000,0.500,0.571,0.571,0.571,0.444,0.444,0.000,0.000,0.000
11,25043749.851,3,3,746,3,21,1,4,4,0.153,779,752,9.115,0.857,1.000,0.667,0.667,0.286,0.286,0.286,0.400,0.000,0.857,1.000,0.667,0.667,0.286,0.286,0.286,0.400,0.000
12,25043749.999,4,4,751,0,21,2,0,7,0.146,781,779,7.729,0.500,0.600,0.667,0.500,0.571,0.333,0.333,0.400,0.400,0.500,0.600,0.667,0.500,0.571,0.333,0.333,0.400,0.400
13,25043750.148,3,3,722,2,16,2,5,6,0.157,753,781,7.419,0.500,0.667,0.667,0.571,0.571,0.286,0.400,0.500,0.500,0.500,0.667,0.667,0.571,0.571,0.286,0.400,0.500,0.500
14,25043750.298,6,6,709,3,19,1,1,3,0.152,736,753,5.876,0.750,0.571,0.571,0.571,0.800,0.500,0.400,0.400,0.400,0.750,0.571,0.571,0.571,0.800,0.500,0.400,0.400,0.400
15,25043750.371,6,6,685,1,13,8,2,2,0.174,711,736,4.267,0.545,0.545,0.545,0.500,0.667,0.571,0.571,0.333,0.000,0.545,0.545,0.545,0.500,0.667,0.571,0.286,0.000,0.000
16,25043750.523,3,3,689,1,15,4,7,4,0.185,720,711,11.229,0.400,0.500,0.400,0.286,0.400,0.333,0.400,0.333,0.400,0.400,0.500,0.400,0.286,0.400,0.333,0.400,0.333,0.400
17,25043750.596,6,6,692,3,13,15,6,7,0.168,736,720,2.382,0.462,0.600,0.600,0.667,0.750,0.571,0.667,0.400,0.333,0.462,0.600,0.600,0.667,0.750,0.571,0.667,0.400,0.333
18,25043750.747,2,2,712,2,17,13,4,9,0.160,757,736,6.610,0.800,0.800,0.667,0.667,0.667,0.667,0.500,0.667,0.667,0.800,0.800,0.667,0.667,0.667,0.667,0.500,0.667,0.333
19,25043750.897,3,3,600,5,16,3,2,4,0.152,630,757,3.707,0.571,0.667,0.600,0.286,0.286,0.286,0.400,0.333,0.400,0.571,0.667,0.600,0.286,0.286,0.286,0.400,0.333,0.400
20,25043750.972,6,6,631,4,15,5,3,2,0.126,660,630,0.324,0.500,0.600,0.600,0.667,0.750,0.571,0.667,0.400,0.400,0.500,0.600,0.600,0.667,0.750,0.571,0.667,0.400,0.400
21,25043751.048,3,3,637,3,19,7,5,2,0.126,673,660,7.000,0.667,0.857,0.857,0.750,0.667,0.800,0.800,0.800,0.500,0.667,0.857,0.857,0.750,0.667,0.800,0.800,0.800,0.500
22,25043751.120,3,3,690,0,21,5,3,1,0.119,720,673,9.651,0.750,0.857,0.857,0.750,0.750,0.571,0.800,0.800,0.800,0.750,0.857,0.857,0.750,0.750,0.571,0.800,0.800,0.800
23,25043751.197,3,3,652,0,12,13,4,3,0.123,684,720,2.754,0.600,0.857,0.857,0.667,0.750,0.571,0.571,0.571,0.400,0.600,0.857,0.857,0.667,0.750,0.571,0.571,0.571,0.400
24,25043751.347,4,4,671,0,22,10,3,11,0.130,717,684,6.189,0.545,0.667,0.857,0.857,0.857,0.667,0.667,0.667,0.333,0.545,0.667,0.857,0.857,0.571,0.667,0.667,0.667,0.000
25,25043751.423,2,2,643,1,15,20,4,5,0.144,688,717,3.742,0.889,0.889,0.750,0.750,0.750,0.857,0.857,0.857,0.857,0.667,0.667,0.500,0.500,0.500,0.571,0.571,0.571,0.571
26,25043751.574,4,3,619,3,18,12,9,7,0.177,668,688,6.262,0.500,0.615,0.667,0.667,0.667,0.667,0.333,0.000,0.000,0.375,0.462,0.222,0.222,0.222,0.000,0.000,0.000,0.000
27,25043751.652,4,5,594,5,15,14,2,4,0.178,634,668,1.255,0.500,0.600,0.667,0.571,0.571,0.500,0.333,0.400,0.400,0.333,0.400,0.444,0.571,0.571,0.500,0.333,0.400,0.400
28,25043751.727,3,3,663,3,10,18,2,2,0.152,698,634,0.688,0.800,0.889,0.889,0.889,0.889,0.857,0.857,0.857,0.667,0.800,0.889,0.889,0.667,0.667,0.857,0.857,0.857,0.667
29,25043751.803,3,3,659,0,11,18,5,3,0.131,696,698,4.801,0.800,0.889,0.889,0.800,0.750,0.857,0.857,0.857,0.667,0.800,0.889,0.889,0.800,0.750,0.857,0.857,0.857,0.667
30,25043751.953,5,5,705,0,20,18,4,4,0.141,751,696,7.150,0.500,0.667,0.667,0.857,0.667,0.571,0.800,0.500,0.500,0.500,0.667,0.667,0.857,0.667,0.571,0.400,0.500,0.500
31,25043752.106,4,4,715,2,12,28,1,11,0.159,769,751,6.655,0.600,0.667,0.750,0.750,0.571,0.286,0.400,0.500,0.500,0.400,0.444,0.500,0.250,0.000,0.000,0.000,0.000,0.000
32,25043752.256,4,6,658,5,12,16,19,16,0.175,726,769,4.984,0.462,0.600,0.750,0.750,0.667,0.667,0.571,0.286,0.400,0.462,0.600,0.500,0.500,0.667,0.667,0.571,0.286,0.400
33,25043752.408,5,5,623,2,17,11,4,5,0.166,662,726,8.000,0.308,0.400,0.444,0.571,0.286,0.286,0.333,0.333,0.400,0.308,0.400,0.444,0.571,0.286,0.286,0.333,0.333,0.400
34,25043752.484,2,9,684,4,12,19,1,3,0.141,723,662,2.605,0.800,0.667,0.750,0.750,0.500,0.571,0.571,0.667,0.400,0.600,0.444,0.500,0.500,0.500,0.571,0.571,0.667,0.400
35,25043752.561,2,2,650,1,7,19,4,3,0.117,684,723,3.568,0.800,0.800,0.667,0.500,0.571,0.667,0.667,0.667,0.667,0.800,0.800,0.667,0.500,0.571,0.667,0.667,0.667,0.667
36,25043752.711,6,4,653,0,15,19,0,14,0.147,701,684,4.441,0.444,0.571,0.667,0.667,0.800,0.800,0.333,0.333,0.400,0.444,0.571,0.667,0.667,0.400,0.400,0.333,0.333,0.400
37,25043752.788,3,7,638,3,11,17,3,11,0.146,683,701,2.466,0.500,0.571,0.571,0.571,0.400,0.500,0.500,0.500,0.500,0.250,0.286,0.286,0.286,0.400,0.500,0.500,0.500,0.500
38,25043752.863,5,2,628,1,16,28,3,6,0.174,682,683,5.484,0.545,0.545,0.444,0.571,0.571,0.571,0.571,0.571,0.333,0.364,0.364,0.222,0.286,0.286,0.286,0.286,0.286,0.333
39,25043752.938,3,9,566,6,3,22,9,7,0.188,613,682,3.307,0.333,0.500,0.500,0.500,0.444,0.250,0.286,0.333,0.400,0.167,0.250,0.250,0.250,0.222,0.250,0.286,0.333,0.000
40,25043753.012,9,3,522,2,3,21,2,3,0.154,553,613,0.686,0.286,0.400,0.333,0.333,0.333,0.333,0.400,0.500,0.500,0.286,0.400,0.333,0.333,0.333,0.333,0.000,0.000,0.000
41,25043753.087,3,3,578,6,2,22,6,0,0.121,614,553,1.516,0.600,0.750,0.571,0.571,0.667,0.400,0.400,0.400,0.500,0.400,0.500,0.286,0.286,0.333,0.000,0.000,0.000,0.000
42,25043753.162,2,2,613,0,3,24,2,5,0.128,647,614,7.469,0.571,0.571,0.571,0.400,0.400,0.400,0.500,0.500,0.500,0.571,0.571,0.571,0.400,0.400,0.400,0.500,0.500,0.500
43,25043753.237,3,3,611,3,5,28,1,2,0.135,650,647,8.021,0.571,0.667,0.667,0.667,0.400,0.400,0.500,0.500,0.500,0.286,0.333,0.333,0.333,0.000,0.000,0.000,0.000,0.000
44,25043753.312,6,6,605,1,1,32,1,1,0.111,641,650,10.046,0.667,0.667,0.667,0.667,0.800,0.500,0.500,0.500,0.500,0.333,0.333,0.333,0.333,0.400,0.000,0.000,0.000,0.000
45,25043753.385,3,3,596,0,2,26,1,2,0.107,627,641,12.577,0.667,0.800,0.800,0.800,0.500,0.500,0.500,0.500,0.500,0.667,0.800,0.800,0.800,0.500,0.500,0.500,0.500,0.500
46,25043753.462,2,2,568,2,5,25,3,0,0.106,603,627,4.269,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.000,0.000,0.000
47,25043753.537,2,2,587,0,6,29,0,0,0.101,622,603,7.366,1.000,1.000,1.000,1.000,1.000,0.500,0.500,0.500,0.500,1.000,1.000,1.000,1.000,1.000,0.500,0.500,0.500,0.000
48,25043753.612,2,2,544,0,7,41,2,2,0.151,596,622,5.268,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.500,0.500,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.500,0.500
49,25043753.686,3,3,515,1,17,26,0,3,0.139,562,596,6.395,0.667,1.000,1.000,1.000,1.000,1.000,0.500,0.400,0.500,0.667,1.000,1.000,1.000,1.000,1.000,0.500,0.000,0.000
50,25043753.759,2,2,467,0,18,27,2,5,0.173,519,562,7.895,1.000,1.000,1.000,1.000,1.000,1.000,0.800,1.000,0.667,1.000,1.000,1.000,1.000,1.000,1.000,0.800,1.000,0.667
51,25043753.835,8,8,460,1,21,33,5,9,0.202,529,519,1.867,0.571,0.800,0.800,0.667,0.800,0.800,1.000,0.500,0.400,0.571,0.800,0.800,0.667,0.800,0.800,1.000,0.500,0.000
