frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,29724912.236,2,2,340,0,0,0,0,0,0.091,340,0,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,29724925.714,3,3,575,24,10,2,2,4,0.220,617,340,0.788,0.500,0.667,0.500,0.500,0.250,0.250,0.250,0.250,0.000,0.500,0.667,0.500,0.333,0.250,0.250,0.250,0.250,0.000
3,29724926.758,3,3,542,35,6,2,1,1,0.198,587,617,1.409,0.571,0.667,0.600,0.667,0.667,0.444,0.500,0.500,0.286,0.571,0.667,0.600,0.667,0.667,0.444,0.500,0.500,0.286
4,29724926.907,3,5,530,30,4,2,0,1,0.228,567,587,0.703,0.625,0.667,0.615,0.667,0.667,0.667,0.667,0.500,0.500,0.500,0.533,0.615,0.667,0.667,0.667,0.667,0.500,0.500
5,29724926.981,3,3,500,19,5,0,4,0,0.197,528,567,0.310,0.625,0.769,0.727,0.727,0.667,0.500,0.500,0.500,0.500,0.500,0.615,0.545,0.545,0.444,0.500,0.500,0.500,0.500
6,29724927.056,4,4,511,20,5,3,0,1,0.224,540,528,0.334,0.533,0.727,0.800,0.800,0.500,0.500,0.500,0.500,0.250,0.533,0.727,0.800,0.800,0.500,0.500,0.500,0.250,0.250
7,29724927.131,3,3,553,27,3,6,0,0,0.205,589,540,1.253,0.500,0.667,0.667,0.600,0.444,0.444,0.500,0.500,0.500,0.500,0.667,0.500,0.600,0.444,0.444,0.500,0.500,0.500
8,29724927.203,2,2,531,24,13,0,1,0,0.190,569,589,2.510,0.800,0.800,0.615,0.500,0.545,0.600,0.500,0.444,0.444,0.800,0.800,0.615,0.500,0.545,0.600,0.500,0.444,0.444
9,29724927.279,4,4,533,46,8,6,0,1,0.210,594,569,3.709,0.545,0.545,0.750,0.714,0.667,0.667,0.545,0.600,0.600,0.545,0.545,0.750,0.714,0.667,0.667,0.545,0.600,0.600
10,29724927.355,3,3,545,41,4,2,0,1,0.182,593,594,5.106,0.750,0.923,0.923,0.833,0.727,0.727,0.667,0.400,0.444,0.750,0.923,0.923,0.833,0.727,0.727,0.667,0.400,0.444
11,29724927.428,3,3,526,40,7,1,3,1,0.196,578,593,1.949,0.476,0.769,0.769,0.667,0.444,0.444,0.500,0.500,0.500,0.476,0.769,0.769,0.500,0.444,0.444,0.500,0.500,0.500
12,29724927.501,4,4,542,33,9,7,0,4,0.210,595,578,0.629,0.500,0.714,0.769,0.600,0.600,0.444,0.444,0.444,0.500,0.500,0.714,0.769,0.600,0.600,0.444,0.444,0.444,0.500
13,29724927.575,4,4,545,40,10,3,0,0,0.189,598,595,2.369,0.500,0.556,0.588,0.571,0.462,0.500,0.364,0.364,0.200,0.500,0.556,0.588,0.571,0.462,0.500,0.364,0.364,0.200
14,29724927.649,10,10,567,31,11,0,3,0,0.165,612,598,2.590,0.476,0.556,0.533,0.462,0.462,0.500,0.500,0.500,0.600,0.476,0.556,0.533,0.462,0.462,0.500,0.500,0.500,0.600
15,29724927.722,4,4,585,26,9,2,0,2,0.192,624,612,4.456,0.471,0.727,0.800,0.667,0.667,0.667,0.667,0.571,0.571,0.471,0.727,0.800,0.667,0.667,0.667,0.667,0.571,0.571
16,29724927.797,6,6,542,37,5,2,0,1,0.201,587,624,4.799,0.533,0.615,0.615,0.545,0.750,0.750,0.750,0.750,0.750,0.533,0.615,0.615,0.545,0.750,0.750,0.750,0.750,0.750
17,29724927.872,4,4,537,40,6,4,2,1,0.239,590,587,4.838,0.571,0.667,0.800,0.750,0.750,0.750,0.750,0.750,0.571,0.571,0.667,0.800,0.750,0.750,0.750,0.750,0.750,0.571
18,29724927.945,4,4,540,49,4,1,2,3,0.265,599,590,3.280,0.500,0.667,0.889,0.857,0.857,0.857,0.857,0.857,0.857,0.500,0.667,0.889,0.857,0.857,0.857,0.857,0.857,0.857
19,29724928.019,10,10,501,43,3,1,0,0,0.321,548,599,2.493,0.500,0.533,0.533,0.667,0.600,0.600,0.667,0.750,0.857,0.500,0.533,0.533,0.667,0.600,0.600,0.667,0.750,0.857
20,29724928.096,6,6,521,42,2,1,0,1,0.384,567,548,1.867,0.421,0.533,0.667,0.800,0.889,0.750,0.750,0.857,0.857,0.421,0.533,0.667,0.800,0.889,0.750,0.750,0.857,0.857
21,29724928.171,6,6,565,23,5,1,0,0,0.406,594,567,0.491,0.320,0.333,0.571,0.615,0.889,0.750,0.750,0.750,0.750,0.320,0.333,0.571,0.615,0.889,0.750,0.750,0.750,0.750
22,29724928.245,7,7,580,30,1,0,1,1,0.406,613,594,1.969,0.207,0.286,0.353,0.375,0.500,0.667,0.286,0.286,0.286,0.207,0.286,0.353,0.375,0.500,0.667,0.286,0.286,0.286
23,29724928.318,7,7,603,35,0,0,0,2,0.441,640,613,1.529,0.276,0.296,0.381,0.471,0.500,0.667,0.600,0.444,0.500,0.276,0.296,0.381,0.471,0.500,0.667,0.600,0.444,0.500
24,29724928.394,8,8,637,30,3,3,1,3,0.430,677,640,2.464,0.258,0.333,0.381,0.500,0.727,0.667,0.800,0.750,0.571,0.258,0.333,0.381,0.500,0.727,0.667,0.800,0.750,0.571
25,29724928.470,7,7,572,36,5,0,1,1,0.447,615,677,3.522,0.250,0.267,0.320,0.348,0.444,0.545,0.500,0.333,0.400,0.250,0.267,0.320,0.348,0.444,0.545,0.500,0.333,0.400
26,29724928.545,9,9,599,35,6,0,2,4,0.406,646,615,1.098,0.308,0.421,0.421,0.421,0.462,0.400,0.500,0.667,0.400,0.308,0.421,0.421,0.421,0.462,0.400,0.500,0.667,0.400
27,29724928.622,6,6,574,28,4,3,0,2,0.380,611,646,0.218,0.267,0.320,0.471,0.471,0.500,0.429,0.462,0.286,0.333,0.267,0.320,0.471,0.471,0.500,0.429,0.462,0.286,0.333
28,29724928.697,4,4,557,28,2,0,4,0,0.362,591,611,7.322,0.231,0.316,0.375,0.167,0.200,0.222,0.286,0.286,0.333,0.231,0.316,0.375,0.167,0.200,0.222,0.286,0.286,0.333
29,29724928.771,8,8,617,33,4,0,1,1,0.387,656,591,0.189,0.188,0.240,0.375,0.400,0.250,0.333,0.444,0.250,0.333,0.188,0.240,0.375,0.400,0.250,0.333,0.444,0.250,0.333
30,29724928.848,9,9,642,27,2,5,3,1,0.332,680,656,0.175,0.222,0.250,0.300,0.333,0.308,0.444,0.500,0.571,0.000,0.148,0.167,0.200,0.222,0.154,0.222,0.250,0.286,0.000
31,29724928.926,8,7,603,26,6,0,4,2,0.326,641,680,1.754,0.286,0.333,0.375,0.286,0.333,0.444,0.667,0.333,0.000,0.286,0.333,0.375,0.286,0.333,0.444,0.333,0.333,0.000
32,29724929.001,9,9,563,24,7,0,2,0,0.334,596,641,2.309,0.316,0.400,0.429,0.400,0.400,0.500,0.667,0.800,0.800,0.316,0.400,0.429,0.400,0.400,0.500,0.667,0.800,0.800
33,29724929.073,8,8,586,19,4,0,4,2,0.304,615,596,3.565,0.300,0.429,0.400,0.462,0.444,0.667,0.800,0.667,0.800,0.300,0.429,0.400,0.462,0.444,0.667,0.800,0.667,0.800
