frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,20728331.252,3,3,371,0,0,0,0,0,0.043,371,0,0.131,0.400,0.500,0.500,0.500,0.500,0.500,0.000,0.000,0.000,0.400,0.500,0.500,0.500,0.500,0.500,0.000,0.000,0.000
2,20728340.724,2,2,384,0,0,0,0,0,0.065,384,371,0.319,0.800,0.667,0.667,0.667,0.500,0.286,0.286,0.000,0.000,0.800,0.667,0.667,0.667,0.250,0.286,0.286,0.000,0.000
3,20728340.799,5,5,365,0,0,0,0,0,0.049,365,384,0.195,0.750,0.750,0.750,0.889,0.750,0.750,0.750,0.750,0.571,0.750,0.750,0.750,0.889,0.750,0.750,0.750,0.750,0.571
4,20728340.873,2,2,374,0,0,0,0,0,0.045,374,365,0.093,0.800,0.667,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.800,0.667,0.500,0.500,0.500,0.500,0.500,0.500,0.500
5,20728340.947,2,2,378,0,0,0,0,0,0.045,378,374,0.321,0.800,0.800,0.667,0.500,0.500,0.500,0.500,0.286,0.286,0.800,0.800,0.667,0.500,0.500,0.500,0.500,0.286,0.286
6,20728341.019,2,2,361,0,0,0,0,0,0.036,361,378,0.272,0.500,0.500,0.500,0.500,0.500,0.500,0.286,0.286,0.286,0.500,0.500,0.500,0.500,0.500,0.500,0.286,0.286,0.286
7,20728341.093,4,4,386,0,0,0,0,0,0.067,386,361,0.306,0.444,0.444,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.444,0.444,0.500,0.500,0.500,0.500,0.500,0.500,0.500
8,20728341.166,2,2,389,0,0,0,0,0,0.049,389,386,0.137,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500
9,20728341.241,2,2,367,0,0,0,0,0,0.054,367,389,0.370,0.667,0.667,0.667,0.667,0.667,0.500,0.500,0.500,0.286,0.667,0.667,0.667,0.667,0.667,0.500,0.500,0.500,0.286
10,20728341.315,2,2,388,0,0,0,0,0,0.062,388,367,0.331,0.909,0.909,0.909,0.909,0.800,0.800,0.667,0.500,0.500,0.909,0.909,0.909,0.909,0.800,0.800,0.667,0.500,0.500
11,20728341.386,2,2,393,0,0,0,0,0,0.066,393,388,0.403,0.667,0.667,0.667,0.667,0.667,0.500,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.500,0.667,0.667,0.667
12,20728341.460,2,9,385,0,0,0,0,0,0.073,385,393,0.543,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.444,0.444,0.444,0.444,0.444,0.444,0.444,0.667,0.667
13,20728341.536,2,2,397,0,0,0,0,0,0.065,397,385,0.394,0.800,0.800,0.800,0.800,0.667,0.667,0.667,0.667,0.667,0.800,0.800,0.800,0.800,0.667,0.667,0.667,0.667,0.667
14,20728341.609,2,2,395,0,0,0,0,0,0.073,395,397,0.245,0.833,0.833,0.800,0.800,0.667,0.667,0.667,0.667,0.667,0.833,0.833,0.800,0.800,0.667,0.667,0.667,0.667,0.667
15,20728341.684,2,2,383,0,0,0,0,0,0.052,383,395,0.282,0.889,0.889,0.889,0.750,0.750,0.571,0.571,0.571,0.571,0.889,0.889,0.889,0.750,0.750,0.571,0.571,0.571,0.571
16,20728341.758,2,2,389,0,0,0,0,0,0.062,389,383,0.260,0.909,0.909,0.800,0.500,0.500,0.500,0.500,0.500,0.286,0.909,0.909,0.800,0.500,0.500,0.500,0.500,0.500,0.286
17,20728341.832,2,2,382,0,0,0,0,0,0.060,382,389,0.193,0.800,0.800,0.800,0.667,0.286,0.286,0.286,0.286,0.000,0.800,0.800,0.800,0.667,0.286,0.286,0.286,0.286,0.000
18,20728341.906,4,4,377,0,0,0,0,0,0.066,377,382,0.351,0.909,0.909,1.000,0.889,0.889,0.889,0.889,0.571,0.333,0.909,0.909,1.000,0.889,0.889,0.889,0.889,0.571,0.333
19,20728341.980,2,2,362,0,0,0,0,0,0.061,362,377,0.352,0.800,0.800,0.800,0.667,0.667,0.600,0.500,0.286,0.286,0.800,0.800,0.800,0.667,0.667,0.400,0.500,0.286,0.286
20,20728342.054,2,2,385,0,0,0,0,0,0.065,385,362,0.312,0.909,0.909,0.909,0.800,0.667,0.500,0.500,0.500,0.500,0.909,0.909,0.909,0.800,0.667,0.500,0.500,0.500,0.500
21,20728342.127,2,2,372,0,0,0,0,0,0.054,372,385,0.422,1.000,1.000,1.000,1.000,0.889,0.750,0.571,0.571,0.333,1.000,1.000,1.000,1.000,0.889,0.750,0.571,0.571,0.333
22,20728342.201,4,4,387,0,0,0,0,0,0.059,387,372,0.359,0.909,0.909,1.000,1.000,0.750,0.750,0.750,0.333,0.000,0.909,0.909,1.000,1.000,0.750,0.750,0.750,0.333,0.000
23,20728342.273,4,4,381,0,0,0,0,0,0.066,381,387,0.367,0.769,0.769,0.833,0.727,0.800,0.500,0.286,0.286,0.286,0.769,0.769,0.833,0.727,0.800,0.500,0.286,0.286,0.286
24,20728342.348,4,4,385,0,0,0,0,0,0.070,385,381,0.132,0.714,0.769,0.833,0.727,0.727,0.600,0.444,0.250,0.250,0.714,0.769,0.833,0.727,0.727,0.600,0.444,0.250,0.250
25,20728342.423,4,4,382,0,0,0,0,0,0.058,382,385,0.282,0.600,0.600,0.667,0.500,0.286,0.286,0.286,0.286,0.000,0.600,0.600,0.667,0.500,0.286,0.286,0.286,0.286,0.000
26,20728342.495,2,2,385,0,0,0,0,0,0.073,385,382,0.447,0.833,0.833,0.727,0.727,0.600,0.600,0.600,0.444,0.250,0.833,0.833,0.727,0.727,0.600,0.600,0.600,0.444,0.000
27,20728342.567,2,2,376,0,0,0,0,0,0.051,376,385,0.216,0.800,0.800,0.800,0.667,0.667,0.500,0.500,0.500,0.000,0.800,0.800,0.800,0.667,0.667,0.500,0.500,0.500,0.000
28,20728342.642,2,2,381,0,0,0,0,0,0.058,381,376,0.284,0.545,0.545,0.545,0.400,0.400,0.222,0.400,0.222,0.222,0.545,0.545,0.545,0.400,0.400,0.222,0.400,0.222,0.222
29,20728342.716,2,2,388,0,0,0,0,0,0.072,388,381,0.290,0.727,0.727,0.727,0.444,0.444,0.444,0.250,0.250,0.250,0.727,0.727,0.727,0.444,0.444,0.444,0.250,0.250,0.250
