frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,29722426.767,3,3,364,4,2,0,0,0,0.143,370,0,0.722,0.667,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.000,0.667,1.000,0.667,0.667,0.000,0.000,0.000,0.000,0.000
2,29722426.838,2,2,424,1,0,0,0,0,0.115,425,370,0.534,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,29722427.207,2,2,449,1,0,0,0,0,0.073,450,425,0.291,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
8,29722427.279,2,2,445,1,1,0,0,0,0.076,447,450,0.579,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,29722427.353,2,2,476,4,3,0,0,0,0.104,483,447,0.437,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
10,29722427.425,2,2,480,6,2,0,0,0,0.102,488,483,0.711,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
11,29722427.498,4,4,509,3,2,0,0,0,0.082,514,488,0.878,0.500,0.667,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.500,0.667,1.000,1.000,1.000,0.000,0.000,0.000,0.000
40,29722429.657,2,2,426,9,1,0,0,0,0.080,436,514,0.319,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.000
41,29722429.730,2,2,483,3,1,0,0,0,0.119,487,436,0.227,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,29722429.805,2,2,528,12,1,0,0,0,0.142,541,487,0.225,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,29722429.879,2,2,550,8,2,0,0,0,0.141,560,541,0.214,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44,29722429.953,4,4,604,8,1,0,0,0,0.191,613,560,0.180,0.250,0.286,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.286,0.400,0.000,0.000,0.000,0.000,0.000,0.000
45,29722430.029,8,4,602,6,1,0,0,0,0.148,609,613,0.171,0.250,0.333,0.400,0.400,0.000,0.000,0.667,0.000,0.000,0.250,0.333,0.400,0.400,0.000,0.000,0.000,0.000,0.000
46,29722430.104,9,2,585,6,2,1,1,0,0.121,595,609,0.146,0.333,0.400,0.500,0.500,0.000,0.000,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,29722430.177,6,6,606,11,1,0,0,1,0.158,619,595,0.173,0.200,0.286,0.250,0.286,0.333,0.000,0.000,0.000,0.000,0.200,0.286,0.250,0.286,0.333,0.000,0.000,0.000,0.000
48,29722430.251,7,7,656,9,0,0,1,0,0.113,666,619,0.165,0.182,0.200,0.333,0.286,0.333,0.400,0.000,0.000,0.000,0.182,0.200,0.333,0.286,0.333,0.400,0.000,0.000,0.000
49,29722430.326,7,7,680,7,1,1,1,0,0.107,690,666,0.110,0.250,0.286,0.400,0.500,0.500,0.667,0.000,0.000,0.000,0.250,0.286,0.400,0.500,0.500,0.667,0.000,0.000,0.000
50,29722430.400,5,5,728,2,3,0,0,0,0.097,733,690,0.108,0.250,0.333,0.400,0.500,0.500,0.500,0.500,0.000,0.000,0.250,0.333,0.400,0.500,0.500,0.500,0.500,0.000,0.000
51,29722430.474,9,9,805,12,2,0,0,0,0.107,819,733,0.077,0.167,0.200,0.222,0.250,0.500,0.500,0.500,0.667,0.667,0.167,0.200,0.222,0.250,0.500,0.500,0.500,0.667,0.667
52,29722430.548,5,5,734,10,2,0,0,0,0.075,746,819,0.061,0.286,0.333,0.400,0.500,0.500,0.500,0.500,0.500,0.000,0.286,0.333,0.400,0.500,0.500,0.500,0.500,0.500,0.000
53,29722430.621,7,7,807,7,1,0,0,0,0.080,815,746,0.066,0.286,0.333,0.333,0.400,0.286,0.667,0.667,0.667,0.667,0.286,0.333,0.333,0.400,0.286,0.667,0.667,0.667,0.667
54,29722430.773,7,7,834,10,1,0,0,0,0.095,845,815,0.061,0.333,0.400,0.400,0.500,0.500,0.667,0.667,0.667,0.667,0.333,0.400,0.400,0.500,0.500,0.667,0.667,0.667,0.667
55,29722430.849,8,8,843,4,0,0,0,1,0.088,848,845,0.104,0.286,0.333,0.333,0.500,0.500,0.500,0.667,0.667,0.667,0.286,0.333,0.333,0.500,0.500,0.500,0.667,0.667,0.667
56,29722430.999,7,2,836,13,1,0,0,1,0.118,851,848,0.182,0.222,0.222,0.400,0.500,0.500,0.667,0.667,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57,29722431.152,3,3,796,13,0,0,0,0,0.104,809,851,0.339,0.500,0.667,0.667,0.500,0.500,0.667,0.667,0.667,0.667,0.500,0.667,0.667,0.500,0.500,0.667,0.667,0.667,0.667
58,29722431.227,6,6,832,9,0,1,0,1,0.128,843,809,0.355,0.400,0.444,0.571,0.800,1.000,1.000,1.000,1.000,1.000,0.400,0.444,0.571,0.800,1.000,1.000,1.000,1.000,1.000
59,29722431.379,3,3,809,6,1,0,0,0,0.086,816,843,0.517,0.667,1.000,1.000,0.800,0.800,0.667,1.000,0.667,0.667,0.667,1.000,1.000,0.800,0.800,0.667,0.500,0.667,0.000
60,29722431.529,2,2,764,1,0,0,0,1,0.097,766,816,0.534,0.800,0.800,0.800,0.800,0.800,0.667,0.667,0.667,0.800,0.800,0.800,0.800,0.800,0.800,0.667,0.667,0.667,0.800
61,29722431.605,3,3,754,6,2,0,0,0,0.088,762,766,0.437,0.800,1.000,1.000,1.000,0.800,0.800,1.000,1.000,0.667,0.800,1.000,1.000,1.000,0.800,0.800,0.500,0.500,0.667
62,29722431.680,2,2,767,5,0,1,0,0,0.091,773,762,0.733,1.000,0.800,0.800,0.800,0.667,0.667,0.800,0.500,0.500,1.000,0.800,0.800,0.800,0.667,0.667,0.400,0.500,0.500
63,29722431.831,4,4,830,6,3,0,0,0,0.083,839,773,0.767,0.500,0.571,0.800,0.800,0.800,0.667,0.667,0.800,0.800,0.500,0.571,0.800,0.800,0.800,0.667,0.667,0.800,0.800
64,29722431.906,4,4,795,7,1,1,0,0,0.072,804,839,0.854,0.500,0.571,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.500,0.571,0.667,0.667,0.667,0.667,0.667,0.667,0.667
65,29722432.054,8,8,801,6,2,0,0,0,0.074,809,804,0.661,0.667,0.667,0.667,0.667,0.667,0.667,0.800,0.800,0.800,0.667,0.667,0.667,0.667,0.667,0.667,0.800,0.800,0.800
66,29722432.130,2,2,813,5,3,1,0,0,0.071,822,809,0.704,0.800,0.800,0.800,0.800,0.800,0.800,0.667,0.800,0.500,0.800,0.800,0.800,0.800,0.800,0.800,0.667,0.400,0.500
67,29722432.280,7,7,781,7,3,1,0,0,0.062,792,822,0.540,0.444,0.500,0.500,0.500,0.667,0.800,0.800,0.000,0.000,0.222,0.250,0.250,0.250,0.333,0.400,0.400,0.000,0.000
68,29722432.356,3,3,797,9,0,1,0,0,0.053,807,792,0.461,0.750,1.000,0.800,0.800,0.667,0.667,0.400,0.000,0.000,0.750,1.000,0.800,0.800,0.667,0.333,0.400,0.000,0.000
69,29722432.506,6,6,775,11,0,1,0,0,0.067,787,807,0.792,0.500,0.571,0.571,0.667,0.800,0.400,0.400,0.000,0.000,0.500,0.571,0.571,0.667,0.800,0.400,0.400,0.000,0.000
70,29722432.583,5,5,764,9,1,1,0,0,0.052,775,787,0.513,0.333,0.500,0.500,0.667,0.667,0.667,0.667,0.667,0.667,0.333,0.500,0.500,0.667,0.667,0.667,0.667,0.667,0.667
71,29722432.735,3,3,774,3,1,1,0,0,0.062,779,775,0.582,0.667,0.800,0.500,0.500,0.667,0.667,0.667,0.667,0.667,0.667,0.800,0.500,0.500,0.667,0.667,0.667,0.667,0.667
72,29722432.807,2,2,754,2,0,1,0,0,0.063,757,779,0.555,0.800,0.800,0.500,0.500,0.500,0.500,0.500,0.500,0.667,0.800,0.800,0.500,0.500,0.500,0.500,0.500,0.500,0.667
73,29722432.959,2,2,738,8,0,1,0,0,0.048,747,757,0.498,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.000,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.000
74,29722433.033,2,2,801,7,2,0,0,0,0.043,810,747,0.414,1.000,1.000,1.000,0.667,0.667,0.667,0.000,0.000,0.000,1.000,1.000,1.000,0.667,0.667,0.667,0.000,0.000,0.000
