frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,18910351.858,3,3,654,1,0,0,0,0,0.099,655,0,1.453,0.333,0.667,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.667,0.667,0.000,0.000,0.000,0.000,0.000,0.000
2,18910415.650,3,3,582,0,0,0,0,0,0.055,582,655,1.563,0.667,1.000,1.000,0.667,0.667,0.667,0.667,0.000,0.000,0.667,1.000,1.000,0.667,0.667,0.667,0.667,0.000,0.000
3,18910415.800,5,5,614,0,0,0,0,0,0.057,614,582,1.540,0.667,0.800,0.800,1.000,1.000,1.000,0.667,0.667,0.667,0.667,0.800,0.800,1.000,1.000,1.000,0.667,0.667,0.667
4,18910415.875,4,4,610,0,0,0,0,0,0.062,610,614,1.504,0.800,0.800,1.000,1.000,1.000,1.000,0.667,0.667,0.667,0.800,0.800,1.000,1.000,1.000,1.000,0.667,0.667,0.667
5,18910415.950,6,6,615,0,0,0,0,0,0.063,615,610,1.667,0.667,0.667,0.800,0.800,1.000,1.000,1.000,0.667,0.667,0.667,0.667,0.800,0.800,1.000,1.000,1.000,0.667,0.667
6,18910416.025,2,2,606,0,0,0,0,0,0.054,606,615,1.456,1.000,1.000,1.000,1.000,1.000,1.000,0.667,0.667,0.667,1.000,1.000,1.000,1.000,1.000,1.000,0.667,0.667,0.667
7,18910416.102,2,2,623,0,0,0,0,0,0.047,623,606,1.536,1.000,1.000,1.000,1.000,1.000,0.667,0.667,0.667,0.667,1.000,1.000,1.000,1.000,1.000,0.667,0.667,0.667,0.667
8,18910416.177,2,2,610,0,0,0,0,0,0.051,610,623,1.477,1.000,1.000,0.800,1.000,1.000,1.000,1.000,0.667,0.667,1.000,1.000,0.800,1.000,1.000,1.000,1.000,0.667,0.667
9,18910416.252,4,4,632,0,0,0,0,0,0.041,632,610,1.311,0.333,0.500,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.333,0.500,0.667,0.667,0.667,0.667,0.667,0.667,0.667
10,18910416.329,2,2,603,0,0,0,0,0,0.045,603,632,1.650,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
