frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,22547240.997,2,2,605,1,0,0,0,0,0.099,606,0,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,22547406.634,5,5,627,0,0,0,0,0,0.163,627,606,0.710,0.125,0.250,0.250,0.667,0.500,0.500,0.000,0.000,0.000,0.125,0.250,0.250,0.333,0.000,0.000,0.000,0.000,0.000
3,22547407.756,4,4,578,4,0,0,0,0,0.148,582,627,0.287,0.182,0.400,0.667,0.500,0.500,0.500,0.500,0.000,0.000,0.182,0.400,0.667,0.500,0.500,0.500,0.500,0.000,0.000
4,22547407.828,10,10,634,8,0,0,0,0,0.168,642,582,0.400,0.182,0.250,0.250,0.400,0.500,0.667,0.667,0.667,0.800,0.182,0.250,0.250,0.400,0.500,0.667,0.667,0.667,0.800
5,22547407.904,7,7,619,9,0,0,0,1,0.159,629,642,0.537,0.182,0.200,0.286,0.400,0.500,0.667,0.667,0.667,0.500,0.182,0.200,0.286,0.400,0.500,0.667,0.667,0.667,0.500
6,22547407.978,9,6,604,5,0,0,0,1,0.144,610,629,0.584,0.250,0.333,0.333,0.400,0.500,0.500,0.500,1.000,1.000,0.250,0.333,0.333,0.400,0.500,0.500,0.500,0.500,0.500
7,22547408.052,8,8,613,11,0,0,0,0,0.151,624,610,0.545,0.167,0.200,0.286,0.400,0.400,0.800,1.000,0.800,0.800,0.167,0.200,0.286,0.400,0.400,0.400,0.500,0.400,0.400
8,22547408.125,10,7,553,8,0,0,0,0,0.150,561,624,0.460,0.182,0.222,0.286,0.400,0.500,0.667,0.500,0.500,1.000,0.182,0.222,0.286,0.400,0.500,0.667,0.000,0.500,0.500
9,22547408.200,9,5,612,7,0,0,0,0,0.149,619,561,0.777,0.200,0.222,0.400,0.500,0.500,0.500,0.500,0.800,0.800,0.200,0.222,0.400,0.500,0.500,0.500,0.500,0.000,0.000
10,22547408.274,8,5,614,9,0,0,0,0,0.152,623,619,0.870,0.200,0.250,0.400,0.500,0.500,0.500,1.000,1.000,0.800,0.200,0.250,0.400,0.500,0.500,0.500,0.500,0.500,0.400
