frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,25043842.721,2,2,330,1,15,7,6,3,0.174,362,0,5.995,0.500,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,25043842.793,3,3,329,1,15,10,3,3,0.186,361,362,1.733,0.444,0.571,0.571,0.400,0.400,0.400,0.400,0.000,0.000,0.444,0.571,0.571,0.400,0.400,0.400,0.400,0.000,0.000
3,25043842.867,2,2,323,0,14,5,1,8,0.157,351,361,6.809,0.750,0.750,0.667,0.400,0.400,0.500,0.000,0.000,0.000,0.500,0.500,0.333,0.400,0.400,0.500,0.000,0.000,0.000
4,25043842.940,3,3,315,1,20,16,2,5,0.201,359,351,5.288,0.750,0.857,0.857,0.571,0.667,0.400,0.000,0.000,0.000,0.750,0.857,0.857,0.571,0.667,0.400,0.000,0.000,0.000
5,25043843.014,5,5,316,2,20,7,2,6,0.198,353,359,7.353,0.571,0.667,0.667,0.800,0.800,0.800,0.400,0.500,0.400,0.571,0.667,0.667,0.800,0.800,0.800,0.400,0.500,0.400
6,25043843.089,6,6,318,0,21,7,0,7,0.190,353,353,7.282,0.444,0.571,0.571,0.571,0.667,0.667,0.667,0.400,0.500,0.444,0.571,0.571,0.571,0.667,0.667,0.667,0.400,0.500
7,25043843.161,3,3,323,1,21,14,1,6,0.208,366,353,11.041,0.600,0.857,0.800,0.800,0.800,0.800,0.500,0.400,0.500,0.600,0.857,0.800,0.800,0.800,0.800,0.500,0.400,0.500
8,25043843.233,4,4,315,0,23,13,0,8,0.206,359,366,4.521,0.667,0.857,1.000,0.667,0.800,0.800,0.500,0.500,0.500,0.667,0.857,1.000,0.667,0.800,0.800,0.500,0.500,0.000
9,25043843.308,2,2,348,1,20,12,2,3,0.192,386,359,4.372,0.750,0.750,0.750,0.667,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.500,0.333,0.500,0.500,0.500,0.500,0.500
10,25043843.382,3,3,344,0,29,5,3,4,0.195,385,386,8.011,0.750,0.857,0.857,0.667,0.800,0.500,0.500,0.500,0.500,0.750,0.857,0.857,0.667,0.400,0.500,0.500,0.000,0.000
11,25043843.454,3,3,334,2,28,10,5,5,0.240,384,385,6.422,0.750,0.857,0.667,0.800,0.800,0.800,0.800,0.500,0.500,0.750,0.857,0.667,0.800,0.800,0.800,0.800,0.500,0.500
12,25043843.528,4,4,326,0,23,19,4,3,0.237,375,384,1.541,0.667,0.667,0.857,0.800,0.800,0.800,0.800,0.500,0.400,0.667,0.667,0.857,0.800,0.800,0.800,0.400,0.500,0.400
13,25043843.602,7,7,306,4,27,12,1,2,0.281,352,375,5.489,0.429,0.600,0.667,0.667,0.667,0.800,0.800,0.800,0.667,0.429,0.600,0.444,0.667,0.667,0.800,0.800,0.800,0.667
14,25043843.676,4,4,283,4,15,17,2,6,0.254,327,352,3.783,0.600,0.667,0.857,0.667,0.400,0.500,0.400,0.400,0.000,0.600,0.667,0.857,0.333,0.400,0.500,0.000,0.000,0.000
15,25043843.749,7,7,286,1,18,17,2,3,0.248,327,327,4.859,0.600,0.667,0.750,0.667,0.667,0.800,0.800,0.000,0.000,0.600,0.667,0.750,0.667,0.667,0.800,0.400,0.000,0.000
16,25043843.821,3,3,288,1,18,8,2,7,0.222,324,327,3.591,0.750,0.857,0.857,0.667,0.800,0.500,0.000,0.000,0.000,0.500,0.571,0.571,0.333,0.400,0.000,0.000,0.000,0.000
17,25043843.892,4,4,268,3,19,19,6,7,0.255,322,324,9.667,0.667,0.667,0.857,0.857,0.500,0.500,0.500,0.500,0.000,0.444,0.444,0.571,0.571,0.500,0.500,0.500,0.500,0.000
18,25043843.967,4,4,313,3,28,4,6,3,0.227,357,322,2.621,0.500,0.667,0.857,0.857,0.857,0.667,0.800,0.800,0.800,0.500,0.667,0.857,0.857,0.857,0.667,0.800,0.800,0.400
19,25043844.039,4,4,309,4,25,19,7,4,0.266,368,357,0.484,0.545,0.600,0.857,0.857,0.857,0.800,0.800,0.667,0.667,0.545,0.600,0.857,0.857,0.857,0.800,0.800,0.667,0.667
20,25043844.113,6,6,294,4,32,20,11,10,0.299,371,368,2.748,0.429,0.600,0.750,0.750,0.857,0.667,0.800,0.800,0.800,0.286,0.400,0.500,0.500,0.571,0.333,0.400,0.400,0.400
21,25043844.188,6,6,317,7,33,8,18,7,0.300,390,371,1.117,0.353,0.545,0.750,0.750,0.857,0.857,0.667,0.800,0.800,0.235,0.364,0.500,0.500,0.571,0.571,0.333,0.400,0.400
22,25043844.261,7,3,283,16,22,10,10,5,0.301,346,390,4.335,0.462,0.600,0.600,0.545,0.600,0.667,0.444,0.286,0.333,0.462,0.600,0.600,0.545,0.600,0.444,0.444,0.286,0.333
23,25043844.334,7,7,266,19,14,9,8,7,0.337,323,346,1.060,0.462,0.500,0.500,0.600,0.667,0.750,0.750,0.500,0.333,0.154,0.167,0.167,0.200,0.222,0.250,0.250,0.000,0.000
24,25043844.408,4,9,247,10,13,9,3,6,0.302,288,323,1.132,0.333,0.333,0.400,0.286,0.286,0.286,0.286,0.333,0.333,0.167,0.167,0.200,0.286,0.286,0.286,0.286,0.333,0.333
25,25043844.483,4,4,264,2,17,6,1,1,0.244,291,288,0.339,0.500,0.571,0.800,0.800,0.800,0.800,0.500,0.400,0.000,0.500,0.571,0.800,0.800,0.800,0.800,0.500,0.400,0.000
26,25043844.631,5,5,279,12,15,3,10,0,0.257,319,291,2.051,0.500,0.750,0.750,0.857,0.667,0.800,0.800,0.800,0.500,0.500,0.750,0.750,0.857,0.667,0.800,0.800,0.800,0.500
27,25043844.704,4,4,262,2,20,10,8,4,0.242,306,319,2.953,0.545,0.667,0.857,0.857,0.667,0.800,0.800,0.800,0.500,0.545,0.667,0.857,0.857,0.667,0.800,0.800,0.800,0.500
28,25043844.779,4,4,246,6,22,13,6,7,0.250,300,306,1.004,0.444,0.667,0.800,0.800,0.500,0.500,0.500,0.500,0.500,0.444,0.667,0.800,0.800,0.500,0.500,0.500,0.500,0.500
29,25043844.853,5,5,263,3,23,16,10,4,0.245,319,300,5.017,0.364,0.667,0.667,0.800,0.800,0.800,0.800,0.500,0.500,0.364,0.667,0.667,0.800,0.800,0.800,0.800,0.500,0.500
30,25043844.927,5,5,273,5,23,20,4,9,0.272,334,319,3.285,0.286,0.500,0.667,0.800,0.800,0.800,0.500,0.500,0.500,0.286,0.500,0.667,0.800,0.800,0.800,0.500,0.500,0.500
31,25043845.000,6,5,272,5,24,17,4,7,0.258,329,334,3.820,0.400,0.500,0.571,0.667,0.800,0.800,0.800,0.800,0.800,0.400,0.500,0.571,0.667,0.400,0.400,0.400,0.400,0.400
32,25043845.075,6,6,281,5,17,7,8,11,0.240,329,329,4.646,0.364,0.400,0.571,0.667,0.800,0.667,0.400,0.400,0.400,0.182,0.200,0.286,0.333,0.400,0.333,0.400,0.400,0.400
33,25043845.149,7,7,250,8,13,4,3,5,0.244,283,329,1.448,0.444,0.500,0.571,0.667,0.800,1.000,1.000,1.000,1.000,0.222,0.250,0.286,0.333,0.400,0.500,0.500,0.500,0.500
34,25043845.222,4,4,262,5,12,6,4,9,0.221,298,283,2.043,0.444,0.571,0.667,0.500,0.667,0.667,0.667,0.667,0.667,0.444,0.571,0.667,0.500,0.667,0.667,0.667,0.667,0.667
35,25043845.297,3,3,271,0,16,8,3,5,0.205,303,298,5.900,0.500,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.500,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
36,25043845.370,4,4,314,0,5,8,6,5,0.219,338,303,3.697,0.500,0.571,1.000,1.000,1.000,0.667,0.667,0.667,0.667,0.250,0.286,0.500,0.500,0.500,0.000,0.000,0.000,0.000
37,25043845.444,5,5,318,3,9,9,1,2,0.170,342,338,1.967,0.222,0.286,0.333,0.667,0.667,0.667,0.667,0.667,0.000,0.222,0.286,0.333,0.667,0.667,0.667,0.667,0.000,0.000
38,25043845.520,5,5,314,4,15,4,2,3,0.222,342,342,7.226,0.222,0.333,0.400,0.667,0.667,0.667,0.667,0.667,0.667,0.222,0.333,0.400,0.667,0.667,0.667,0.667,0.667,0.667
39,25043845.593,8,8,307,2,13,8,5,5,0.238,340,342,0.931,0.200,0.250,0.333,0.500,0.500,0.500,0.667,0.667,0.667,0.200,0.250,0.333,0.500,0.500,0.500,0.667,0.667,0.667
40,25043845.667,4,2,306,3,8,15,8,12,0.244,352,340,2.978,0.167,0.222,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,25043845.741,9,2,328,4,17,10,4,10,0.273,373,352,4.918,0.200,0.286,0.333,0.333,0.333,0.400,0.500,0.667,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,25043845.814,7,2,304,4,13,5,15,11,0.270,352,373,4.570,0.167,0.286,0.400,0.400,0.400,0.500,0.500,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,25043845.888,9,2,314,1,4,2,11,9,0.258,341,352,7.092,0.143,0.167,0.200,0.250,0.286,0.286,0.400,0.667,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
