frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,12956279.032,3,3,337,0,0,0,0,0,0.050,337,0,2.504,0.667,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000,0.667,1.000,1.000,1.000,1.000,0.000,0.000,0.000,0.000
2,12956567.655,3,3,699,2,0,0,0,0,0.086,701,337,1.008,0.286,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.286,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,12956567.731,6,6,733,1,0,0,0,0,0.104,734,701,0.963,0.250,0.400,0.667,0.667,1.000,0.000,0.000,0.000,0.000,0.250,0.400,0.667,0.667,1.000,0.000,0.000,0.000,0.000
4,12956567.808,2,2,680,3,0,0,0,1,0.072,684,734,1.079,1.000,1.000,1.000,0.667,0.667,1.000,0.000,0.000,0.000,1.000,1.000,1.000,0.667,0.667,1.000,0.000,0.000,0.000
5,12956567.886,5,3,707,1,0,0,0,0,0.089,708,684,0.922,0.500,0.667,0.667,1.000,0.000,0.000,0.000,0.000,0.000,0.500,0.667,0.667,0.000,0.000,0.000,0.000,0.000,0.000
6,12956567.962,4,4,743,1,0,0,0,0,0.081,744,708,1.051,0.400,0.667,1.000,1.000,1.000,1.000,1.000,0.000,0.000,0.400,0.667,1.000,1.000,1.000,1.000,1.000,0.000,0.000
7,12956568.037,4,4,738,3,0,0,0,0,0.084,741,744,1.225,0.500,0.667,1.000,0.667,0.000,0.000,0.000,0.000,0.000,0.500,0.667,1.000,0.667,0.000,0.000,0.000,0.000,0.000
8,12956568.114,4,4,709,0,0,0,0,0,0.078,709,741,1.012,0.400,0.667,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.667,1.000,0.000,0.000,0.000,0.000,0.000,0.000
9,12956568.190,2,2,698,1,0,0,0,0,0.077,699,709,1.139,1.000,1.000,1.000,0.667,1.000,1.000,0.000,0.000,0.000,1.000,1.000,1.000,0.667,1.000,1.000,0.000,0.000,0.000
10,12956568.265,5,5,712,1,0,0,0,0,0.084,713,699,1.374,0.286,0.500,0.500,1.000,1.000,1.000,1.000,1.000,0.000,0.286,0.500,0.500,1.000,1.000,1.000,1.000,1.000,0.000
