frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,16665577.967,2,2,351,0,0,0,0,0,0.023,351,0,0.136,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2,16665630.737,4,4,985,0,0,0,0,0,0.065,985,351,0.022,0.182,0.500,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.182,0.500,0.667,0.000,0.000,0.000,0.000,0.000,0.000
3,16665631.786,2,2,961,0,0,0,0,0,0.053,961,985,0.076,0.571,0.571,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.571,0.571,0.000,0.333,0.000,0.000,0.000,0.000,0.000
4,16665631.858,4,4,950,0,0,0,0,0,0.058,950,961,0.044,0.200,0.286,0.333,0.333,0.000,0.000,0.000,0.000,0.000,0.200,0.286,0.333,0.333,0.000,0.000,0.000,0.000,0.000
5,16665632.005,3,5,1005,0,0,0,0,0,0.074,1005,950,0.058,0.364,0.571,0.500,0.333,0.000,0.000,0.000,0.000,0.000,0.182,0.286,0.250,0.333,0.000,0.000,0.000,0.000,0.000
6,16665632.158,5,5,1033,0,0,0,0,0,0.065,1033,1005,0.010,0.222,0.250,0.333,0.400,0.000,0.000,0.000,0.000,0.000,0.222,0.250,0.333,0.400,0.000,0.000,0.000,0.000,0.000
7,16665632.306,3,3,964,0,0,0,0,0,0.060,964,1033,0.026,0.222,0.286,0.250,0.286,0.286,0.250,0.000,0.000,0.000,0.222,0.286,0.250,0.286,0.286,0.250,0.000,0.000,0.000
8,16665632.452,2,2,1038,0,0,0,0,1,0.068,1039,964,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,16665632.602,4,4,1032,0,0,0,0,0,0.071,1032,1039,0.034,0.182,0.250,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.182,0.250,0.286,0.000,0.000,0.000,0.000,0.000,0.000
10,16665632.746,5,5,1005,0,0,0,0,0,0.063,1005,1032,0.013,0.250,0.250,0.286,0.400,0.000,0.000,0.000,0.000,0.000,0.250,0.250,0.286,0.400,0.000,0.000,0.000,0.000,0.000
11,16665632.896,4,4,1052,0,0,0,0,0,0.069,1052,1005,0.027,0.182,0.200,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.182,0.200,0.286,0.000,0.000,0.000,0.000,0.000,0.000
12,16665633.045,3,3,1041,0,0,0,0,0,0.071,1041,1052,0.024,0.545,0.750,0.750,0.571,0.333,0.333,0.000,0.000,0.000,0.364,0.500,0.500,0.286,0.000,0.000,0.000,0.000,0.000
13,16665633.192,2,2,982,0,0,0,0,0,0.063,982,1041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
14,16665633.341,6,6,1007,0,0,0,0,0,0.055,1007,982,0.008,0.250,0.286,0.286,0.333,0.400,0.400,0.400,0.000,0.000,0.250,0.286,0.286,0.333,0.400,0.400,0.400,0.000,0.000
15,16665633.413,2,2,966,0,0,0,0,0,0.058,966,1007,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
16,16665633.561,2,2,1000,0,0,0,0,0,0.054,1000,966,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
17,16665633.635,5,5,989,0,0,0,0,0,0.065,989,1000,0.001,0.250,0.250,0.250,0.286,0.250,0.000,0.000,0.000,0.000,0.250,0.250,0.250,0.286,0.250,0.000,0.000,0.000,0.000
18,16665633.784,2,2,1015,0,0,0,0,0,0.069,1015,989,0.001,0.286,0.286,0.286,0.286,0.000,0.000,0.000,0.000,0.000,0.286,0.286,0.286,0.286,0.000,0.000,0.000,0.000,0.000
19,16665633.860,3,3,985,0,0,0,0,0,0.062,985,1015,0.008,0.364,0.444,0.444,0.444,0.000,0.000,0.000,0.000,0.000,0.364,0.444,0.444,0.444,0.000,0.000,0.000,0.000,0.000
20,16665634.011,4,4,1031,0,0,0,0,0,0.078,1031,985,0.015,0.200,0.250,0.286,0.286,0.000,0.000,0.000,0.000,0.000,0.200,0.250,0.286,0.286,0.000,0.000,0.000,0.000,0.000
21,16665634.087,6,4,976,0,0,0,0,0,0.068,976,1031,0.000,0.154,0.167,0.182,0.222,0.286,0.000,0.000,0.000,0.000,0.154,0.167,0.182,0.000,0.000,0.000,0.000,0.000,0.000
22,16665634.236,5,5,990,0,0,0,0,0,0.064,990,976,0.004,0.200,0.222,0.333,0.400,0.333,0.000,0.000,0.000,0.000,0.200,0.222,0.333,0.400,0.333,0.000,0.000,0.000,0.000
23,16665634.311,5,5,949,0,0,0,0,0,0.060,949,990,0.005,0.167,0.250,0.286,0.333,0.333,0.286,0.333,0.333,0.000,0.167,0.250,0.286,0.333,0.333,0.286,0.333,0.333,0.000
24,16665634.462,7,7,967,0,0,0,0,0,0.052,967,949,0.009,0.286,0.333,0.286,0.333,0.333,0.400,0.000,0.000,0.000,0.286,0.333,0.286,0.333,0.333,0.400,0.000,0.000,0.000
