frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,2158454.439,2,2,208,2,0,8,0,1,0.155,219,0,12.430,1.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,0.000,1.000,0.667,0.667,0.667,0.000,0.000,0.000,0.000,0.000
2,22547877.643,3,2,480,3,7,0,6,0,0.151,496,219,5.430,0.250,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,22547877.720,8,4,480,2,11,2,2,1,0.137,498,496,2.177,0.400,0.500,0.667,0.667,0.400,0.500,1.000,0.000,0.000,0.400,0.500,0.667,0.667,0.400,0.500,0.000,0.000,0.000
4,22547877.794,8,8,472,5,9,2,3,0,0.118,491,498,4.375,0.400,0.400,0.400,0.400,0.400,0.500,0.667,0.000,0.000,0.400,0.400,0.400,0.400,0.400,0.500,0.667,0.000,0.000
5,22547877.867,5,5,467,4,10,0,8,0,0.141,489,491,3.567,0.400,0.667,0.667,1.000,0.400,1.000,0.000,0.000,0.000,0.400,0.667,0.667,1.000,0.400,0.000,0.000,0.000,0.000
6,22547877.942,6,2,474,3,12,6,6,0,0.150,501,489,2.919,0.286,0.400,0.400,0.500,0.667,0.667,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
7,22547878.018,4,4,473,4,15,7,0,0,0.126,499,501,4.495,0.500,0.667,1.000,0.667,1.000,1.000,0.000,0.000,0.000,0.500,0.667,1.000,0.667,1.000,1.000,0.000,0.000,0.000
8,22547878.094,6,6,495,2,16,5,3,0,0.144,521,499,4.823,0.333,0.500,0.500,0.400,0.667,0.667,0.667,0.667,0.000,0.333,0.500,0.500,0.400,0.667,0.667,0.667,0.667,0.000
9,22547878.170,5,5,494,1,11,5,3,0,0.111,514,521,6.981,0.667,0.667,0.667,1.000,1.000,1.000,1.000,0.000,0.000,0.667,0.667,0.667,1.000,1.000,1.000,0.000,0.000,0.000
10,22547878.246,3,3,489,6,13,10,2,0,0.137,520,514,5.196,0.400,0.500,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.400,0.500,0.500,0.000,0.000,0.000,0.000,0.000,0.000
11,22547878.320,7,7,482,6,19,1,1,0,0.151,509,520,8.425,0.333,0.400,0.400,0.400,0.500,0.667,0.667,0.667,0.000,0.333,0.400,0.400,0.400,0.500,0.667,0.667,0.667,0.000
12,22547878.397,2,2,504,5,22,5,1,0,0.155,537,509,5.956,0.667,0.667,0.667,0.667,0.667,0.500,0.500,0.500,0.500,0.667,0.667,0.667,0.667,0.667,0.500,0.500,0.500,0.500
13,22547878.472,4,4,517,2,23,7,0,0,0.158,549,537,7.782,0.400,0.667,1.000,1.000,0.667,0.667,1.000,1.000,1.000,0.400,0.667,1.000,1.000,0.667,0.667,1.000,1.000,1.000
14,22547878.546,7,7,531,5,17,2,4,0,0.136,559,549,3.510,0.250,0.400,0.400,0.500,0.500,0.667,0.667,0.667,0.667,0.250,0.400,0.400,0.500,0.500,0.667,0.667,0.667,0.667
15,22547878.621,7,7,532,5,26,6,5,0,0.159,574,559,6.683,0.222,0.333,0.333,0.333,0.500,0.667,0.667,0.667,0.667,0.222,0.333,0.333,0.333,0.500,0.667,0.667,0.667,0.667
16,22547878.697,7,7,540,6,20,7,1,0,0.153,574,574,3.827,0.222,0.333,0.333,0.400,0.500,0.667,0.667,0.500,0.400,0.222,0.333,0.333,0.400,0.500,0.667,0.667,0.000,0.000
