frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,25041371.059,4,3,374,59,63,5,5,3,0.466,509,0,2.055,0.303,0.333,0.375,0.267,0.133,0.000,0.000,0.000,0.000,0.242,0.250,0.250,0.000,0.000,0.000,0.000,0.000,0.000
2,25041683.663,3,3,462,7,13,0,0,0,0.309,482,509,0.069,0.182,0.333,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.182,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3,25041684.791,2,2,448,6,17,0,1,0,0.197,472,482,0.058,0.462,0.400,0.444,0.333,0.333,0.333,0.333,0.333,0.333,0.462,0.400,0.222,0.333,0.333,0.333,0.333,0.333,0.333
4,25041684.866,10,10,470,4,16,1,0,0,0.214,491,472,0.094,0.182,0.200,0.222,0.250,0.250,0.286,0.286,0.250,0.333,0.182,0.200,0.222,0.250,0.250,0.286,0.286,0.250,0.333
5,25041684.941,9,9,479,15,15,2,0,0,0.239,511,491,0.080,0.167,0.250,0.333,0.333,0.333,0.333,0.571,0.667,0.667,0.167,0.250,0.333,0.333,0.333,0.333,0.571,0.667,0.667
6,25041685.015,3,3,506,11,10,0,0,1,0.212,528,511,0.114,0.364,0.444,0.444,0.286,0.286,0.333,0.333,0.333,0.333,0.364,0.444,0.444,0.286,0.286,0.333,0.333,0.333,0.333
7,25041685.090,6,6,476,10,11,0,1,2,0.220,500,528,0.135,0.600,0.600,0.667,0.667,0.750,0.571,0.571,0.571,0.571,0.600,0.600,0.667,0.667,0.750,0.571,0.571,0.571,0.571
8,25041685.166,4,4,466,11,15,4,0,1,0.268,497,500,0.149,0.429,0.545,0.667,0.571,0.571,0.571,0.571,0.571,0.571,0.429,0.545,0.667,0.571,0.571,0.571,0.571,0.571,0.571
9,25041685.241,7,7,496,8,14,2,0,2,0.264,522,497,0.163,0.308,0.333,0.400,0.444,0.500,0.571,0.571,0.571,0.500,0.308,0.333,0.400,0.444,0.500,0.571,0.571,0.571,0.500
10,25041685.316,9,9,516,15,15,2,0,1,0.259,549,522,0.158,0.400,0.364,0.400,0.364,0.444,0.500,0.500,0.571,0.571,0.400,0.364,0.400,0.364,0.444,0.500,0.500,0.571,0.571
11,25041685.392,5,5,522,7,11,1,0,0,0.240,541,549,0.160,0.308,0.364,0.500,0.667,0.667,0.571,0.571,0.400,0.400,0.308,0.364,0.500,0.667,0.667,0.571,0.571,0.400,0.400
12,25041685.467,5,5,507,13,14,2,0,0,0.278,536,541,0.165,0.200,0.333,0.400,0.500,0.500,0.400,0.333,0.500,0.500,0.200,0.333,0.400,0.500,0.500,0.400,0.333,0.500,0.500
13,25041685.543,5,5,511,11,16,4,0,1,0.265,543,536,0.199,0.222,0.250,0.250,0.400,0.400,0.400,0.400,0.400,0.400,0.222,0.250,0.250,0.400,0.400,0.400,0.400,0.400,0.400
14,25041685.616,10,10,512,9,12,3,0,2,0.270,538,543,0.236,0.200,0.250,0.286,0.333,0.333,0.333,0.333,0.400,0.500,0.200,0.250,0.286,0.333,0.333,0.333,0.333,0.400,0.500
15,25041685.693,9,9,521,13,14,2,0,0,0.273,550,538,0.229,0.308,0.364,0.222,0.333,0.333,0.250,0.333,0.400,0.400,0.308,0.364,0.222,0.333,0.333,0.250,0.333,0.400,0.400
16,25041685.769,10,10,507,12,12,1,0,0,0.280,532,550,0.240,0.267,0.167,0.200,0.222,0.286,0.286,0.286,0.333,0.400,0.267,0.167,0.200,0.222,0.286,0.286,0.286,0.333,0.400
17,25041685.842,10,10,523,10,8,2,0,0,0.271,543,532,0.123,0.333,0.364,0.364,0.182,0.222,0.286,0.333,0.286,0.400,0.333,0.364,0.364,0.182,0.222,0.286,0.333,0.286,0.400
18,25041685.918,10,8,493,12,5,1,0,1,0.297,512,543,0.055,0.154,0.167,0.182,0.222,0.250,0.250,0.333,0.333,0.667,0.154,0.167,0.182,0.222,0.250,0.250,0.333,0.333,0.333
19,25041685.995,8,8,503,9,6,2,0,3,0.287,523,512,0.022,0.250,0.250,0.286,0.286,0.333,0.333,0.400,0.400,0.000,0.250,0.250,0.286,0.286,0.333,0.333,0.400,0.400,0.000
20,25041686.071,8,8,527,23,10,1,0,0,0.273,561,523,0.117,0.118,0.167,0.250,0.286,0.250,0.286,0.333,0.286,0.000,0.118,0.167,0.250,0.286,0.250,0.286,0.333,0.286,0.000
21,25041686.144,9,9,524,10,5,2,0,0,0.272,541,561,0.235,0.143,0.182,0.182,0.286,0.250,0.250,0.333,0.400,0.000,0.143,0.182,0.182,0.286,0.250,0.250,0.333,0.400,0.000
22,25041686.219,5,5,534,9,5,1,1,1,0.269,551,541,0.274,0.182,0.200,0.250,0.286,0.000,0.000,0.000,0.000,0.000,0.182,0.200,0.250,0.286,0.000,0.000,0.000,0.000,0.000
23,25041686.293,8,8,551,12,10,2,0,0,0.259,575,551,0.318,0.222,0.333,0.286,0.333,0.286,0.286,0.400,0.000,0.000,0.222,0.333,0.286,0.333,0.286,0.286,0.400,0.000,0.000
24,25041686.367,8,8,521,16,8,3,0,1,0.262,549,575,0.230,0.222,0.250,0.286,0.333,0.333,0.400,0.800,0.500,0.000,0.222,0.250,0.286,0.333,0.333,0.400,0.800,0.500,0.000
25,25041686.443,4,8,506,17,8,2,1,0,0.275,534,549,0.146,0.333,0.364,0.500,0.444,0.500,0.333,0.400,0.400,0.000,0.167,0.182,0.250,0.222,0.250,0.333,0.400,0.400,0.000
26,25041686.518,6,6,470,16,9,1,0,2,0.247,498,534,0.219,0.267,0.364,0.364,0.364,0.444,0.333,0.400,0.400,0.400,0.133,0.182,0.364,0.364,0.444,0.333,0.400,0.400,0.400
27,25041686.592,4,4,501,14,10,2,1,4,0.231,532,498,0.089,0.267,0.364,0.400,0.286,0.333,0.400,0.400,0.400,0.000,0.267,0.364,0.400,0.286,0.333,0.400,0.400,0.400,0.000
28,25041686.669,5,5,525,8,10,1,0,4,0.190,548,532,2.149,0.182,0.200,0.286,0.400,0.400,0.400,0.400,0.000,0.000,0.182,0.200,0.286,0.400,0.400,0.400,0.000,0.000,0.000
29,25041686.744,4,4,544,10,12,2,0,0,0.204,568,548,0.210,0.400,0.500,0.571,0.333,0.500,0.500,0.000,0.000,0.000,0.400,0.500,0.571,0.333,0.500,0.500,0.000,0.000,0.000
30,25041686.818,6,6,534,14,12,3,1,0,0.245,564,568,0.490,0.222,0.333,0.400,0.400,0.500,0.500,0.500,0.500,0.000,0.222,0.333,0.400,0.400,0.500,0.500,0.500,0.500,0.000
31,25041686.893,10,10,459,13,15,1,0,1,0.247,489,564,0.902,0.154,0.182,0.333,0.333,0.400,0.400,0.333,0.500,0.667,0.154,0.182,0.333,0.333,0.400,0.400,0.333,0.500,0.667
32,25041686.967,6,6,514,26,16,1,0,2,0.265,559,489,1.388,0.133,0.182,0.333,0.333,0.800,0.667,0.667,0.667,0.667,0.133,0.182,0.333,0.333,0.800,0.667,0.667,0.667,0.000
